,Variable Name,Variable Id,Year,Value,Symbol
135,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
136,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
137,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
138,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
139,Dependency ratio,4192,1962,0.0,
140,Dependency ratio,4192,1967,0.0,
141,Dependency ratio,4192,1972,0.0,
142,Dependency ratio,4192,1977,0.0,
143,Dependency ratio,4192,1982,0.0,
144,Dependency ratio,4192,1987,0.0,
145,Dependency ratio,4192,1992,0.0,
146,Dependency ratio,4192,1997,0.0,
147,Dependency ratio,4192,2002,0.0,
148,Dependency ratio,4192,2007,0.0,
149,Dependency ratio,4192,2012,0.0,
150,Dependency ratio,4192,2017,0.0,
151,Total renewable surface water,4185,1962,0.0,E
152,Total renewable surface water,4185,1967,0.0,E
153,Total renewable surface water,4185,1972,0.0,E
154,Total renewable surface water,4185,1977,0.0,E
155,Total renewable surface water,4185,1982,0.0,E
156,Total renewable surface water,4185,1987,0.0,E
157,Total renewable surface water,4185,1992,0.0,E
158,Total renewable surface water,4185,1997,0.0,E
159,Total renewable surface water,4185,2002,0.0,E
160,Total renewable surface water,4185,2007,0.0,E
161,Total renewable surface water,4185,2012,0.0,E
162,Total renewable surface water,4185,2017,0.0,E
163,Total renewable surface water,4185,2018,0.0,E
164,Total renewable groundwater,4187,1962,0.0,E
165,Total renewable groundwater,4187,1967,0.0,E
166,Total renewable groundwater,4187,1972,0.0,E
167,Total renewable groundwater,4187,1977,0.0,E
168,Total renewable groundwater,4187,1982,0.0,E
169,Total renewable groundwater,4187,1987,0.0,E
170,Total renewable groundwater,4187,1992,0.0,E
171,Total renewable groundwater,4187,1997,0.0,E
172,Total renewable groundwater,4187,2002,0.0,E
173,Total renewable groundwater,4187,2007,0.0,E
174,Total renewable groundwater,4187,2012,0.0,E
175,Total renewable groundwater,4187,2017,0.0,E
176,Total renewable groundwater,4187,2018,0.0,E
177,Water resources: total external renewable,4182,1962,0.0,E
178,Water resources: total external renewable,4182,1967,0.0,E
179,Water resources: total external renewable,4182,1972,0.0,E
180,Water resources: total external renewable,4182,1977,0.0,E
181,Water resources: total external renewable,4182,1982,0.0,E
182,Water resources: total external renewable,4182,1987,0.0,E
183,Water resources: total external renewable,4182,1992,0.0,E
184,Water resources: total external renewable,4182,1997,0.0,E
185,Water resources: total external renewable,4182,2002,0.0,E
186,Water resources: total external renewable,4182,2007,0.0,E
187,Water resources: total external renewable,4182,2012,0.0,E
188,Water resources: total external renewable,4182,2017,0.0,E
189,Water resources: total external renewable,4182,2018,0.0,E
190,Total renewable water resources,4188,1962,0.0,E
191,Total renewable water resources,4188,1967,0.0,E
192,Total renewable water resources,4188,1972,0.0,E
193,Total renewable water resources,4188,1977,0.0,E
194,Total renewable water resources,4188,1982,0.0,E
195,Total renewable water resources,4188,1987,0.0,E
196,Total renewable water resources,4188,1992,0.0,E
197,Total renewable water resources,4188,1997,0.0,E
198,Total renewable water resources,4188,2002,0.0,E
199,Total renewable water resources,4188,2007,0.0,E
200,Total renewable water resources,4188,2012,0.0,E
201,Total renewable water resources,4188,2017,0.0,E
202,Total renewable water resources,4188,2018,0.0,E
203,Total renewable water resources per capita,4190,1962,0.0,E
204,Total renewable water resources per capita,4190,1967,0.0,E
205,Total renewable water resources per capita,4190,1972,0.0,E
206,Total renewable water resources per capita,4190,1977,0.0,E
207,Total renewable water resources per capita,4190,1982,0.0,E
208,Total renewable water resources per capita,4190,1987,0.0,E
209,Total renewable water resources per capita,4190,1992,0.0,E
210,Total renewable water resources per capita,4190,1997,0.0,E
211,Total renewable water resources per capita,4190,2002,0.0,E
212,Total renewable water resources per capita,4190,2007,0.0,E
213,Total renewable water resources per capita,4190,2012,0.0,E
214,Total renewable water resources per capita,4190,2017,0.0,E
215,Total renewable water resources per capita,4190,2018,0.0,E
216,Desalinated water produced,4264,1992,0.0007,I
217,Desalinated water produced,4264,1997,0.0007,I
218,Desalinated water produced,4264,2002,0.0007,I
219,Desalinated water produced,4264,2007,0.0007,I
220,Desalinated water produced,4264,2012,0.0007,I
221,Desalinated water produced,4264,2017,0.0007,I
222,Desalinated water produced,4264,2018,0.0007,I
