,Variable Name,Variable Id,Year,Value,Symbol
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.1814,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.1572,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.1233333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.111,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.111,I
70,Gross Domestic Product (GDP),4112,1962,3668222358.0,X
71,Gross Domestic Product (GDP),4112,1967,5740241166.0,X
72,Gross Domestic Product (GDP),4112,1972,11235629546.0,X
73,Gross Domestic Product (GDP),4112,1977,21436760563.0,X
74,Gross Domestic Product (GDP),4112,1982,30526883139.0,X
75,Gross Domestic Product (GDP),4112,1987,48181654495.0,X
76,Gross Domestic Product (GDP),4112,1992,107597474979.0,X
77,Gross Domestic Product (GDP),4112,1997,117022585149.0,X
78,Gross Domestic Product (GDP),4112,2002,134162194152.0,X
79,Gross Domestic Product (GDP),4112,2007,240178475646.0,X
80,Gross Domestic Product (GDP),4112,2012,216236608774.0,X
81,Gross Domestic Product (GDP),4112,2017,221357874719.0,X
82,GDP per capita,4458,1972,1271.028149,X
83,GDP per capita,4458,1977,2260.39637,X
84,GDP per capita,4458,1982,3075.530587,X
85,GDP per capita,4458,1987,4832.065853,X
86,GDP per capita,4458,1992,10749.453821,X
87,GDP per capita,4458,1997,11435.933912,X
88,GDP per capita,4458,2002,12846.271459,X
89,GDP per capita,4458,2007,22594.145282,X
90,GDP per capita,4458,2012,20434.725627,X
91,GDP per capita,4458,2017,21429.667084,X
92,GDP per capita,4458,2018,23397.874237,X
93,"Agriculture, value added (% GDP)",4113,1972,22.864841,X
94,"Agriculture, value added (% GDP)",4113,1977,19.058546,X
95,"Agriculture, value added (% GDP)",4113,1982,14.082456,X
96,"Agriculture, value added (% GDP)",4113,1987,12.190514,X
97,"Agriculture, value added (% GDP)",4113,1992,5.712592,X
98,"Agriculture, value added (% GDP)",4113,1997,3.831063,X
99,"Agriculture, value added (% GDP)",4113,2002,2.722891,X
100,"Agriculture, value added (% GDP)",4113,2007,1.998156,X
101,"Agriculture, value added (% GDP)",4113,2012,1.924108,X
102,"Agriculture, value added (% GDP)",4113,2017,2.095869,X
103,Total population with access to safe drinking-water (JMP),4114,1992,96.5,X
104,Total population with access to safe drinking-water (JMP),4114,1997,97.4,X
105,Total population with access to safe drinking-water (JMP),4114,2002,98.3,X
106,Total population with access to safe drinking-water (JMP),4114,2007,99.1,X
107,Total population with access to safe drinking-water (JMP),4114,2012,99.9,X
108,Total population with access to safe drinking-water (JMP),4114,2017,100.0,I
109,Total population with access to safe drinking-water (JMP),4114,2018,100.0,I
110,Long-term average annual precipitation in volume,4150,1962,78.67048,E
111,Long-term average annual precipitation in volume,4150,1967,78.67048,E
112,Long-term average annual precipitation in volume,4150,1972,78.67048,E
113,Long-term average annual precipitation in volume,4150,1977,78.67048,E
114,Long-term average annual precipitation in volume,4150,1982,78.67048,E
115,Long-term average annual precipitation in volume,4150,1987,78.67048,E
116,Long-term average annual precipitation in volume,4150,1992,78.67048,E
117,Long-term average annual precipitation in volume,4150,1997,78.67048,E
118,Long-term average annual precipitation in volume,4150,2002,78.67048,E
119,Long-term average annual precipitation in volume,4150,2007,78.64486,E
120,Long-term average annual precipitation in volume,4150,2012,78.74734,E
121,Long-term average annual precipitation in volume,4150,2017,78.7606624,E
122,Long-term average annual precipitation in volume,4150,2018,78.7606624,E
123,Interannual variability (WRI),4541,2017,2.3,I
124,Interannual variability (WRI),4541,2018,2.3,I
125,Seasonal variability (WRI),4542,2017,2.8,I
126,Seasonal variability (WRI),4542,2018,2.8,I
127,Flood occurrence (WRI),4543,2017,2.4,I
128,Flood occurrence (WRI),4543,2018,2.4,I
129,Surface water: entering the country (total),4159,1962,33.4,
130,Surface water: entering the country (total),4159,1967,33.4,
131,Surface water: entering the country (total),4159,1972,33.4,
132,Surface water: entering the country (total),4159,1977,33.4,
133,Surface water: entering the country (total),4159,1982,33.4,
134,Surface water: entering the country (total),4159,1987,33.4,
135,Surface water: entering the country (total),4159,1992,33.4,
136,Surface water: entering the country (total),4159,1997,33.4,
137,Surface water: entering the country (total),4159,2002,33.4,
138,Surface water: entering the country (total),4159,2007,33.4,
139,Surface water: entering the country (total),4159,2012,33.4,
140,Surface water: entering the country (total),4159,2017,33.4,
141,Surface water: leaving the country to other countries (total),4171,1962,0.0,
142,Surface water: leaving the country to other countries (total),4171,1967,0.0,
143,Surface water: leaving the country to other countries (total),4171,1972,0.0,
144,Surface water: leaving the country to other countries (total),4171,1977,0.0,
145,Surface water: leaving the country to other countries (total),4171,1982,0.0,
146,Surface water: leaving the country to other countries (total),4171,1987,0.0,
147,Surface water: leaving the country to other countries (total),4171,1992,0.0,
148,Surface water: leaving the country to other countries (total),4171,1997,0.0,
149,Surface water: leaving the country to other countries (total),4171,2002,0.0,
150,Surface water: leaving the country to other countries (total),4171,2007,0.0,
151,Surface water: leaving the country to other countries (total),4171,2012,0.0,
152,Surface water: leaving the country to other countries (total),4171,2017,0.0,
153,Groundwater: entering the country (total),4177,1962,0.0,E
154,Groundwater: entering the country (total),4177,1967,0.0,E
155,Groundwater: entering the country (total),4177,1972,0.0,E
156,Groundwater: entering the country (total),4177,1977,0.0,E
157,Groundwater: entering the country (total),4177,1982,0.0,E
158,Groundwater: entering the country (total),4177,1987,0.0,E
159,Groundwater: entering the country (total),4177,1992,0.0,E
160,Groundwater: entering the country (total),4177,1997,0.0,E
161,Groundwater: entering the country (total),4177,2002,0.0,E
162,Groundwater: entering the country (total),4177,2007,0.0,E
163,Groundwater: entering the country (total),4177,2012,0.0,E
164,Groundwater: entering the country (total),4177,2017,0.0,E
165,Groundwater: leaving the country to other countries (total),4178,1962,0.0,
166,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
167,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
168,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
169,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
170,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
171,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
172,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
173,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
174,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
175,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
176,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
177,Dependency ratio,4192,1962,50.9043927649,E
178,Dependency ratio,4192,1967,50.9043927649,E
179,Dependency ratio,4192,1972,50.9043927649,E
180,Dependency ratio,4192,1977,50.9043927649,E
181,Dependency ratio,4192,1982,50.9043927649,E
182,Dependency ratio,4192,1987,50.9043927649,E
183,Dependency ratio,4192,1992,50.9043927649,E
184,Dependency ratio,4192,1997,50.9043927649,E
185,Dependency ratio,4192,2002,50.9043927649,E
186,Dependency ratio,4192,2007,50.9043927649,E
187,Dependency ratio,4192,2012,50.9043927649,E
188,Dependency ratio,4192,2017,50.9043927649,E
189,Dependency ratio,4192,2018,50.9043927649,E
190,Total internal renewable water resources (IRWR),4157,1962,38.0,E
191,Total internal renewable water resources (IRWR),4157,1967,38.0,E
192,Total internal renewable water resources (IRWR),4157,1972,38.0,E
193,Total internal renewable water resources (IRWR),4157,1977,38.0,E
194,Total internal renewable water resources (IRWR),4157,1982,38.0,E
195,Total internal renewable water resources (IRWR),4157,1987,38.0,E
196,Total internal renewable water resources (IRWR),4157,1992,38.0,E
197,Total internal renewable water resources (IRWR),4157,1997,38.0,E
198,Total internal renewable water resources (IRWR),4157,2002,38.0,E
199,Total internal renewable water resources (IRWR),4157,2007,38.0,E
200,Total internal renewable water resources (IRWR),4157,2012,38.0,E
201,Total internal renewable water resources (IRWR),4157,2017,38.0,E
202,Total internal renewable water resources (IRWR),4157,2018,38.0,E
203,Total internal renewable water resources per capita,4158,1962,4275.1807867075,E
204,Total internal renewable water resources per capita,4158,1967,4342.4313364472,E
205,Total internal renewable water resources per capita,4158,1972,4323.5361246234,E
206,Total internal renewable water resources per capita,4158,1977,4029.2468181939,E
207,Total internal renewable water resources per capita,4158,1982,3849.7296527351,E
208,Total internal renewable water resources per capita,4158,1987,3832.937969144,E
209,Total internal renewable water resources per capita,4158,1992,3818.595414088,E
210,Total internal renewable water resources per capita,4158,1997,3734.8041385168,E
211,Total internal renewable water resources per capita,4158,2002,3658.7760027044,E
212,Total internal renewable water resources per capita,4158,2007,3594.0117333134,E
213,Total internal renewable water resources per capita,4158,2012,3610.002671402,E
214,Total internal renewable water resources per capita,4158,2017,3693.4344440171,E
215,Total internal renewable water resources per capita,4158,2018,3705.078482825,E
216,Total renewable surface water,4185,1962,77.4,E
217,Total renewable surface water,4185,1967,77.4,E
218,Total renewable surface water,4185,1972,77.4,E
219,Total renewable surface water,4185,1977,77.4,E
220,Total renewable surface water,4185,1982,77.4,E
221,Total renewable surface water,4185,1987,77.4,E
222,Total renewable surface water,4185,1992,77.4,E
223,Total renewable surface water,4185,1997,77.4,E
224,Total renewable surface water,4185,2002,77.4,E
225,Total renewable surface water,4185,2007,77.4,E
226,Total renewable surface water,4185,2012,77.4,E
227,Total renewable surface water,4185,2017,77.4,E
228,Total renewable surface water,4185,2018,77.4,E
229,Total renewable groundwater,4187,1962,4.0,E
230,Total renewable groundwater,4187,1967,4.0,E
231,Total renewable groundwater,4187,1972,4.0,E
232,Total renewable groundwater,4187,1977,4.0,E
233,Total renewable groundwater,4187,1982,4.0,E
234,Total renewable groundwater,4187,1987,4.0,E
235,Total renewable groundwater,4187,1992,4.0,E
236,Total renewable groundwater,4187,1997,4.0,E
237,Total renewable groundwater,4187,2002,4.0,E
238,Total renewable groundwater,4187,2007,4.0,E
239,Total renewable groundwater,4187,2012,4.0,E
240,Total renewable groundwater,4187,2017,4.0,E
241,Total renewable groundwater,4187,2018,4.0,E
242,Total exploitable water resources,4196,1962,13.0,E
243,Total exploitable water resources,4196,1967,13.0,E
244,Total exploitable water resources,4196,1972,13.0,E
245,Total exploitable water resources,4196,1977,13.0,E
246,Total exploitable water resources,4196,1982,13.0,E
247,Total exploitable water resources,4196,1987,13.0,E
248,Total exploitable water resources,4196,1992,13.0,E
249,Total exploitable water resources,4196,1997,13.0,E
250,Total exploitable water resources,4196,2002,13.0,E
251,Total exploitable water resources,4196,2007,13.0,E
252,Total exploitable water resources,4196,2012,13.0,E
253,Total exploitable water resources,4196,2017,13.0,E
254,Total exploitable water resources,4196,2018,13.0,E
255,Water resources: total external renewable,4182,1962,39.4,E
256,Water resources: total external renewable,4182,1967,39.4,E
257,Water resources: total external renewable,4182,1972,39.4,E
258,Water resources: total external renewable,4182,1977,39.4,E
259,Water resources: total external renewable,4182,1982,39.4,E
260,Water resources: total external renewable,4182,1987,39.4,E
261,Water resources: total external renewable,4182,1992,39.4,E
262,Water resources: total external renewable,4182,1997,39.4,E
263,Water resources: total external renewable,4182,2002,39.4,E
264,Water resources: total external renewable,4182,2007,39.4,E
265,Water resources: total external renewable,4182,2012,39.4,E
266,Water resources: total external renewable,4182,2017,39.4,E
267,Water resources: total external renewable,4182,2018,39.4,E
268,Total renewable water resources,4188,1962,77.4,E
269,Total renewable water resources,4188,1967,77.4,E
270,Total renewable water resources,4188,1972,77.4,E
271,Total renewable water resources,4188,1977,77.4,E
272,Total renewable water resources,4188,1982,77.4,E
273,Total renewable water resources,4188,1987,77.4,E
274,Total renewable water resources,4188,1992,77.4,E
275,Total renewable water resources,4188,1997,77.4,E
276,Total renewable water resources,4188,2002,77.4,E
277,Total renewable water resources,4188,2007,77.4,E
278,Total renewable water resources,4188,2012,77.4,E
279,Total renewable water resources,4188,2017,77.4,E
280,Total renewable water resources,4188,2018,77.4,E
281,Total renewable water resources per capita,4190,1962,8707.8682339779,E
282,Total renewable water resources per capita,4190,1967,8844.8469852899,E
283,Total renewable water resources per capita,4190,1972,8806.3604222593,E
284,Total renewable water resources per capita,4190,1977,8206.939571795,E
285,Total renewable water resources per capita,4190,1982,7841.291450571,E
286,Total renewable water resources per capita,4190,1987,7807.0894424144,E
287,Total renewable water resources per capita,4190,1992,7777.8759223792,E
288,Total renewable water resources per capita,4190,1997,7607.2063242421,E
289,Total renewable water resources per capita,4190,2002,7452.3490160348,E
290,Total renewable water resources per capita,4190,2007,7320.4344252225,E
291,Total renewable water resources per capita,4190,2012,7353.005441224,E
292,Total renewable water resources per capita,4190,2017,7522.9427886033,E
293,Total renewable water resources per capita,4190,2018,7546.6598571224,E
294,Total agricultural water managed area,4317,1992,848.7666666667,I
295,Total agricultural water managed area,4317,1997,798.3,E
296,Total agricultural water managed area,4317,2002,713.8666666667,I
297,Total agricultural water managed area,4317,2007,583.7,E
298,Total agricultural water managed area,4317,2014,550.2,E
299,Total agricultural water managed area,4317,2018,547.8,I
300,Area equipped for irrigation: total,4313,1992,848.7666666667,I
301,Area equipped for irrigation: total,4313,1997,798.3,E
302,Area equipped for irrigation: total,4313,2002,713.8666666667,I
303,Area equipped for irrigation: total,4313,2007,583.7,E
304,Area equipped for irrigation: total,4313,2014,550.2,E
305,Area equipped for irrigation: total,4313,2018,547.8,I
306,% of agricultural GVA produced by irrigated agriculture,4555,1992,29.1897233941,E
307,% of agricultural GVA produced by irrigated agriculture,4555,1997,25.8626983938,E
308,% of agricultural GVA produced by irrigated agriculture,4555,2002,18.7982766569,E
309,% of agricultural GVA produced by irrigated agriculture,4555,2007,33.9540961146,E
310,% of agricultural GVA produced by irrigated agriculture,4555,2012,34.3183986057,E
311,% of agricultural GVA produced by irrigated agriculture,4555,2015,38.620949005,E
312,% of agricultural GVA produced by irrigated agriculture,4555,2018,36.9892506023,E
314,Ratio between rainfed and irrigated yields,4557,1966,1.778,I
315,Ratio between rainfed and irrigated yields,4557,1971,1.778,I
316,Ratio between rainfed and irrigated yields,4557,1976,1.778,I
317,Ratio between rainfed and irrigated yields,4557,1981,1.778,I
318,Ratio between rainfed and irrigated yields,4557,1986,1.778,I
319,Ratio between rainfed and irrigated yields,4557,1991,1.778,I
320,Ratio between rainfed and irrigated yields,4557,1996,1.778,I
321,Ratio between rainfed and irrigated yields,4557,2001,1.778,I
322,Ratio between rainfed and irrigated yields,4557,2007,1.778,I
323,Ratio between rainfed and irrigated yields,4557,2011,1.778,I
324,Ratio between rainfed and irrigated yields,4557,2017,1.778,I
325,Ratio between rainfed and irrigated yields,4557,2018,1.778,I
326,Agricultural water withdrawal as % of total renewable water resources,4273,1992,8.6993970715,I
327,Agricultural water withdrawal as % of total renewable water resources,4273,1997,11.857881137,I
328,Agricultural water withdrawal as % of total renewable water resources,4273,2002,9.8723595811,I
329,Agricultural water withdrawal as % of total renewable water resources,4273,2007,8.0542173263,I
330,Agricultural water withdrawal as % of total renewable water resources,4273,2012,6.2360750714,I
331,Agricultural water withdrawal as % of total renewable water resources,4273,2017,4.4179328165,E
332,Agricultural water withdrawal as % of total renewable water resources,4273,2018,4.4179328165,E
333,Agricultural water withdrawal,4250,1992,6.7333333333,I
334,Agricultural water withdrawal,4250,1997,9.178,I
335,Agricultural water withdrawal,4250,2002,7.6412063158,I
336,Agricultural water withdrawal,4250,2007,6.2339642105,I
337,Agricultural water withdrawal,4250,2012,4.8267221053,I
338,Agricultural water withdrawal,4250,2016,3.7009284211,I
339,Irrigation water requirement,4260,2007,2.016,E
340,Irrigation water requirement,4260,2012,2.016,I
341,Irrigation water requirement,4260,2017,2.016,I
342,Irrigation water requirement,4260,2018,2.016,I
343,Irrigation water withdrawal,4475,1992,5.3084285714,I
344,Irrigation water withdrawal,4475,1997,6.3505714286,I
345,Irrigation water withdrawal,4475,2002,6.5625555556,I
346,Irrigation water withdrawal,4475,2007,6.567,X
347,Irrigation water withdrawal,4475,2012,3.6276875,I
348,Irrigation water withdrawal,4475,2016,3.4419375,I
349,Municipal water withdrawal,4251,1992,0.4674285714,I
350,Municipal water withdrawal,4251,1997,0.8045714286,I
351,Municipal water withdrawal,4251,2002,0.9942857143,I
352,Municipal water withdrawal,4251,2007,0.9763,X
353,Municipal water withdrawal,4251,2012,0.9105,X
354,Municipal water withdrawal,4251,2015,0.8825,
355,Industrial water withdrawal,4252,1992,2.871,I
356,Industrial water withdrawal,4252,1997,1.726,I
357,Industrial water withdrawal,4252,2002,1.5670421053,I
358,Industrial water withdrawal,4252,2007,1.6545947368,I
359,Industrial water withdrawal,4252,2012,1.7421473684,I
360,Industrial water withdrawal,4252,2016,1.8121894737,I
361,Total water withdrawal,4253,1992,10.0717619048,E
362,Total water withdrawal,4253,1997,11.7085714286,E
363,Total water withdrawal,4253,2002,10.2025341353,E
364,Total water withdrawal,4253,2007,9.151,X
365,Total water withdrawal,4253,2012,7.4793694737,E
366,Total water withdrawal,4253,2017,6.16332,E
367,Fresh surface water withdrawal,4261,2012,5.1361666667,I
368,Fresh surface water withdrawal,4261,2015,5.6066666667,I
369,Fresh groundwater withdrawal,4262,2007,4.794,X
370,Fresh groundwater withdrawal,4262,2012,3.6762777778,I
371,Fresh groundwater withdrawal,4262,2015,3.0056444444,I
372,Total freshwater withdrawal,4263,1992,10.0701619048,E
373,Total freshwater withdrawal,4263,1997,11.7069714286,E
374,Total freshwater withdrawal,4263,2002,10.1979341353,E
375,Total freshwater withdrawal,4263,2006,9.0587968421,E
376,Total freshwater withdrawal,4263,2012,8.8124444444,I
377,Total freshwater withdrawal,4263,2017,6.16147,E
378,Desalinated water produced,4264,1992,0.0016,I
379,Desalinated water produced,4264,1997,0.0016,I
380,Desalinated water produced,4264,2002,0.0016,I
381,Desalinated water produced,4264,2007,0.0016,E
382,Desalinated water produced,4264,2012,0.0023388889,I
383,Desalinated water produced,4264,2015,0.0027822222,I
384,Direct use of treated municipal wastewater,4265,2002,0.003,I
385,Direct use of treated municipal wastewater,4265,2007,0.003,I
386,Direct use of treated municipal wastewater,4265,2012,0.003,I
387,Direct use of treated municipal wastewater,4265,2017,0.003,I
388,Direct use of treated municipal wastewater,4265,2018,0.003,I
390,Produced municipal wastewater,4269,2012,0.577,I
391,Produced municipal wastewater,4269,2017,0.577,I
392,Produced municipal wastewater,4269,2018,0.577,I
393,Collected municipal wastewater,4493,2012,0.61026,I
394,Collected municipal wastewater,4493,2015,0.68052,I
395,Not treated municipal wastewater,4491,2012,0.307,I
396,Not treated municipal wastewater,4491,2017,0.307,I
397,Not treated municipal wastewater,4491,2018,0.307,I
398,Treated municipal wastewater,4270,2012,0.27,I
399,Treated municipal wastewater,4270,2017,0.27,I
400,Treated municipal wastewater,4270,2018,0.27,I
401,Environmental Flow Requirements,4549,1962,27.63,X
402,Environmental Flow Requirements,4549,1967,27.63,X
403,Environmental Flow Requirements,4549,1972,27.63,X
404,Environmental Flow Requirements,4549,1977,27.63,X
405,Environmental Flow Requirements,4549,1982,27.63,X
406,Environmental Flow Requirements,4549,1987,27.63,X
407,Environmental Flow Requirements,4549,1992,27.63,X
408,Environmental Flow Requirements,4549,1997,27.63,X
409,Environmental Flow Requirements,4549,2002,27.63,X
410,Environmental Flow Requirements,4549,2007,27.63,X
411,Environmental Flow Requirements,4549,2012,27.63,X
412,Environmental Flow Requirements,4549,2017,27.63,X
413,SDG 6.4.2. Water Stress,4550,1992,20.2333974377,E
414,SDG 6.4.2. Water Stress,4550,1997,23.5221447229,E
415,SDG 6.4.2. Water Stress,4550,2002,20.4901228357,E
416,SDG 6.4.2. Water Stress,4550,2007,18.3765320474,E
417,SDG 6.4.2. Water Stress,4550,2012,17.7063380439,E
418,SDG 6.4.2. Water Stress,4550,2017,12.3798874824,E
419,SDG 6.4.2. Water Stress,4550,2018,12.3157122765,E
420,SDG 6.4.1. Water Use Efficiency,4551,1992,12.7186896329,I
421,SDG 6.4.1. Water Use Efficiency,4551,1997,12.4360607385,I
422,SDG 6.4.1. Water Use Efficiency,4551,2002,16.6001470246,I
423,SDG 6.4.1. Water Use Efficiency,4551,2005,18.0927175014,I
424,SDG 6.4.1. Water Use Efficiency,4551,2015,25.6803664727,I
425,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1992,0.3799536808,E
426,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1997,0.1845958556,E
427,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2002,0.1330336696,E
428,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2005,0.2290761114,E
429,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,0.4058097167,E
430,SDG 6.4.1. Industrial Water Use Efficiency,4553,1992,11.4523139871,E
431,SDG 6.4.1. Industrial Water Use Efficiency,4553,1997,23.0831111147,E
432,SDG 6.4.1. Industrial Water Use Efficiency,4553,2002,26.9322062779,E
433,SDG 6.4.1. Industrial Water Use Efficiency,4553,2005,23.675261061,E
434,SDG 6.4.1. Industrial Water Use Efficiency,4553,2015,17.7400788301,E
435,SDG 6.4.1. Services Water Use Efficiency,4554,1992,198.2370594047,E
436,SDG 6.4.1. Services Water Use Efficiency,4554,1997,129.351889968,E
437,SDG 6.4.1. Services Water Use Efficiency,4554,2002,126.8680882335,E
438,SDG 6.4.1. Services Water Use Efficiency,4554,2005,121.5690966741,E
439,SDG 6.4.1. Services Water Use Efficiency,4554,2015,155.8821529745,E
440,Harvested irrigated temporary crop area: Wheat,4345,1992,2.7753846154,I
441,Harvested irrigated temporary crop area: Wheat,4345,1997,8.2138461538,I
442,Harvested irrigated temporary crop area: Wheat,4345,2002,13.6523076923,I
443,Harvested irrigated temporary crop area: Wheat,4345,2007,13.788,I
444,Harvested irrigated temporary crop area: Wheat,4345,2012,13.55,I
445,Harvested irrigated temporary crop area: Wheat,4345,2017,13.55,I
446,Harvested irrigated temporary crop area: Wheat,4345,2018,13.55,I
447,Harvested irrigated temporary crop area: Rice,4346,2012,23.49,I
448,Harvested irrigated temporary crop area: Rice,4346,2017,23.49,I
449,Harvested irrigated temporary crop area: Rice,4346,2018,23.49,I
450,Harvested irrigated temporary crop area: Maize,4348,1992,165.9615384615,I
451,Harvested irrigated temporary crop area: Maize,4348,1997,136.6153846154,I
452,Harvested irrigated temporary crop area: Maize,4348,2002,107.2692307692,I
453,Harvested irrigated temporary crop area: Maize,4348,2007,95.512,I
454,Harvested irrigated temporary crop area: Maize,4348,2012,94.04,I
455,Harvested irrigated temporary crop area: Maize,4348,2017,94.04,I
456,Harvested irrigated temporary crop area: Maize,4348,2018,94.04,I
457,Harvested irrigated temporary crop area: Other cereals,4351,2012,51.11,I
458,Harvested irrigated temporary crop area: Other cereals,4351,2017,51.11,I
459,Harvested irrigated temporary crop area: Other cereals,4351,2018,51.11,I
460,Harvested irrigated temporary crop area: Potatoes,4352,1992,62.9861538462,I
461,Harvested irrigated temporary crop area: Potatoes,4352,1997,43.0515384615,I
462,Harvested irrigated temporary crop area: Potatoes,4352,2002,23.1169230769,I
463,Harvested irrigated temporary crop area: Potatoes,4352,2007,18.01,I
464,Harvested irrigated temporary crop area: Potatoes,4352,2012,17.73,I
465,Harvested irrigated temporary crop area: Potatoes,4352,2017,17.73,I
466,Harvested irrigated temporary crop area: Potatoes,4352,2018,17.73,I
467,Harvested irrigated temporary crop area: Sugar beet,4358,1992,0.7515384615,I
468,Harvested irrigated temporary crop area: Sugar beet,4358,1997,2.5553846154,I
469,Harvested irrigated temporary crop area: Sugar beet,4358,2002,4.3592307692,I
470,Harvested irrigated temporary crop area: Sugar beet,4358,2007,4.432,I
471,Harvested irrigated temporary crop area: Sugar beet,4358,2012,4.36,I
472,Harvested irrigated temporary crop area: Sugar beet,4358,2017,4.36,I
473,Harvested irrigated temporary crop area: Sugar beet,4358,2018,4.36,I
474,Harvested irrigated temporary crop area: Leguminous crops,4359,2012,22.18,I
475,Harvested irrigated temporary crop area: Leguminous crops,4359,2017,22.18,I
476,Harvested irrigated temporary crop area: Leguminous crops,4359,2018,22.18,I
477,Harvested irrigated temporary crop area: Vegetables,4360,2012,54.69,I
478,Harvested irrigated temporary crop area: Vegetables,4360,2017,54.69,I
479,Harvested irrigated temporary crop area: Vegetables,4360,2018,54.69,I
480,Harvested irrigated permanent crop area: Citrus,4362,1992,22.7623076923,I
481,Harvested irrigated permanent crop area: Citrus,4362,1997,20.0930769231,I
482,Harvested irrigated permanent crop area: Citrus,4362,2002,17.4238461538,I
483,Harvested irrigated permanent crop area: Citrus,4362,2007,16.898,I
484,Harvested irrigated permanent crop area: Citrus,4362,2012,16.9,I
485,Harvested irrigated permanent crop area: Citrus,4362,2017,16.9,I
