,Variable Name,Variable Id,Year,Value,Symbol
62,Urban population,4106,2017,41637.312,X
63,Urban population,4106,2018,41763.099,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.1804,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.1542,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.0856666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.0676,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.0676,I
69,Gross Domestic Product (GDP),4112,1962,50383891899.0,X
70,Gross Domestic Product (GDP),4112,1967,81133120065.0,X
71,Gross Domestic Product (GDP),4112,1972,145256807739.0,X
72,Gross Domestic Product (GDP),4112,1977,257587527376.0,X
73,Gross Domestic Product (GDP),4112,1982,427264619511.0,X
74,Gross Domestic Product (GDP),4112,1987,805756108951.0,X
75,Gross Domestic Product (GDP),4112,1992,1313803569819.0,X
76,Gross Domestic Product (GDP),4112,1997,1241913280989.0,X
77,Gross Domestic Product (GDP),4112,2002,1270770111571.0,X
78,Gross Domestic Product (GDP),4112,2007,2210179192828.0,X
79,Gross Domestic Product (GDP),4112,2012,2087077032435.0,X
80,Gross Domestic Product (GDP),4112,2015,1835899237320.0,X
81,GDP per capita,4458,1972,2674.044383,X
82,GDP per capita,4458,1977,4612.538521,X
83,GDP per capita,4458,1982,7533.262461,X
84,GDP per capita,4458,1987,14113.922885,X
85,GDP per capita,4458,1992,22973.057157,X
86,GDP per capita,4458,1997,21717.503384,X
87,GDP per capita,4458,2002,21984.971489,X
88,GDP per capita,4458,2007,37262.659984,X
89,GDP per capita,4458,2012,34939.612824,X
90,GDP per capita,4458,2017,33049.354269,X
91,GDP per capita,4458,2018,35163.573799,X
92,"Agriculture, value added (% GDP)",4113,1972,7.042711,X
93,"Agriculture, value added (% GDP)",4113,1977,6.333342,X
94,"Agriculture, value added (% GDP)",4113,1982,5.065805,X
95,"Agriculture, value added (% GDP)",4113,1987,3.989212,X
96,"Agriculture, value added (% GDP)",4113,1992,3.134209,X
97,"Agriculture, value added (% GDP)",4113,1997,2.861912,X
98,"Agriculture, value added (% GDP)",4113,2002,2.371382,X
99,"Agriculture, value added (% GDP)",4113,2007,1.896287,X
100,"Agriculture, value added (% GDP)",4113,2012,1.970753,X
101,"Agriculture, value added (% GDP)",4113,2015,2.065237,X
102,Total population with access to safe drinking-water (JMP),4114,1992,100.0,X
103,Total population with access to safe drinking-water (JMP),4114,1997,100.0,X
104,Total population with access to safe drinking-water (JMP),4114,2002,100.0,X
105,Total population with access to safe drinking-water (JMP),4114,2007,100.0,X
106,Total population with access to safe drinking-water (JMP),4114,2012,100.0,X
107,Total population with access to safe drinking-water (JMP),4114,2017,100.0,I
108,Total population with access to safe drinking-water (JMP),4114,2018,100.0,I
109,Long-term average annual precipitation in volume,4150,1962,250.71488,E
110,Long-term average annual precipitation in volume,4150,1967,250.71488,E
111,Long-term average annual precipitation in volume,4150,1972,250.71488,E
112,Long-term average annual precipitation in volume,4150,1977,250.71488,E
113,Long-term average annual precipitation in volume,4150,1982,250.71488,E
114,Long-term average annual precipitation in volume,4150,1987,250.71488,E
115,Long-term average annual precipitation in volume,4150,1992,250.71488,E
116,Long-term average annual precipitation in volume,4150,1997,250.71488,E
117,Long-term average annual precipitation in volume,4150,2002,250.71488,E
118,Long-term average annual precipitation in volume,4150,2007,250.71488,E
119,Long-term average annual precipitation in volume,4150,2012,250.71488,E
120,Long-term average annual precipitation in volume,4150,2016,250.71488,E
121,Interannual variability (WRI),4541,2017,1.4,I
122,Interannual variability (WRI),4541,2018,1.4,I
123,Seasonal variability (WRI),4542,2017,1.5,I
124,Seasonal variability (WRI),4542,2018,1.5,I
125,Flood occurrence (WRI),4543,2017,2.6,I
126,Flood occurrence (WRI),4543,2018,2.6,I
127,Surface water: entering the country (total),4159,1961,8.8,
128,Surface water: entering the country (total),4159,1966,8.8,
129,Surface water: entering the country (total),4159,1971,8.8,
130,Surface water: entering the country (total),4159,1976,8.8,
131,Surface water: entering the country (total),4159,1981,8.8,
132,Surface water: entering the country (total),4159,1986,8.8,
133,Surface water: entering the country (total),4159,1991,8.8,
134,Surface water: entering the country (total),4159,1996,8.8,
135,Surface water: entering the country (total),4159,2001,8.8,
136,Surface water: entering the country (total),4159,2006,8.8,
138,Surface water: entering the country (total),4159,2017,8.8,
139,Surface water: leaving the country to other countries (total),4171,1962,0.0,
140,Surface water: leaving the country to other countries (total),4171,1967,0.0,
141,Surface water: leaving the country to other countries (total),4171,1972,0.0,
142,Surface water: leaving the country to other countries (total),4171,1977,0.0,
143,Surface water: leaving the country to other countries (total),4171,1982,0.0,
144,Surface water: leaving the country to other countries (total),4171,1987,0.0,
145,Surface water: leaving the country to other countries (total),4171,1992,0.0,
146,Surface water: leaving the country to other countries (total),4171,1997,0.0,
147,Surface water: leaving the country to other countries (total),4171,2002,0.0,
148,Surface water: leaving the country to other countries (total),4171,2007,0.0,
149,Surface water: leaving the country to other countries (total),4171,2012,0.0,
150,Surface water: leaving the country to other countries (total),4171,2017,0.0,
151,Groundwater: entering the country (total),4177,1962,0.0,
152,Groundwater: entering the country (total),4177,1967,0.0,
153,Groundwater: entering the country (total),4177,1972,0.0,
154,Groundwater: entering the country (total),4177,1977,0.0,
155,Groundwater: entering the country (total),4177,1982,0.0,
156,Groundwater: entering the country (total),4177,1987,0.0,
157,Groundwater: entering the country (total),4177,1992,0.0,
158,Groundwater: entering the country (total),4177,1997,0.0,
159,Groundwater: entering the country (total),4177,2002,0.0,
160,Groundwater: entering the country (total),4177,2007,0.0,
161,Groundwater: entering the country (total),4177,2012,0.0,
162,Groundwater: entering the country (total),4177,2017,0.0,
163,Groundwater: leaving the country to other countries (total),4178,1962,0.0,
164,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
165,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
166,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
167,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
168,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
169,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
170,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
171,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
172,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
173,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
174,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
175,Dependency ratio,4192,1962,4.6001045478,E
176,Dependency ratio,4192,1967,4.6001045478,E
177,Dependency ratio,4192,1972,4.6001045478,E
178,Dependency ratio,4192,1977,4.6001045478,E
179,Dependency ratio,4192,1982,4.6001045478,E
180,Dependency ratio,4192,1987,4.6001045478,E
181,Dependency ratio,4192,1992,4.6001045478,E
182,Dependency ratio,4192,1997,4.6001045478,E
183,Dependency ratio,4192,2002,4.6001045478,E
184,Dependency ratio,4192,2007,4.6001045478,E
185,Dependency ratio,4192,2012,4.6001045478,E
186,Dependency ratio,4192,2017,4.6001045478,E
187,Dependency ratio,4192,2018,4.6001045478,E
188,Total internal renewable water resources (IRWR),4157,1962,182.5,E
189,Total internal renewable water resources (IRWR),4157,1967,182.5,E
190,Total internal renewable water resources (IRWR),4157,1972,182.5,E
191,Total internal renewable water resources (IRWR),4157,1977,182.5,E
192,Total internal renewable water resources (IRWR),4157,1982,182.5,E
193,Total internal renewable water resources (IRWR),4157,1987,182.5,E
194,Total internal renewable water resources (IRWR),4157,1992,182.5,E
195,Total internal renewable water resources (IRWR),4157,1997,182.5,E
196,Total internal renewable water resources (IRWR),4157,2002,182.5,E
197,Total internal renewable water resources (IRWR),4157,2007,182.5,E
198,Total internal renewable water resources (IRWR),4157,2012,182.5,E
199,Total internal renewable water resources (IRWR),4157,2017,182.5,E
200,Total internal renewable water resources (IRWR),4157,2018,182.5,E
201,Total internal renewable water resources per capita,4158,1962,3617.9924170447,E
202,Total internal renewable water resources per capita,4158,1967,3480.5999654152,E
203,Total internal renewable water resources per capita,4158,1972,3363.5133553873,E
204,Total internal renewable water resources per capita,4158,1977,3271.9063542752,E
205,Total internal renewable water resources per capita,4158,1982,3221.8278999104,E
206,Total internal renewable water resources per capita,4158,1987,3201.3196242945,E
207,Total internal renewable water resources per capita,4158,1992,3193.613137709,E
208,Total internal renewable water resources per capita,4158,1997,3207.1762017333,E
209,Total internal renewable water resources per capita,4158,2002,3191.5348115392,E
210,Total internal renewable water resources per capita,4158,2007,3106.496081619,E
211,Total internal renewable water resources per capita,4158,2012,3047.7891162398,E
212,Total internal renewable water resources per capita,4158,2017,3007.8929913967,E
213,Total internal renewable water resources per capita,4158,2018,3010.1955239926,E
214,Total renewable surface water,4185,1962,179.3,E
215,Total renewable surface water,4185,1967,179.3,E
216,Total renewable surface water,4185,1972,179.3,E
217,Total renewable surface water,4185,1977,179.3,E
218,Total renewable surface water,4185,1982,179.3,E
219,Total renewable surface water,4185,1987,179.3,E
220,Total renewable surface water,4185,1992,179.3,E
221,Total renewable surface water,4185,1997,179.3,E
222,Total renewable surface water,4185,2002,179.3,E
223,Total renewable surface water,4185,2007,179.3,E
224,Total renewable surface water,4185,2012,179.3,E
225,Total renewable surface water,4185,2017,179.3,E
226,Total renewable surface water,4185,2018,179.3,E
227,Total renewable groundwater,4187,1962,43.0,E
228,Total renewable groundwater,4187,1967,43.0,E
229,Total renewable groundwater,4187,1972,43.0,E
230,Total renewable groundwater,4187,1977,43.0,E
231,Total renewable groundwater,4187,1982,43.0,E
232,Total renewable groundwater,4187,1987,43.0,E
233,Total renewable groundwater,4187,1992,43.0,E
234,Total renewable groundwater,4187,1997,43.0,E
235,Total renewable groundwater,4187,2002,43.0,E
236,Total renewable groundwater,4187,2007,43.0,E
237,Total renewable groundwater,4187,2012,43.0,E
238,Total renewable groundwater,4187,2017,43.0,E
239,Total renewable groundwater,4187,2018,43.0,E
240,Total exploitable water resources,4196,1962,123.0,E
241,Total exploitable water resources,4196,1967,123.0,E
242,Total exploitable water resources,4196,1972,123.0,E
243,Total exploitable water resources,4196,1977,123.0,E
244,Total exploitable water resources,4196,1982,123.0,E
245,Total exploitable water resources,4196,1987,123.0,E
246,Total exploitable water resources,4196,1992,123.0,E
247,Total exploitable water resources,4196,1997,123.0,E
248,Total exploitable water resources,4196,2002,123.0,E
249,Total exploitable water resources,4196,2007,123.0,E
250,Total exploitable water resources,4196,2012,123.0,E
251,Total exploitable water resources,4196,2017,123.0,E
252,Total exploitable water resources,4196,2018,123.0,E
253,Water resources: total external renewable,4182,1962,8.8,E
254,Water resources: total external renewable,4182,1967,8.8,E
255,Water resources: total external renewable,4182,1972,8.8,E
256,Water resources: total external renewable,4182,1977,8.8,E
257,Water resources: total external renewable,4182,1982,8.8,E
258,Water resources: total external renewable,4182,1987,8.8,E
259,Water resources: total external renewable,4182,1992,8.8,E
260,Water resources: total external renewable,4182,1997,8.8,E
261,Water resources: total external renewable,4182,2002,8.8,E
262,Water resources: total external renewable,4182,2007,8.8,E
263,Water resources: total external renewable,4182,2012,8.8,E
264,Water resources: total external renewable,4182,2017,8.8,E
265,Water resources: total external renewable,4182,2018,8.8,E
266,Total renewable water resources,4188,1962,191.3,E
267,Total renewable water resources,4188,1967,191.3,E
268,Total renewable water resources,4188,1972,191.3,E
269,Total renewable water resources,4188,1977,191.3,E
270,Total renewable water resources,4188,1982,191.3,E
271,Total renewable water resources,4188,1987,191.3,E
272,Total renewable water resources,4188,1992,191.3,E
273,Total renewable water resources,4188,1997,191.3,E
274,Total renewable water resources,4188,2002,191.3,E
275,Total renewable water resources,4188,2007,191.3,E
276,Total renewable water resources,4188,2012,191.3,E
277,Total renewable water resources,4188,2017,191.3,E
278,Total renewable water resources,4188,2018,191.3,E
279,Total renewable water resources per capita,4190,1962,3792.4490377022,E
280,Total renewable water resources per capita,4190,1967,3648.4316349805,E
281,Total renewable water resources per capita,4190,1972,3525.6992048525,E
282,Total renewable water resources per capita,4190,1977,3429.6749894403,E
283,Total renewable water resources per capita,4190,1982,3377.1817931663,E
284,Total renewable water resources per capita,4190,1987,3355.6846253564,E
285,Total renewable water resources per capita,4190,1992,3347.6065383218,E
286,Total renewable water resources per capita,4190,1997,3361.8236021457,E
287,Total renewable water resources per capita,4190,2002,3345.4279969723,E
288,Total renewable water resources per capita,4190,2007,3256.2887693903,E
289,Total renewable water resources per capita,4190,2012,3194.7510023928,E
290,Total renewable water resources per capita,4190,2017,3152.931119201,E
291,Total renewable water resources per capita,4190,2018,3155.3446780263,E
292,Total agricultural water managed area,4317,1967,3113.3428571429,E
293,Total agricultural water managed area,4317,1972,3146.7,E
294,Total agricultural water managed area,4317,1977,3180.0571428571,E
295,Total agricultural water managed area,4317,1982,3225.9942857143,E
296,Total agricultural water managed area,4317,1987,3279.8514285714,E
297,Total agricultural water managed area,4317,1992,3389.4785714286,E
298,Total agricultural water managed area,4317,1997,3639.0,E
299,Total agricultural water managed area,4317,2002,3763.6928571429,E
300,Total agricultural water managed area,4317,2007,3950.8,E
301,Total agricultural water managed area,4317,2012,3914.3333333333,I
302,Total agricultural water managed area,4317,2017,4124.0,I
303,Total agricultural water managed area,4317,2018,4124.0,I
304,Area equipped for irrigation: total,4313,1967,3113.3428571429,E
305,Area equipped for irrigation: total,4313,1972,3146.7,E
306,Area equipped for irrigation: total,4313,1977,3180.0571428571,E
307,Area equipped for irrigation: total,4313,1982,3225.9942857143,E
308,Area equipped for irrigation: total,4313,1987,3279.8514285714,E
309,Area equipped for irrigation: total,4313,1992,3389.4785714286,E
310,Area equipped for irrigation: total,4313,1997,3639.0,E
311,Area equipped for irrigation: total,4313,2002,3763.6928571429,E
312,Area equipped for irrigation: total,4313,2007,3950.8,E
313,Area equipped for irrigation: total,4313,2012,3914.3333333333,I
314,Area equipped for irrigation: total,4313,2017,4124.0,I
315,Area equipped for irrigation: total,4313,2018,4124.0,I
316,% of agricultural GVA produced by irrigated agriculture,4555,1992,34.580660134,E
317,% of agricultural GVA produced by irrigated agriculture,4555,1997,46.8676236724,E
318,% of agricultural GVA produced by irrigated agriculture,4555,2002,36.2484579582,E
319,% of agricultural GVA produced by irrigated agriculture,4555,2007,40.2521096032,E
320,% of agricultural GVA produced by irrigated agriculture,4555,2012,40.7434046739,E
321,% of agricultural GVA produced by irrigated agriculture,4555,2017,41.9763774242,E
322,% of agricultural GVA produced by irrigated agriculture,4555,2018,42.1941031932,E
324,Ratio between rainfed and irrigated yields,4557,1966,1.778,I
325,Ratio between rainfed and irrigated yields,4557,1971,1.778,I
326,Ratio between rainfed and irrigated yields,4557,1976,1.778,I
327,Ratio between rainfed and irrigated yields,4557,1981,1.778,I
328,Ratio between rainfed and irrigated yields,4557,1986,1.778,I
329,Ratio between rainfed and irrigated yields,4557,1991,1.778,I
330,Ratio between rainfed and irrigated yields,4557,1996,1.778,I
331,Ratio between rainfed and irrigated yields,4557,2001,1.778,I
332,Ratio between rainfed and irrigated yields,4557,2007,1.778,I
333,Ratio between rainfed and irrigated yields,4557,2011,1.778,I
334,Ratio between rainfed and irrigated yields,4557,2017,1.778,I
335,Ratio between rainfed and irrigated yields,4557,2018,1.778,I
336,Agricultural water withdrawal as % of total renewable water resources,4273,1972,13.2055111642,I
337,Agricultural water withdrawal as % of total renewable water resources,4273,1977,12.7639832723,I
338,Agricultural water withdrawal as % of total renewable water resources,4273,1982,12.3224553805,I
339,Agricultural water withdrawal as % of total renewable water resources,4273,1987,11.8809274886,I
340,Agricultural water withdrawal as % of total renewable water resources,4273,1992,11.4393995967,I
341,Agricultural water withdrawal as % of total renewable water resources,4273,1997,10.9978717049,I
342,Agricultural water withdrawal as % of total renewable water resources,4273,2002,9.3966096632,I
343,Agricultural water withdrawal as % of total renewable water resources,4273,2007,6.7381076843,E
344,Agricultural water withdrawal as % of total renewable water resources,4273,2012,8.5284892838,I
345,Agricultural water withdrawal as % of total renewable water resources,4273,2017,8.8865656038,I
346,Agricultural water withdrawal as % of total renewable water resources,4273,2018,8.8865656038,I
347,Agricultural water withdrawal,4250,1972,25.2621428571,I
348,Agricultural water withdrawal,4250,1977,24.4175,I
349,Agricultural water withdrawal,4250,1982,23.5728571429,I
350,Agricultural water withdrawal,4250,1987,22.7282142857,I
351,Agricultural water withdrawal,4250,1992,21.8835714286,I
352,Agricultural water withdrawal,4250,1997,21.0389285714,I
353,Agricultural water withdrawal,4250,2002,17.9757142857,I
354,Agricultural water withdrawal,4250,2006,13.9071428571,I
355,Agricultural water withdrawal,4250,2012,16.315,I
356,Agricultural water withdrawal,4250,2017,17.0,I
357,Agricultural water withdrawal,4250,2018,17.0,I
358,Irrigation water requirement,4260,2007,8.022,E
359,Irrigation water requirement,4260,2012,8.022,I
360,Irrigation water requirement,4260,2017,8.022,I
361,Irrigation water requirement,4260,2018,8.022,I
362,Irrigation water withdrawal,4475,2007,12.89,E
363,Irrigation water withdrawal,4475,2012,15.4816666667,I
364,Irrigation water withdrawal,4475,2017,16.0,I
365,Irrigation water withdrawal,4475,2018,16.0,I
366,Municipal water withdrawal,4251,1972,7.1736,I
367,Municipal water withdrawal,4251,1977,7.6076,I
368,Municipal water withdrawal,4251,1982,7.5944,I
369,Municipal water withdrawal,4251,1987,6.9104,I
370,Municipal water withdrawal,4251,1992,7.0802222222,I
371,Municipal water withdrawal,4251,1997,8.5307777778,I
372,Municipal water withdrawal,4251,2002,9.0265,I
373,Municipal water withdrawal,4251,2007,9.044,I
374,Municipal water withdrawal,4251,2012,9.451,X
375,Municipal water withdrawal,4251,2017,9.488,I
376,Municipal water withdrawal,4251,2018,9.488,I
377,Industrial water withdrawal,4252,1972,10.236,I
378,Industrial water withdrawal,4252,1977,13.322,I
379,Industrial water withdrawal,4252,1982,14.638,I
380,Industrial water withdrawal,4252,1987,13.304,I
381,Industrial water withdrawal,4252,1992,13.258,I
382,Industrial water withdrawal,4252,1997,15.153,I
383,Industrial water withdrawal,4252,2002,14.9684615385,I
384,Industrial water withdrawal,4252,2007,11.6646153846,I
385,Industrial water withdrawal,4252,2012,8.3607692308,I
386,Industrial water withdrawal,4252,2017,7.7,I
387,Industrial water withdrawal,4252,2018,7.7,I
388,Total water withdrawal,4253,1972,42.6717428571,E
389,Total water withdrawal,4253,1977,45.3471,E
390,Total water withdrawal,4253,1982,45.8052571429,E
391,Total water withdrawal,4253,1987,42.9426142857,E
392,Total water withdrawal,4253,1992,42.2217936508,E
393,Total water withdrawal,4253,1997,44.7227063492,E
394,Total water withdrawal,4253,2002,41.9706758242,E
395,Total water withdrawal,4253,2007,33.5986153846,E
396,Total water withdrawal,4253,2012,34.1267692308,E
397,Total water withdrawal,4253,2017,34.188,E
398,Total water withdrawal,4253,2018,34.188,E
399,Total freshwater withdrawal,4263,1972,42.6717428571,E
400,Total freshwater withdrawal,4263,1977,45.3471,E
401,Total freshwater withdrawal,4263,1982,45.8052571429,E
402,Total freshwater withdrawal,4263,1987,42.8926142857,E
403,Total freshwater withdrawal,4263,1992,42.1244936508,E
404,Total freshwater withdrawal,4263,1997,44.6254063492,E
405,Total freshwater withdrawal,4263,2002,41.7343758242,E
406,Total freshwater withdrawal,4263,2007,33.4563153846,E
407,Total freshwater withdrawal,4263,2012,33.9844692308,E
408,Total freshwater withdrawal,4263,2017,34.0457,E
409,Total freshwater withdrawal,4263,2018,34.0457,E
410,Desalinated water produced,4264,1987,0.05,
411,Desalinated water produced,4264,1992,0.0973,I
412,Desalinated water produced,4264,1997,0.0973,I
413,Desalinated water produced,4264,2002,0.0973,I
414,Desalinated water produced,4264,2007,0.0973,I
415,Desalinated water produced,4264,2012,0.0973,I
416,Desalinated water produced,4264,2017,0.0973,I
417,Desalinated water produced,4264,2018,0.0973,I
418,Direct use of treated municipal wastewater,4265,2002,0.139,I
419,Direct use of treated municipal wastewater,4265,2007,0.045,I
420,Direct use of treated municipal wastewater,4265,2012,0.045,I
421,Direct use of treated municipal wastewater,4265,2017,0.045,I
422,Direct use of treated municipal wastewater,4265,2018,0.045,I
423,Produced municipal wastewater,4269,2002,2.4,
424,Produced municipal wastewater,4269,2006,3.62,I
425,Produced municipal wastewater,4269,2012,3.926,I
426,Produced municipal wastewater,4269,2017,3.926,I
427,Produced municipal wastewater,4269,2018,3.926,I
428,Not treated municipal wastewater,4491,2007,0.024,
429,Not treated municipal wastewater,4491,2012,0.024,I
430,Not treated municipal wastewater,4491,2017,0.024,I
431,Not treated municipal wastewater,4491,2018,0.024,I
432,Treated municipal wastewater,4270,1992,1.3049333333,I
433,Treated municipal wastewater,4270,1997,2.0672666667,I
434,Treated municipal wastewater,4270,2002,2.8296,I
435,Treated municipal wastewater,4270,2006,3.5945,I
436,Treated municipal wastewater,4270,2012,3.902,I
437,Treated municipal wastewater,4270,2017,3.902,I
438,Treated municipal wastewater,4270,2018,3.902,I
451,SDG 6.4.2. Water Stress,4550,1972,37.5995619501,E
452,SDG 6.4.2. Water Stress,4550,1977,39.9569125033,E
453,SDG 6.4.2. Water Stress,4550,1982,40.3606107524,E
454,SDG 6.4.2. Water Stress,4550,1987,37.7941794746,E
455,SDG 6.4.2. Water Stress,4550,1992,37.1173615744,E
456,SDG 6.4.2. Water Stress,4550,1997,39.3210030392,E
457,SDG 6.4.2. Water Stress,4550,2002,36.7736151416,E
458,SDG 6.4.2. Water Stress,4550,2007,29.4795271695,E
459,SDG 6.4.2. Water Stress,4550,2012,29.9449019568,E
460,SDG 6.4.2. Water Stress,4550,2017,29.9988545246,E
461,SDG 6.4.2. Water Stress,4550,2018,29.9988545246,E
462,SDG 6.4.1. Water Use Efficiency,4551,1992,33.691686512,I
463,SDG 6.4.1. Water Use Efficiency,4551,1997,33.9767900984,I
464,SDG 6.4.1. Water Use Efficiency,4551,2002,39.7493433104,I
465,SDG 6.4.1. Water Use Efficiency,4551,2006,49.2375379651,I
466,SDG 6.4.1. Water Use Efficiency,4551,2015,47.6361669826,I
467,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1992,0.7910910265,E
468,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1997,1.0932293727,E
469,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2002,0.9000044351,E
470,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2006,1.0756968766,E
471,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,0.9505456943,E
472,SDG 6.4.1. Industrial Water Use Efficiency,4553,1972,27.6446396563,E
473,SDG 6.4.1. Industrial Water Use Efficiency,4553,1977,27.7521776689,E
474,SDG 6.4.1. Industrial Water Use Efficiency,4553,1982,26.8292898932,E
475,SDG 6.4.1. Industrial Water Use Efficiency,4553,1987,29.5638093983,E
476,SDG 6.4.1. Industrial Water Use Efficiency,4553,1992,29.8911963004,E
477,SDG 6.4.1. Industrial Water Use Efficiency,4553,1997,26.5943243529,E
478,SDG 6.4.1. Industrial Water Use Efficiency,4553,2002,27.6808621931,E
479,SDG 6.4.1. Industrial Water Use Efficiency,4553,2006,33.9374514937,E
480,SDG 6.4.1. Industrial Water Use Efficiency,4553,2015,44.2605194805,E
481,SDG 6.4.1. Services Water Use Efficiency,4554,1972,67.3186233866,E
482,SDG 6.4.1. Services Water Use Efficiency,4554,1977,76.5040267893,E
483,SDG 6.4.1. Services Water Use Efficiency,4554,1982,94.5217059,E
484,SDG 6.4.1. Services Water Use Efficiency,4554,1987,126.0681389233,E
485,SDG 6.4.1. Services Water Use Efficiency,4554,1992,142.4975129954,E
486,SDG 6.4.1. Services Water Use Efficiency,4554,1997,128.188761112,E
487,SDG 6.4.1. Services Water Use Efficiency,4554,2002,137.1283065012,E
488,SDG 6.4.1. Services Water Use Efficiency,4554,2006,144.6865599477,E
489,SDG 6.4.1. Services Water Use Efficiency,4554,2015,134.0240303541,E
490,Harvested irrigated temporary crop area: Wheat,4345,1992,69.1266666667,I
491,Harvested irrigated temporary crop area: Wheat,4345,1997,86.3585714286,I
492,Harvested irrigated temporary crop area: Wheat,4345,2002,71.3933333333,I
493,Harvested irrigated temporary crop area: Wheat,4345,2007,105.878,I
494,Harvested irrigated temporary crop area: Wheat,4345,2012,118.0,I
495,Harvested irrigated temporary crop area: Wheat,4345,2017,118.0,I
496,Harvested irrigated temporary crop area: Wheat,4345,2018,118.0,I
497,Harvested irrigated temporary crop area: Rice,4346,2012,241.0,I
498,Harvested irrigated temporary crop area: Rice,4346,2017,241.0,I
499,Harvested irrigated temporary crop area: Rice,4346,2018,241.0,I
500,Harvested irrigated temporary crop area: Maize,4348,1992,530.6333333333,I
501,Harvested irrigated temporary crop area: Maize,4348,1997,588.0857142857,I
502,Harvested irrigated temporary crop area: Maize,4348,2002,651.8666666667,I
