,Variable Name,Variable Id,Year,Value,Symbol
76,Gross Domestic Product (GDP),4112,2017,996944444.0,X
77,Gross Domestic Product (GDP),4112,2018,1010822222.0,X
78,GDP per capita,4458,1972,789.306063,X
79,GDP per capita,4458,1977,1012.614271,X
80,GDP per capita,4458,1982,2011.651051,X
81,GDP per capita,4458,1987,3573.024791,X
82,GDP per capita,4458,1992,5854.235561,X
83,GDP per capita,4458,1997,8535.936383,X
84,GDP per capita,4458,2002,10304.23876,X
85,GDP per capita,4458,2007,13845.794452,X
86,GDP per capita,4458,2012,15219.615805,X
87,GDP per capita,4458,2017,18013.270294,X
88,GDP per capita,4458,2018,18098.875957,X
89,"Agriculture, value added (% GDP)",4113,1972,10.275402,X
90,"Agriculture, value added (% GDP)",4113,1977,10.462793,X
91,"Agriculture, value added (% GDP)",4113,1982,8.154654,X
92,"Agriculture, value added (% GDP)",4113,1987,5.91096,X
93,"Agriculture, value added (% GDP)",4113,1992,3.984582,X
94,"Agriculture, value added (% GDP)",4113,1997,3.050904,X
95,"Agriculture, value added (% GDP)",4113,2002,1.785577,X
96,"Agriculture, value added (% GDP)",4113,2007,1.155249,X
97,"Agriculture, value added (% GDP)",4113,2012,1.30673,X
98,"Agriculture, value added (% GDP)",4113,2017,1.109316,X
99,"Agriculture, value added (% GDP)",4113,2018,1.154176,X
100,Total population with access to safe drinking-water (JMP),4114,1992,98.3,X
101,Total population with access to safe drinking-water (JMP),4114,1997,98.3,X
102,Total population with access to safe drinking-water (JMP),4114,2002,98.3,X
103,Total population with access to safe drinking-water (JMP),4114,2007,98.3,X
104,Total population with access to safe drinking-water (JMP),4114,2012,98.3,X
105,Total population with access to safe drinking-water (JMP),4114,2017,98.3,I
106,Total population with access to safe drinking-water (JMP),4114,2018,98.3,I
107,Long-term average annual precipitation in volume,4150,1962,0.49945,E
108,Long-term average annual precipitation in volume,4150,1967,0.49945,E
109,Long-term average annual precipitation in volume,4150,1972,0.49945,E
110,Long-term average annual precipitation in volume,4150,1977,0.49945,E
111,Long-term average annual precipitation in volume,4150,1982,0.37102,E
112,Long-term average annual precipitation in volume,4150,1987,0.37102,E
113,Long-term average annual precipitation in volume,4150,1992,0.37102,E
114,Long-term average annual precipitation in volume,4150,1997,0.37102,E
115,Long-term average annual precipitation in volume,4150,2002,0.37102,E
116,Long-term average annual precipitation in volume,4150,2007,0.37102,E
117,Long-term average annual precipitation in volume,4150,2012,0.37102,E
118,Long-term average annual precipitation in volume,4150,2017,0.37102,E
119,Long-term average annual precipitation in volume,4150,2018,0.37102,E
120,Surface water: entering the country (total),4159,1962,0.0,
121,Surface water: entering the country (total),4159,1967,0.0,
122,Surface water: entering the country (total),4159,1972,0.0,
123,Surface water: entering the country (total),4159,1977,0.0,
124,Surface water: entering the country (total),4159,1982,0.0,
125,Surface water: entering the country (total),4159,1987,0.0,
126,Surface water: entering the country (total),4159,1992,0.0,
127,Surface water: entering the country (total),4159,1997,0.0,
128,Surface water: entering the country (total),4159,2002,0.0,
129,Surface water: entering the country (total),4159,2007,0.0,
130,Surface water: entering the country (total),4159,2012,0.0,
131,Surface water: entering the country (total),4159,2017,0.0,
132,Surface water: leaving the country to other countries (total),4171,1962,0.0,
133,Surface water: leaving the country to other countries (total),4171,1967,0.0,
134,Surface water: leaving the country to other countries (total),4171,1972,0.0,
135,Surface water: leaving the country to other countries (total),4171,1977,0.0,
136,Surface water: leaving the country to other countries (total),4171,1982,0.0,
137,Surface water: leaving the country to other countries (total),4171,1987,0.0,
138,Surface water: leaving the country to other countries (total),4171,1992,0.0,
139,Surface water: leaving the country to other countries (total),4171,1997,0.0,
140,Surface water: leaving the country to other countries (total),4171,2002,0.0,
141,Surface water: leaving the country to other countries (total),4171,2007,0.0,
142,Surface water: leaving the country to other countries (total),4171,2012,0.0,
143,Surface water: leaving the country to other countries (total),4171,2017,0.0,
144,Groundwater: entering the country (total),4177,1962,0.0,
145,Groundwater: entering the country (total),4177,1967,0.0,
146,Groundwater: entering the country (total),4177,1972,0.0,
147,Groundwater: entering the country (total),4177,1977,0.0,
148,Groundwater: entering the country (total),4177,1982,0.0,
149,Groundwater: entering the country (total),4177,1987,0.0,
150,Groundwater: entering the country (total),4177,1992,0.0,
151,Groundwater: entering the country (total),4177,1997,0.0,
152,Groundwater: entering the country (total),4177,2002,0.0,
153,Groundwater: entering the country (total),4177,2007,0.0,
154,Groundwater: entering the country (total),4177,2012,0.0,
155,Groundwater: entering the country (total),4177,2017,0.0,
156,Groundwater: leaving the country to other countries (total),4178,1962,0.0,
157,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
158,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
159,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
160,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
161,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
162,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
163,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
164,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
165,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
166,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
167,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
168,Dependency ratio,4192,1962,0.0,E
169,Dependency ratio,4192,1967,0.0,E
170,Dependency ratio,4192,1972,0.0,E
171,Dependency ratio,4192,1977,0.0,E
172,Dependency ratio,4192,1982,0.0,E
173,Dependency ratio,4192,1987,0.0,E
174,Dependency ratio,4192,1992,0.0,E
175,Dependency ratio,4192,1997,0.0,E
176,Dependency ratio,4192,2002,0.0,E
177,Dependency ratio,4192,2007,0.0,E
178,Dependency ratio,4192,2012,0.0,E
179,Dependency ratio,4192,2017,0.0,E
180,Dependency ratio,4192,2018,0.0,E
181,Total internal renewable water resources (IRWR),4157,1962,0.024,E
182,Total internal renewable water resources (IRWR),4157,1967,0.024,E
183,Total internal renewable water resources (IRWR),4157,1972,0.024,E
184,Total internal renewable water resources (IRWR),4157,1977,0.024,E
185,Total internal renewable water resources (IRWR),4157,1982,0.024,E
186,Total internal renewable water resources (IRWR),4157,1987,0.024,E
187,Total internal renewable water resources (IRWR),4157,1992,0.024,E
188,Total internal renewable water resources (IRWR),4157,1997,0.024,E
189,Total internal renewable water resources (IRWR),4157,2002,0.024,E
190,Total internal renewable water resources (IRWR),4157,2007,0.024,E
191,Total internal renewable water resources (IRWR),4157,2012,0.024,E
192,Total internal renewable water resources (IRWR),4157,2017,0.024,E
193,Total internal renewable water resources (IRWR),4157,2018,0.024,E
194,Total internal renewable water resources per capita,4158,1962,470.9298903126,E
195,Total internal renewable water resources per capita,4158,1967,506.532154239,E
196,Total internal renewable water resources per capita,4158,1972,541.5162454874,E
197,Total internal renewable water resources per capita,4158,1977,546.1745027536,E
198,Total internal renewable water resources per capita,4158,1982,561.692566935,E
199,Total internal renewable water resources per capita,4158,1987,584.781072586,E
200,Total internal renewable water resources per capita,4158,1992,589.7240582844,E
201,Total internal renewable water resources per capita,4158,1997,560.0410696784,E
202,Total internal renewable water resources per capita,4158,2002,531.3849219528,E
203,Total internal renewable water resources per capita,4158,2007,502.3232450082,E
204,Total internal renewable water resources per capita,4158,2012,481.0872572013,E
205,Total internal renewable water resources per capita,4158,2017,461.1393985974,E
206,Total internal renewable water resources per capita,4158,2018,457.6571766366,E
207,Total renewable surface water,4185,1962,0.004,E
208,Total renewable surface water,4185,1967,0.004,E
209,Total renewable surface water,4185,1972,0.004,E
210,Total renewable surface water,4185,1977,0.004,E
211,Total renewable surface water,4185,1982,0.004,E
212,Total renewable surface water,4185,1987,0.004,E
213,Total renewable surface water,4185,1992,0.004,E
214,Total renewable surface water,4185,1997,0.004,E
215,Total renewable surface water,4185,2002,0.004,E
216,Total renewable surface water,4185,2007,0.004,E
217,Total renewable surface water,4185,2012,0.004,E
218,Total renewable surface water,4185,2017,0.004,E
219,Total renewable surface water,4185,2018,0.004,E
220,Total renewable groundwater,4187,1962,0.02,E
221,Total renewable groundwater,4187,1967,0.02,E
222,Total renewable groundwater,4187,1972,0.02,E
223,Total renewable groundwater,4187,1977,0.02,E
224,Total renewable groundwater,4187,1982,0.02,E
225,Total renewable groundwater,4187,1987,0.02,E
226,Total renewable groundwater,4187,1992,0.02,E
227,Total renewable groundwater,4187,1997,0.02,E
228,Total renewable groundwater,4187,2002,0.02,E
229,Total renewable groundwater,4187,2007,0.02,E
230,Total renewable groundwater,4187,2012,0.02,E
231,Total renewable groundwater,4187,2017,0.02,E
232,Total renewable groundwater,4187,2018,0.02,E
233,Water resources: total external renewable,4182,1962,0.0,E
234,Water resources: total external renewable,4182,1967,0.0,E
235,Water resources: total external renewable,4182,1972,0.0,E
236,Water resources: total external renewable,4182,1977,0.0,E
237,Water resources: total external renewable,4182,1982,0.0,E
238,Water resources: total external renewable,4182,1987,0.0,E
239,Water resources: total external renewable,4182,1992,0.0,E
240,Water resources: total external renewable,4182,1997,0.0,E
241,Water resources: total external renewable,4182,2002,0.0,E
242,Water resources: total external renewable,4182,2007,0.0,E
243,Water resources: total external renewable,4182,2012,0.0,E
244,Water resources: total external renewable,4182,2017,0.0,E
245,Water resources: total external renewable,4182,2018,0.0,E
246,Total renewable water resources,4188,1962,0.024,E
247,Total renewable water resources,4188,1967,0.024,E
248,Total renewable water resources,4188,1972,0.024,E
249,Total renewable water resources,4188,1977,0.024,E
250,Total renewable water resources,4188,1982,0.024,E
251,Total renewable water resources,4188,1987,0.024,E
252,Total renewable water resources,4188,1992,0.024,E
253,Total renewable water resources,4188,1997,0.024,E
254,Total renewable water resources,4188,2002,0.024,E
255,Total renewable water resources,4188,2007,0.024,E
256,Total renewable water resources,4188,2012,0.024,E
257,Total renewable water resources,4188,2017,0.024,E
258,Total renewable water resources,4188,2018,0.024,E
259,Total renewable water resources per capita,4190,1962,470.9298903126,E
260,Total renewable water resources per capita,4190,1967,506.532154239,E
261,Total renewable water resources per capita,4190,1972,541.5162454874,E
262,Total renewable water resources per capita,4190,1977,546.1745027536,E
263,Total renewable water resources per capita,4190,1982,561.692566935,E
264,Total renewable water resources per capita,4190,1987,584.781072586,E
265,Total renewable water resources per capita,4190,1992,589.7240582844,E
266,Total renewable water resources per capita,4190,1997,560.0410696784,E
267,Total renewable water resources per capita,4190,2002,531.3849219528,E
268,Total renewable water resources per capita,4190,2007,502.3232450082,E
269,Total renewable water resources per capita,4190,2012,481.0872572013,E
270,Total renewable water resources per capita,4190,2017,461.1393985974,E
271,Total renewable water resources per capita,4190,2018,457.6571766366,E
272,Total agricultural water managed area,4317,1997,0.018,
273,Total agricultural water managed area,4317,2002,0.0203333333,I
274,Total agricultural water managed area,4317,2007,0.0226666667,I
275,Total agricultural water managed area,4317,2012,0.025,E
276,Total agricultural water managed area,4317,2017,0.025,I
277,Total agricultural water managed area,4317,2018,0.025,I
278,Area equipped for irrigation: total,4313,1997,0.018,
279,Area equipped for irrigation: total,4313,2002,0.0203333333,I
280,Area equipped for irrigation: total,4313,2007,0.0226666667,I
281,Area equipped for irrigation: total,4313,2012,0.025,E
282,Area equipped for irrigation: total,4313,2017,0.025,I
283,Area equipped for irrigation: total,4313,2018,0.025,I
284,% of agricultural GVA produced by irrigated agriculture,4555,2012,0.8682573323,E
285,% of agricultural GVA produced by irrigated agriculture,4555,2017,0.8682573323,I
286,% of agricultural GVA produced by irrigated agriculture,4555,2018,0.8682573323,I
288,Ratio between rainfed and irrigated yields,4557,1966,1.778,I
289,Ratio between rainfed and irrigated yields,4557,1971,1.778,I
290,Ratio between rainfed and irrigated yields,4557,1976,1.778,I
291,Ratio between rainfed and irrigated yields,4557,1981,1.778,I
292,Ratio between rainfed and irrigated yields,4557,1986,1.778,I
293,Ratio between rainfed and irrigated yields,4557,1991,1.778,I
294,Ratio between rainfed and irrigated yields,4557,1996,1.778,I
295,Ratio between rainfed and irrigated yields,4557,2001,1.778,I
296,Ratio between rainfed and irrigated yields,4557,2007,1.778,I
297,Ratio between rainfed and irrigated yields,4557,2011,1.778,I
298,Ratio between rainfed and irrigated yields,4557,2017,1.778,I
299,Ratio between rainfed and irrigated yields,4557,2018,1.778,I
300,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.8333333333,E
301,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.8333333333,I
302,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.8333333333,I
303,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.8333333333,E
304,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.8333333333,I
305,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.8333333333,I
307,Agricultural water withdrawal,4250,2002,0.0002,I
308,Agricultural water withdrawal,4250,2007,0.0002,I
309,Agricultural water withdrawal,4250,2011,0.0002,I
310,Agricultural water withdrawal,4250,2017,0.0002,I
311,Agricultural water withdrawal,4250,2018,0.0002,I
312,Irrigation water requirement,4260,2002,5e-05,I
313,Irrigation water requirement,4260,2007,5e-05,I
314,Irrigation water requirement,4260,2012,5e-05,I
315,Irrigation water requirement,4260,2017,5e-05,I
316,Irrigation water requirement,4260,2018,5e-05,I
317,Irrigation water withdrawal,4475,1997,0.0002,E
318,Irrigation water withdrawal,4475,2002,0.0002,I
319,Irrigation water withdrawal,4475,2007,0.0002,I
320,Irrigation water withdrawal,4475,2012,0.0002,I
321,Irrigation water withdrawal,4475,2017,0.0002,I
322,Irrigation water withdrawal,4475,2018,0.0002,I
323,Municipal water withdrawal,4251,2017,0.0154,I
324,Municipal water withdrawal,4251,2018,0.0154,I
325,Industrial water withdrawal,4252,2012,0.0,E
326,Industrial water withdrawal,4252,2017,0.0,I
327,Industrial water withdrawal,4252,2018,0.0,I
328,Total water withdrawal,4253,2012,0.0156,E
329,Total water withdrawal,4253,2017,0.0156,I
330,Total water withdrawal,4253,2018,0.0156,I
331,Fresh surface water withdrawal,4261,2017,0.0046,I
332,Fresh surface water withdrawal,4261,2018,0.0046,I
333,Fresh groundwater withdrawal,4262,2017,0.0076,I
334,Fresh groundwater withdrawal,4262,2018,0.0076,I
335,Total freshwater withdrawal,4263,2012,0.0122,E
336,Total freshwater withdrawal,4263,2017,0.0122,I
337,Total freshwater withdrawal,4263,2018,0.0122,I
338,Desalinated water produced,4264,2007,0.0033,I
339,Desalinated water produced,4264,2012,0.0033,E
340,Desalinated water produced,4264,2017,0.0033,I
341,Desalinated water produced,4264,2018,0.0033,I
346,SDG 6.4.2. Water Stress,4550,2012,50.8333333333,E
347,SDG 6.4.2. Water Stress,4550,2017,50.8333333333,I
348,SDG 6.4.2. Water Stress,4550,2018,50.8333333333,I
349,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2012,0.4627735108,E
350,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,0.4127438096,E
351,SDG 6.4.1. Services Water Use Efficiency,4554,2012,37.5494461739,E
352,SDG 6.4.1. Services Water Use Efficiency,4554,2015,40.1916786948,E
353,Harvested irrigated temporary crop area: Vegetables,4360,2012,0.025,E
354,Harvested irrigated temporary crop area: Vegetables,4360,2017,0.025,I
355,Harvested irrigated temporary crop area: Vegetables,4360,2018,0.025,I
