,Variable Name,Variable Id,Year,Value,Symbol
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.4686666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.5249,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.5249,I
69,Gross Domestic Product (GDP),4112,1962,2379611063.0,X
70,Gross Domestic Product (GDP),4112,1967,3046339295.0,X
71,Gross Domestic Product (GDP),4112,1972,5969547339.0,X
72,Gross Domestic Product (GDP),4112,1977,12973193373.0,X
73,Gross Domestic Product (GDP),4112,1982,18109357741.0,X
74,Gross Domestic Product (GDP),4112,1987,21958663937.0,X
75,Gross Domestic Product (GDP),4112,1992,33403918960.0,X
76,Gross Domestic Product (GDP),4112,1997,39231483632.0,X
77,Gross Domestic Product (GDP),4112,2002,42468910881.0,X
78,Gross Domestic Product (GDP),4112,2007,79040973268.0,X
79,Gross Domestic Product (GDP),4112,2012,98265835438.0,X
80,Gross Domestic Product (GDP),4112,2016,103311901731.0,X
81,GDP per capita,4458,1972,357.564916,X
82,GDP per capita,4458,1977,696.099661,X
83,GDP per capita,4458,1982,861.660302,X
84,GDP per capita,4458,1987,934.500068,X
85,GDP per capita,4458,1992,1295.15254,X
86,GDP per capita,4458,1997,1409.890865,X
87,GDP per capita,4458,2002,1439.020782,X
88,GDP per capita,4458,2007,2531.264795,X
89,GDP per capita,4458,2012,2947.934765,X
90,GDP per capita,4458,2017,3069.826908,X
91,GDP per capita,4458,2018,3258.233846,X
92,"Agriculture, value added (% GDP)",4113,1972,19.769128,X
93,"Agriculture, value added (% GDP)",4113,1977,15.242983,X
94,"Agriculture, value added (% GDP)",4113,1982,14.245464,X
95,"Agriculture, value added (% GDP)",4113,1987,14.328433,X
96,"Agriculture, value added (% GDP)",4113,1992,14.317607,X
97,"Agriculture, value added (% GDP)",4113,1997,14.365936,X
98,"Agriculture, value added (% GDP)",4113,2002,13.129584,X
99,"Agriculture, value added (% GDP)",4113,2007,10.863126,X
100,"Agriculture, value added (% GDP)",4113,2012,12.32956,X
101,"Agriculture, value added (% GDP)",4113,2016,11.996696,X
102,"Agriculture, value added to GDP",4548,1967,662187531.0,X
103,"Agriculture, value added to GDP",4548,1969,705859105.0,X
104,Number of people undernourished (3-year average),4473,1992,1500.0,X
105,Number of people undernourished (3-year average),4473,1997,2000.0,X
106,Number of people undernourished (3-year average),4473,2001,2000.0,X
107,Number of people undernourished (3-year average),4473,2006,1700.0,X
108,Number of people undernourished (3-year average),4473,2012,1700.0,X
109,Number of people undernourished (3-year average),4473,2017,1300.0,X
110,Prevalence of undernourishment (3-year average),4474,1992,5.9,X
111,Prevalence of undernourishment (3-year average),4474,1997,7.2,X
112,Prevalence of undernourishment (3-year average),4474,2001,6.8,X
113,Prevalence of undernourishment (3-year average),4474,2006,5.5,X
114,Prevalence of undernourishment (3-year average),4474,2012,5.3,X
115,Prevalence of undernourishment (3-year average),4474,2017,3.8,X
116,Total population with access to safe drinking-water (JMP),4114,1992,74.0,X
117,Total population with access to safe drinking-water (JMP),4114,1997,76.9,X
118,Total population with access to safe drinking-water (JMP),4114,2002,79.3,X
119,Total population with access to safe drinking-water (JMP),4114,2007,81.9,X
120,Total population with access to safe drinking-water (JMP),4114,2012,84.6,X
121,Total population with access to safe drinking-water (JMP),4114,2017,85.4,I
122,Total population with access to safe drinking-water (JMP),4114,2018,85.4,I
123,Long-term average annual precipitation in volume,4150,1962,154.5063,E
124,Long-term average annual precipitation in volume,4150,1967,154.5063,E
125,Long-term average annual precipitation in volume,4150,1972,154.5063,E
126,Long-term average annual precipitation in volume,4150,1977,154.5063,E
127,Long-term average annual precipitation in volume,4150,1982,154.5063,E
128,Long-term average annual precipitation in volume,4150,1987,154.5063,E
129,Long-term average annual precipitation in volume,4150,1992,154.5063,E
130,Long-term average annual precipitation in volume,4150,1997,154.5063,E
131,Long-term average annual precipitation in volume,4150,2002,154.5063,E
132,Long-term average annual precipitation in volume,4150,2007,154.5063,E
133,Long-term average annual precipitation in volume,4150,2012,154.5063,E
134,Long-term average annual precipitation in volume,4150,2017,154.5063,E
135,Long-term average annual precipitation in volume,4150,2018,154.5063,E
136,Interannual variability (WRI),4541,2017,3.1,I
137,Interannual variability (WRI),4541,2018,3.1,I
138,Seasonal variability (WRI),4542,2017,2.1,I
139,Seasonal variability (WRI),4542,2018,2.1,I
140,Flood occurrence (WRI),4543,2017,2.9,I
141,Flood occurrence (WRI),4543,2018,2.9,I
142,Surface water: entering the country (total),4159,1962,0.0,
143,Surface water: entering the country (total),4159,1967,0.0,
144,Surface water: entering the country (total),4159,1972,0.0,
145,Surface water: entering the country (total),4159,1977,0.0,
146,Surface water: entering the country (total),4159,1982,0.0,
147,Surface water: entering the country (total),4159,1987,0.0,
148,Surface water: entering the country (total),4159,1992,0.0,
149,Surface water: entering the country (total),4159,1997,0.0,
150,Surface water: entering the country (total),4159,2002,0.0,
151,Surface water: entering the country (total),4159,2007,0.0,
152,Surface water: entering the country (total),4159,2012,0.0,
153,Surface water: entering the country (total),4159,2017,0.0,
154,Surface water: leaving the country to other countries (total),4171,1961,0.23,
155,Surface water: leaving the country to other countries (total),4171,1966,0.23,
156,Surface water: leaving the country to other countries (total),4171,1971,0.23,
157,Surface water: leaving the country to other countries (total),4171,1976,0.23,
158,Surface water: leaving the country to other countries (total),4171,1981,0.23,
159,Surface water: leaving the country to other countries (total),4171,1986,0.23,
160,Surface water: leaving the country to other countries (total),4171,1991,0.23,
161,Surface water: leaving the country to other countries (total),4171,1996,0.23,
162,Surface water: leaving the country to other countries (total),4171,2001,0.23,
163,Surface water: leaving the country to other countries (total),4171,2006,0.23,
165,Surface water: leaving the country to other countries (total),4171,2017,0.23,
166,Groundwater: entering the country (total),4177,1962,0.0,E
167,Groundwater: entering the country (total),4177,1967,0.0,E
168,Groundwater: entering the country (total),4177,1972,0.0,E
169,Groundwater: entering the country (total),4177,1977,0.0,E
170,Groundwater: entering the country (total),4177,1982,0.0,E
171,Groundwater: entering the country (total),4177,1987,0.0,E
172,Groundwater: entering the country (total),4177,1992,0.0,E
173,Groundwater: entering the country (total),4177,1997,0.0,E
174,Groundwater: entering the country (total),4177,2002,0.0,E
175,Groundwater: entering the country (total),4177,2007,0.0,E
176,Groundwater: entering the country (total),4177,2012,0.0,E
177,Groundwater: entering the country (total),4177,2017,0.0,E
178,Groundwater: leaving the country to other countries (total),4178,1962,0.03,
179,Groundwater: leaving the country to other countries (total),4178,1967,0.03,
180,Groundwater: leaving the country to other countries (total),4178,1972,0.03,
181,Groundwater: leaving the country to other countries (total),4178,1977,0.03,
182,Groundwater: leaving the country to other countries (total),4178,1982,0.03,
183,Groundwater: leaving the country to other countries (total),4178,1987,0.03,
184,Groundwater: leaving the country to other countries (total),4178,1992,0.03,
185,Groundwater: leaving the country to other countries (total),4178,1997,0.03,
186,Groundwater: leaving the country to other countries (total),4178,2002,0.03,
187,Groundwater: leaving the country to other countries (total),4178,2007,0.03,
188,Groundwater: leaving the country to other countries (total),4178,2012,0.03,
189,Groundwater: leaving the country to other countries (total),4178,2017,0.03,
190,Dependency ratio,4192,1962,0.0,E
191,Dependency ratio,4192,1967,0.0,E
192,Dependency ratio,4192,1972,0.0,E
193,Dependency ratio,4192,1977,0.0,E
194,Dependency ratio,4192,1982,0.0,E
195,Dependency ratio,4192,1987,0.0,E
196,Dependency ratio,4192,1992,0.0,E
197,Dependency ratio,4192,1997,0.0,E
198,Dependency ratio,4192,2002,0.0,E
199,Dependency ratio,4192,2007,0.0,E
200,Dependency ratio,4192,2012,0.0,E
201,Dependency ratio,4192,2017,0.0,E
202,Dependency ratio,4192,2018,0.0,E
203,Total internal renewable water resources (IRWR),4157,1962,29.0,E
204,Total internal renewable water resources (IRWR),4157,1967,29.0,E
205,Total internal renewable water resources (IRWR),4157,1972,29.0,E
206,Total internal renewable water resources (IRWR),4157,1977,29.0,E
207,Total internal renewable water resources (IRWR),4157,1982,29.0,E
208,Total internal renewable water resources (IRWR),4157,1987,29.0,E
209,Total internal renewable water resources (IRWR),4157,1992,29.0,E
210,Total internal renewable water resources (IRWR),4157,1997,29.0,E
211,Total internal renewable water resources (IRWR),4157,2002,29.0,E
212,Total internal renewable water resources (IRWR),4157,2007,29.0,E
213,Total internal renewable water resources (IRWR),4157,2012,29.0,E
214,Total internal renewable water resources (IRWR),4157,2017,29.0,E
215,Total internal renewable water resources (IRWR),4157,2018,29.0,E
216,Total internal renewable water resources per capita,4158,1962,2214.6046609944,E
217,Total internal renewable water resources per capita,4158,1967,1939.2764399111,E
218,Total internal renewable water resources per capita,4158,1972,1736.8502914704,E
219,Total internal renewable water resources per capita,4158,1977,1557.4573123776,E
220,Total internal renewable water resources per capita,4158,1982,1382.0047446606,E
221,Total internal renewable water resources per capita,4158,1987,1236.8187112076,E
222,Total internal renewable water resources per capita,4158,1992,1127.9040905036,E
223,Total internal renewable water resources per capita,4158,1997,1044.8729328225,E
224,Total internal renewable water resources per capita,4158,2002,984.5604623333,E
225,Total internal renewable water resources per capita,4158,2007,930.5706679697,E
226,Total internal renewable water resources per capita,4158,2012,872.3929739275,E
227,Total internal renewable water resources per capita,4158,2017,815.0358946024,E
228,Total internal renewable water resources per capita,4158,2018,804.9050804582,E
229,Total renewable surface water,4185,1962,22.0,E
230,Total renewable surface water,4185,1967,22.0,E
231,Total renewable surface water,4185,1972,22.0,E
232,Total renewable surface water,4185,1977,22.0,E
233,Total renewable surface water,4185,1982,22.0,E
234,Total renewable surface water,4185,1987,22.0,E
235,Total renewable surface water,4185,1992,22.0,E
236,Total renewable surface water,4185,1997,22.0,E
237,Total renewable surface water,4185,2002,22.0,E
238,Total renewable surface water,4185,2007,22.0,E
239,Total renewable surface water,4185,2012,22.0,E
240,Total renewable surface water,4185,2017,22.0,E
241,Total renewable surface water,4185,2018,22.0,E
242,Total renewable groundwater,4187,1962,10.0,E
243,Total renewable groundwater,4187,1967,10.0,E
244,Total renewable groundwater,4187,1972,10.0,E
245,Total renewable groundwater,4187,1977,10.0,E
246,Total renewable groundwater,4187,1982,10.0,E
247,Total renewable groundwater,4187,1987,10.0,E
248,Total renewable groundwater,4187,1992,10.0,E
249,Total renewable groundwater,4187,1997,10.0,E
250,Total renewable groundwater,4187,2002,10.0,E
251,Total renewable groundwater,4187,2007,10.0,E
252,Total renewable groundwater,4187,2012,10.0,E
253,Total renewable groundwater,4187,2017,10.0,E
254,Total renewable groundwater,4187,2018,10.0,E
255,Total exploitable water resources,4196,1962,20.0,E
256,Total exploitable water resources,4196,1967,20.0,E
257,Total exploitable water resources,4196,1972,20.0,E
258,Total exploitable water resources,4196,1977,20.0,E
259,Total exploitable water resources,4196,1982,20.0,E
260,Total exploitable water resources,4196,1987,20.0,E
261,Total exploitable water resources,4196,1992,20.0,E
262,Total exploitable water resources,4196,1997,20.0,E
263,Total exploitable water resources,4196,2002,20.0,E
264,Total exploitable water resources,4196,2007,20.0,E
265,Total exploitable water resources,4196,2012,20.0,E
266,Total exploitable water resources,4196,2017,20.0,E
267,Total exploitable water resources,4196,2018,20.0,E
268,Water resources: total external renewable,4182,1962,0.0,E
269,Water resources: total external renewable,4182,1967,0.0,E
270,Water resources: total external renewable,4182,1972,0.0,E
271,Water resources: total external renewable,4182,1977,0.0,E
272,Water resources: total external renewable,4182,1982,0.0,E
273,Water resources: total external renewable,4182,1987,0.0,E
274,Water resources: total external renewable,4182,1992,0.0,E
275,Water resources: total external renewable,4182,1997,0.0,E
276,Water resources: total external renewable,4182,2002,0.0,E
277,Water resources: total external renewable,4182,2007,0.0,E
278,Water resources: total external renewable,4182,2012,0.0,E
279,Water resources: total external renewable,4182,2017,0.0,E
280,Water resources: total external renewable,4182,2018,0.0,E
281,Total renewable water resources,4188,1962,29.0,E
282,Total renewable water resources,4188,1967,29.0,E
283,Total renewable water resources,4188,1972,29.0,E
284,Total renewable water resources,4188,1977,29.0,E
285,Total renewable water resources,4188,1982,29.0,E
286,Total renewable water resources,4188,1987,29.0,E
287,Total renewable water resources,4188,1992,29.0,E
288,Total renewable water resources,4188,1997,29.0,E
289,Total renewable water resources,4188,2002,29.0,E
290,Total renewable water resources,4188,2007,29.0,E
291,Total renewable water resources,4188,2012,29.0,E
292,Total renewable water resources,4188,2017,29.0,E
293,Total renewable water resources,4188,2018,29.0,E
294,Total renewable water resources per capita,4190,1962,2214.6046609944,E
295,Total renewable water resources per capita,4190,1967,1939.2764399111,E
296,Total renewable water resources per capita,4190,1972,1736.8502914704,E
297,Total renewable water resources per capita,4190,1977,1557.4573123776,E
298,Total renewable water resources per capita,4190,1982,1382.0047446606,E
299,Total renewable water resources per capita,4190,1987,1236.8187112076,E
300,Total renewable water resources per capita,4190,1992,1127.9040905036,E
301,Total renewable water resources per capita,4190,1997,1044.8729328225,E
302,Total renewable water resources per capita,4190,2002,984.5604623333,E
303,Total renewable water resources per capita,4190,2007,930.5706679697,E
304,Total renewable water resources per capita,4190,2012,872.3929739275,E
305,Total renewable water resources per capita,4190,2017,815.0358946024,E
306,Total renewable water resources per capita,4190,2018,804.9050804582,E
307,Total agricultural water managed area,4317,1987,1080.75,I
308,Total agricultural water managed area,4317,1992,1308.6,I
309,Total agricultural water managed area,4317,1997,1392.6,I
310,Total agricultural water managed area,4317,2002,1463.835,I
311,Total agricultural water managed area,4317,2007,1499.8971428571,I
312,Total agricultural water managed area,4317,2012,1520.2,I
313,Total agricultural water managed area,4317,2017,1520.2,I
314,Total agricultural water managed area,4317,2018,1520.2,I
315,Area equipped for irrigation: total,4313,1992,1308.6,I
316,Area equipped for irrigation: total,4313,1997,1392.6,I
317,Area equipped for irrigation: total,4313,2002,1463.835,I
318,Area equipped for irrigation: total,4313,2007,1499.8971428571,I
319,Area equipped for irrigation: total,4313,2012,1520.2,I
320,Area equipped for irrigation: total,4313,2017,1520.2,I
321,Area equipped for irrigation: total,4313,2018,1520.2,I
322,% of agricultural GVA produced by irrigated agriculture,4555,1992,19.6186199723,E
323,% of agricultural GVA produced by irrigated agriculture,4555,1997,22.6317192003,E
324,% of agricultural GVA produced by irrigated agriculture,4555,2002,25.4473113532,E
325,% of agricultural GVA produced by irrigated agriculture,4555,2007,27.4480333427,E
326,% of agricultural GVA produced by irrigated agriculture,4555,2012,23.0022512912,E
327,% of agricultural GVA produced by irrigated agriculture,4555,2015,29.5222306637,E
328,Ratio between rainfed and irrigated yields,4557,1962,1.796,E
329,Ratio between rainfed and irrigated yields,4557,1967,1.796,E
330,Ratio between rainfed and irrigated yields,4557,1972,1.796,E
331,Ratio between rainfed and irrigated yields,4557,1977,1.796,E
332,Ratio between rainfed and irrigated yields,4557,1982,1.796,E
333,Ratio between rainfed and irrigated yields,4557,1987,1.796,E
334,Ratio between rainfed and irrigated yields,4557,1992,1.796,E
335,Ratio between rainfed and irrigated yields,4557,1997,1.796,E
336,Ratio between rainfed and irrigated yields,4557,2002,1.796,E
337,Ratio between rainfed and irrigated yields,4557,2007,1.796,I
338,Ratio between rainfed and irrigated yields,4557,2012,1.796,E
339,Ratio between rainfed and irrigated yields,4557,2017,1.796,I
340,Ratio between rainfed and irrigated yields,4557,2018,1.796,I
341,Agricultural water withdrawal as % of total renewable water resources,4273,1992,35.1034482759,E
342,Agricultural water withdrawal as % of total renewable water resources,4273,1997,35.635862069,I
343,Agricultural water withdrawal as % of total renewable water resources,4273,2002,38.1034482759,E
344,Agricultural water withdrawal as % of total renewable water resources,4273,2007,34.0215517241,I
345,Agricultural water withdrawal as % of total renewable water resources,4273,2012,31.5724137931,I
346,Agricultural water withdrawal as % of total renewable water resources,4273,2017,31.5724137931,I
347,Agricultural water withdrawal as % of total renewable water resources,4273,2018,31.5724137931,I
348,Agricultural water withdrawal,4250,1992,10.18,
349,Agricultural water withdrawal,4250,1997,10.3344,I
350,Agricultural water withdrawal,4250,2002,11.05,
351,Agricultural water withdrawal,4250,2007,9.86625,I
352,Agricultural water withdrawal,4250,2012,9.156,I
353,Agricultural water withdrawal,4250,2017,9.156,I
354,Agricultural water withdrawal,4250,2018,9.156,I
355,Irrigation water requirement,4260,2007,5.823,I
356,Irrigation water requirement,4260,2012,5.823,I
357,Irrigation water requirement,4260,2017,5.823,I
358,Irrigation water requirement,4260,2018,5.823,I
359,Municipal water withdrawal,4251,1992,0.543,
360,Municipal water withdrawal,4251,1997,0.97675,I
361,Municipal water withdrawal,4251,2002,3.0,
362,Municipal water withdrawal,4251,2007,1.789375,I
363,Municipal water withdrawal,4251,2012,1.063,I
364,Municipal water withdrawal,4251,2017,1.063,I
365,Municipal water withdrawal,4251,2018,1.063,I
366,Industrial water withdrawal,4252,1992,0.322,
367,Industrial water withdrawal,4252,1997,0.34575,I
368,Industrial water withdrawal,4252,2002,0.766,
369,Industrial water withdrawal,4252,2007,0.41975,I
370,Industrial water withdrawal,4252,2012,0.212,I
371,Industrial water withdrawal,4252,2017,0.212,I
372,Industrial water withdrawal,4252,2018,0.212,I
373,Total water withdrawal,4253,1977,9.42,I
374,Total water withdrawal,4253,1982,10.43,I
375,Total water withdrawal,4253,1987,10.592,I
376,Total water withdrawal,4253,1992,11.045,E
377,Total water withdrawal,4253,1997,11.6569,E
378,Total water withdrawal,4253,2002,14.816,E
379,Total water withdrawal,4253,2007,12.075375,I
380,Total water withdrawal,4253,2012,10.431,I
381,Total water withdrawal,4253,2017,10.431,I
382,Total water withdrawal,4253,2018,10.431,I
383,Fresh surface water withdrawal,4261,2002,11.0909398413,I
384,Fresh surface water withdrawal,4261,2007,9.3159774405,I
385,Fresh surface water withdrawal,4261,2012,8.251,I
386,Fresh surface water withdrawal,4261,2017,8.251,I
387,Fresh surface water withdrawal,4261,2018,8.251,I
388,Fresh groundwater withdrawal,4262,2002,3.7220601587,I
389,Fresh groundwater withdrawal,4262,2007,2.8470225595,I
390,Fresh groundwater withdrawal,4262,2012,2.322,I
391,Fresh groundwater withdrawal,4262,2017,2.322,I
392,Fresh groundwater withdrawal,4262,2018,2.322,I
393,Total freshwater withdrawal,4263,1977,9.42,I
394,Total freshwater withdrawal,4263,1982,10.43,I
395,Total freshwater withdrawal,4263,1987,10.592,E
396,Total freshwater withdrawal,4263,1992,11.0416,E
397,Total freshwater withdrawal,4263,1997,11.65206,E
398,Total freshwater withdrawal,4263,2002,14.813,E
399,Total freshwater withdrawal,4263,2007,12.163,I
400,Total freshwater withdrawal,4263,2012,10.573,I
401,Total freshwater withdrawal,4263,2017,10.573,I
402,Total freshwater withdrawal,4263,2018,10.573,I
403,Desalinated water produced,4264,1992,0.0034,
404,Desalinated water produced,4264,1997,0.00484,I
405,Desalinated water produced,4264,2002,0.003,
406,Desalinated water produced,4264,2007,0.0055,I
407,Desalinated water produced,4264,2012,0.007,I
408,Desalinated water produced,4264,2017,0.007,I
409,Desalinated water produced,4264,2018,0.007,I
410,Direct use of treated municipal wastewater,4265,2012,0.07,I
411,Direct use of treated municipal wastewater,4265,2017,0.07,I
412,Direct use of treated municipal wastewater,4265,2018,0.07,I
413,Produced municipal wastewater,4269,1997,0.4054,I
414,Produced municipal wastewater,4269,2002,0.65,
415,Produced municipal wastewater,4269,2007,0.6438125,I
416,Produced municipal wastewater,4269,2012,0.7,
417,Produced municipal wastewater,4269,2017,0.7,I
418,Produced municipal wastewater,4269,2018,0.7,I
419,Not treated municipal wastewater,4491,2002,0.5042,I
420,Not treated municipal wastewater,4491,2007,0.4897,I
421,Not treated municipal wastewater,4491,2012,0.501,I
422,Not treated municipal wastewater,4491,2017,0.501,I
423,Not treated municipal wastewater,4491,2018,0.501,I
424,Treated municipal wastewater,4270,1992,0.01025,I
425,Treated municipal wastewater,4270,1997,0.0315,I
426,Treated municipal wastewater,4270,2002,0.064,I
427,Treated municipal wastewater,4270,2007,0.124,I
428,Treated municipal wastewater,4270,2012,0.166,I
429,Treated municipal wastewater,4270,2017,0.166,I
430,Treated municipal wastewater,4270,2018,0.166,I
431,Not treated municipal wastewater discharged (secondary water),4517,2002,0.25,I
432,Not treated municipal wastewater discharged (secondary water),4517,2007,0.25,I
433,Not treated municipal wastewater discharged (secondary water),4517,2012,0.25,I
434,Not treated municipal wastewater discharged (secondary water),4517,2017,0.25,I
435,Not treated municipal wastewater discharged (secondary water),4517,2018,0.25,I
436,Direct use of not treated municipal wastewater for irrigation purposes,4512,2007,0.0368571429,I
437,Direct use of not treated municipal wastewater for irrigation purposes,4512,2012,0.012,I
438,Direct use of not treated municipal wastewater for irrigation purposes,4512,2017,0.012,I
439,Direct use of not treated municipal wastewater for irrigation purposes,4512,2018,0.012,I
452,SDG 6.4.2. Water Stress,4550,1977,45.2167234676,E
453,SDG 6.4.2. Water Stress,4550,1982,50.0648010368,E
454,SDG 6.4.2. Water Stress,4550,1987,50.8424134786,E
455,SDG 6.4.2. Water Stress,4550,1992,53.0005280084,E
456,SDG 6.4.2. Water Stress,4550,1997,55.9307828925,E
457,SDG 6.4.2. Water Stress,4550,2002,71.1035376566,E
458,SDG 6.4.2. Water Stress,4550,2007,58.3833341333,E
459,SDG 6.4.2. Water Stress,4550,2012,50.7512120194,E
460,SDG 6.4.2. Water Stress,4550,2017,50.7512120194,E
461,SDG 6.4.2. Water Stress,4550,2018,50.7512120194,E
462,SDG 6.4.1. Water Use Efficiency,4551,1992,2.7293419714,I
463,SDG 6.4.1. Water Use Efficiency,4551,1997,2.892540167,I
464,SDG 6.4.1. Water Use Efficiency,4551,2002,2.8450803371,I
465,SDG 6.4.1. Water Use Efficiency,4551,2003,3.1409045814,I
466,SDG 6.4.1. Water Use Efficiency,4551,2015,7.7175929885,I
467,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1992,0.1075547244,E
468,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1997,0.1373112087,E
469,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2002,0.1612597887,E
470,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2003,0.1728909451,E
471,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,0.4119760872,E
472,SDG 6.4.1. Industrial Water Use Efficiency,4553,1992,29.9637895505,E
473,SDG 6.4.1. Industrial Water Use Efficiency,4553,1997,30.4732455575,E
474,SDG 6.4.1. Industrial Water Use Efficiency,4553,2002,15.9183984397,E
475,SDG 6.4.1. Industrial Water Use Efficiency,4553,2003,19.1822809047,E
476,SDG 6.4.1. Industrial Water Use Efficiency,4553,2016,115.3979176838,E
477,SDG 6.4.1. Services Water Use Efficiency,4554,1992,35.7317398617,E
478,SDG 6.4.1. Services Water Use Efficiency,4554,1997,22.2809294761,E
479,SDG 6.4.1. Services Water Use Efficiency,4554,2002,9.3924321347,E
480,SDG 6.4.1. Services Water Use Efficiency,4554,2003,10.7253833918,E
481,SDG 6.4.1. Services Water Use Efficiency,4554,2016,51.937736569,E
482,Area salinized by irrigation,4400,2002,150.0,I
483,Area salinized by irrigation,4400,2007,150.0,I
484,Area salinized by irrigation,4400,2012,150.0,I
485,Area salinized by irrigation,4400,2017,150.0,I
486,Area salinized by irrigation,4400,2018,150.0,I
487,Harvested irrigated temporary crop area: Wheat,4345,2002,362.2,I
488,Harvested irrigated temporary crop area: Wheat,4345,2007,360.2857142857,I
489,Harvested irrigated temporary crop area: Wheat,4345,2012,370.0,I
490,Harvested irrigated temporary crop area: Wheat,4345,2017,370.0,I
491,Harvested irrigated temporary crop area: Wheat,4345,2018,370.0,I
492,Harvested irrigated temporary crop area: Rice,4346,2002,8.0,I
493,Harvested irrigated temporary crop area: Rice,4346,2007,13.0285714286,I
494,Harvested irrigated temporary crop area: Rice,4346,2012,20.0,I
495,Harvested irrigated temporary crop area: Rice,4346,2017,20.0,I
496,Harvested irrigated temporary crop area: Rice,4346,2018,20.0,I
497,Harvested irrigated temporary crop area: Barley,4347,2002,95.6,I
498,Harvested irrigated temporary crop area: Barley,4347,2007,93.2,I
499,Harvested irrigated temporary crop area: Barley,4347,2012,93.2,I
500,Harvested irrigated temporary crop area: Barley,4347,2017,93.2,I
501,Harvested irrigated temporary crop area: Barley,4347,2018,93.2,I
502,Harvested irrigated temporary crop area: Maize,4348,2002,55.45,I
503,Harvested irrigated temporary crop area: Maize,4348,2007,64.1714285714,I
504,Harvested irrigated temporary crop area: Maize,4348,2012,70.0,I
505,Harvested irrigated temporary crop area: Maize,4348,2017,70.0,I
506,Harvested irrigated temporary crop area: Maize,4348,2018,70.0,I
