,Variable Name,Variable Id,Year,Value,Symbol
59,Urban population,4106,1997,1321.737,X
60,Urban population,4106,2002,1408.386,X
61,Urban population,4106,2007,1476.111,X
62,Urban population,4106,2012,1537.884,X
63,Urban population,4106,2017,1600.602,X
64,Urban population,4106,2018,1613.815,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.4602,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.4642,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.459,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.43,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.43,I
70,Gross Domestic Product (GDP),4112,1962,777727657.0,X
71,Gross Domestic Product (GDP),4112,1967,1148014336.0,X
72,Gross Domestic Product (GDP),4112,1972,2312146044.0,X
73,Gross Domestic Product (GDP),4112,1977,4030322453.0,X
74,Gross Domestic Product (GDP),4112,1982,4084666929.0,X
75,Gross Domestic Product (GDP),4112,1987,3761290057.0,X
76,Gross Domestic Product (GDP),4112,1992,4222642881.0,X
77,Gross Domestic Product (GDP),4112,1997,8400041803.0,X
78,Gross Domestic Product (GDP),4112,2002,9719001964.0,X
79,Gross Domestic Product (GDP),4112,2007,12799597772.0,X
80,Gross Domestic Product (GDP),4112,2009,12120459316.0,X
81,GDP per capita,4458,1972,1195.01374,X
82,GDP per capita,4458,1977,1937.153973,X
83,GDP per capita,4458,1982,1827.324114,X
84,GDP per capita,4458,1987,1580.852879,X
85,GDP per capita,4458,1992,1712.788175,X
86,GDP per capita,4458,1997,3247.237563,X
87,GDP per capita,4458,2002,3605.711991,X
88,GDP per capita,4458,2007,4611.691572,X
89,GDP per capita,4458,2012,5211.875688,X
90,GDP per capita,4458,2017,5122.769551,X
91,GDP per capita,4458,2018,5421.064248,X
92,"Agriculture, value added (% GDP)",4113,1972,6.354501,X
93,"Agriculture, value added (% GDP)",4113,1977,7.637123,X
94,"Agriculture, value added (% GDP)",4113,1982,6.118201,X
95,"Agriculture, value added (% GDP)",4113,1987,6.952787,X
96,"Agriculture, value added (% GDP)",4113,1992,7.689658,X
97,"Agriculture, value added (% GDP)",4113,1997,7.633852,X
98,"Agriculture, value added (% GDP)",4113,2002,5.544521,X
99,"Agriculture, value added (% GDP)",4113,2007,4.617494,X
100,"Agriculture, value added (% GDP)",4113,2008,4.899121,X
101,Number of people undernourished (3-year average),4473,1992,200.0,X
102,Number of people undernourished (3-year average),4473,1997,200.0,X
103,Number of people undernourished (3-year average),4473,2002,200.0,X
104,Number of people undernourished (3-year average),4473,2007,200.0,X
105,Number of people undernourished (3-year average),4473,2012,300.0,X
106,Number of people undernourished (3-year average),4473,2017,300.0,X
107,Number of people undernourished (3-year average),4473,2018,300.0,X
108,Prevalence of undernourishment (3-year average),4474,1992,10.4,X
109,Prevalence of undernourishment (3-year average),4474,1997,8.4,X
110,Prevalence of undernourishment (3-year average),4474,2001,7.4,X
111,Total population with access to safe drinking-water (JMP),4114,1992,93.2,X
112,Total population with access to safe drinking-water (JMP),4114,1997,93.4,X
113,Total population with access to safe drinking-water (JMP),4114,2002,93.5,X
114,Total population with access to safe drinking-water (JMP),4114,2007,93.7,X
115,Total population with access to safe drinking-water (JMP),4114,2012,93.8,X
116,Total population with access to safe drinking-water (JMP),4114,2017,93.8,I
117,Total population with access to safe drinking-water (JMP),4114,2018,93.8,I
118,Long-term average annual precipitation in volume,4150,1962,22.54049,E
119,Long-term average annual precipitation in volume,4150,1967,22.54049,E
120,Long-term average annual precipitation in volume,4150,1972,22.54049,E
121,Long-term average annual precipitation in volume,4150,1977,22.54049,E
122,Long-term average annual precipitation in volume,4150,1982,22.54049,E
123,Long-term average annual precipitation in volume,4150,1987,22.54049,E
124,Long-term average annual precipitation in volume,4150,1992,22.54049,E
125,Long-term average annual precipitation in volume,4150,1997,22.54049,E
126,Long-term average annual precipitation in volume,4150,2002,22.54049,E
127,Long-term average annual precipitation in volume,4150,2007,22.54049,E
128,Long-term average annual precipitation in volume,4150,2012,22.54049,E
129,Long-term average annual precipitation in volume,4150,2017,22.54049,E
130,Long-term average annual precipitation in volume,4150,2018,22.54049,E
131,Flood occurrence (WRI),4543,2017,3.5,I
132,Flood occurrence (WRI),4543,2018,3.5,I
133,Surface water: entering the country (total),4159,1962,0.0,
134,Surface water: entering the country (total),4159,1967,0.0,
135,Surface water: entering the country (total),4159,1972,0.0,
136,Surface water: entering the country (total),4159,1977,0.0,
137,Surface water: entering the country (total),4159,1982,0.0,
138,Surface water: entering the country (total),4159,1987,0.0,
139,Surface water: entering the country (total),4159,1992,0.0,
140,Surface water: entering the country (total),4159,1997,0.0,
141,Surface water: entering the country (total),4159,2002,0.0,
142,Surface water: entering the country (total),4159,2007,0.0,
143,Surface water: entering the country (total),4159,2012,0.0,
144,Surface water: entering the country (total),4159,2017,0.0,
145,Surface water: leaving the country to other countries (total),4171,1962,0.0,
146,Surface water: leaving the country to other countries (total),4171,1967,0.0,
147,Surface water: leaving the country to other countries (total),4171,1972,0.0,
148,Surface water: leaving the country to other countries (total),4171,1977,0.0,
149,Surface water: leaving the country to other countries (total),4171,1982,0.0,
150,Surface water: leaving the country to other countries (total),4171,1987,0.0,
151,Surface water: leaving the country to other countries (total),4171,1992,0.0,
152,Surface water: leaving the country to other countries (total),4171,1997,0.0,
153,Surface water: leaving the country to other countries (total),4171,2002,0.0,
154,Surface water: leaving the country to other countries (total),4171,2007,0.0,
155,Surface water: leaving the country to other countries (total),4171,2012,0.0,
156,Surface water: leaving the country to other countries (total),4171,2017,0.0,
157,Groundwater: entering the country (total),4177,1962,0.0,
158,Groundwater: entering the country (total),4177,1967,0.0,
159,Groundwater: entering the country (total),4177,1972,0.0,
160,Groundwater: entering the country (total),4177,1977,0.0,
161,Groundwater: entering the country (total),4177,1982,0.0,
162,Groundwater: entering the country (total),4177,1987,0.0,
163,Groundwater: entering the country (total),4177,1992,0.0,
164,Groundwater: entering the country (total),4177,1997,0.0,
165,Groundwater: entering the country (total),4177,2002,0.0,
166,Groundwater: entering the country (total),4177,2007,0.0,
167,Groundwater: entering the country (total),4177,2012,0.0,
168,Groundwater: entering the country (total),4177,2017,0.0,
169,Groundwater: leaving the country to other countries (total),4178,1962,0.0,
170,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
171,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
172,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
173,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
174,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
175,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
176,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
177,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
178,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
179,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
180,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
181,Dependency ratio,4192,1962,0.0,E
182,Dependency ratio,4192,1967,0.0,E
183,Dependency ratio,4192,1972,0.0,E
184,Dependency ratio,4192,1977,0.0,E
185,Dependency ratio,4192,1982,0.0,E
186,Dependency ratio,4192,1987,0.0,E
187,Dependency ratio,4192,1992,0.0,E
188,Dependency ratio,4192,1997,0.0,E
189,Dependency ratio,4192,2002,0.0,E
190,Dependency ratio,4192,2007,0.0,E
191,Dependency ratio,4192,2012,0.0,E
192,Dependency ratio,4192,2017,0.0,E
193,Dependency ratio,4192,2018,0.0,E
194,Total internal renewable water resources (IRWR),4157,1962,10.823,E
195,Total internal renewable water resources (IRWR),4157,1967,10.823,E
196,Total internal renewable water resources (IRWR),4157,1972,10.823,E
197,Total internal renewable water resources (IRWR),4157,1977,10.823,E
198,Total internal renewable water resources (IRWR),4157,1982,10.823,E
199,Total internal renewable water resources (IRWR),4157,1987,10.823,E
200,Total internal renewable water resources (IRWR),4157,1992,10.823,E
201,Total internal renewable water resources (IRWR),4157,1997,10.823,E
202,Total internal renewable water resources (IRWR),4157,2002,10.823,E
203,Total internal renewable water resources (IRWR),4157,2007,10.823,E
204,Total internal renewable water resources (IRWR),4157,2012,10.823,E
205,Total internal renewable water resources (IRWR),4157,2017,10.823,E
206,Total internal renewable water resources (IRWR),4157,2018,10.823,E
207,Total internal renewable water resources per capita,4158,1962,6455.7074526052,E
208,Total internal renewable water resources per capita,4158,1967,6001.7112890176,E
209,Total internal renewable water resources per capita,4158,1972,5592.992610201,E
210,Total internal renewable water resources per capita,4158,1977,5201.2873702862,E
211,Total internal renewable water resources per capita,4158,1982,4844.5496242934,E
212,Total internal renewable water resources per capita,4158,1987,4556.2986840493,E
213,Total internal renewable water resources per capita,4158,1992,4397.7182087801,E
214,Total internal renewable water resources per capita,4158,1997,4188.6036542984,E
215,Total internal renewable water resources per capita,4158,2002,4019.1693172091,E
216,Total internal renewable water resources per capita,4158,2007,3909.7227214387,E
217,Total internal renewable water resources per capita,4158,2012,3808.0567686511,E
218,Total internal renewable water resources per capita,4158,2017,3705.4307516173,E
219,Total internal renewable water resources per capita,4158,2018,3687.756124936,E
220,Total renewable surface water,4185,1962,9.111,E
221,Total renewable surface water,4185,1967,9.111,E
222,Total renewable surface water,4185,1972,9.111,E
223,Total renewable surface water,4185,1977,9.111,E
224,Total renewable surface water,4185,1982,9.111,E
225,Total renewable surface water,4185,1987,9.111,E
226,Total renewable surface water,4185,1992,9.111,E
227,Total renewable surface water,4185,1997,9.111,E
228,Total renewable surface water,4185,2002,9.111,E
229,Total renewable surface water,4185,2007,9.111,E
230,Total renewable surface water,4185,2012,9.111,E
231,Total renewable surface water,4185,2017,9.111,E
232,Total renewable surface water,4185,2018,9.111,E
233,Total renewable groundwater,4187,1962,5.472,E
234,Total renewable groundwater,4187,1967,5.472,E
235,Total renewable groundwater,4187,1972,5.472,E
236,Total renewable groundwater,4187,1977,5.472,E
237,Total renewable groundwater,4187,1982,5.472,E
238,Total renewable groundwater,4187,1987,5.472,E
239,Total renewable groundwater,4187,1992,5.472,E
240,Total renewable groundwater,4187,1997,5.472,E
241,Total renewable groundwater,4187,2002,5.472,E
242,Total renewable groundwater,4187,2007,5.472,E
243,Total renewable groundwater,4187,2012,5.472,E
244,Total renewable groundwater,4187,2017,5.472,E
245,Total renewable groundwater,4187,2018,5.472,E
246,Total exploitable water resources,4196,1962,3.852,E
247,Total exploitable water resources,4196,1967,3.852,E
248,Total exploitable water resources,4196,1972,3.852,E
249,Total exploitable water resources,4196,1977,3.852,E
250,Total exploitable water resources,4196,1982,3.852,E
251,Total exploitable water resources,4196,1987,3.852,E
252,Total exploitable water resources,4196,1992,3.852,E
253,Total exploitable water resources,4196,1997,3.852,E
254,Total exploitable water resources,4196,2002,3.852,E
255,Total exploitable water resources,4196,2007,3.852,E
256,Total exploitable water resources,4196,2012,3.852,E
257,Total exploitable water resources,4196,2017,3.852,E
258,Total exploitable water resources,4196,2018,3.852,E
259,Water resources: total external renewable,4182,1962,0.0,E
260,Water resources: total external renewable,4182,1967,0.0,E
261,Water resources: total external renewable,4182,1972,0.0,E
262,Water resources: total external renewable,4182,1977,0.0,E
263,Water resources: total external renewable,4182,1982,0.0,E
264,Water resources: total external renewable,4182,1987,0.0,E
265,Water resources: total external renewable,4182,1992,0.0,E
266,Water resources: total external renewable,4182,1997,0.0,E
267,Water resources: total external renewable,4182,2002,0.0,E
268,Water resources: total external renewable,4182,2007,0.0,E
269,Water resources: total external renewable,4182,2012,0.0,E
270,Water resources: total external renewable,4182,2017,0.0,E
271,Water resources: total external renewable,4182,2018,0.0,E
272,Total renewable water resources,4188,1962,10.823,E
273,Total renewable water resources,4188,1967,10.823,E
274,Total renewable water resources,4188,1972,10.823,E
275,Total renewable water resources,4188,1977,10.823,E
276,Total renewable water resources,4188,1982,10.823,E
277,Total renewable water resources,4188,1987,10.823,E
278,Total renewable water resources,4188,1992,10.823,E
279,Total renewable water resources,4188,1997,10.823,E
280,Total renewable water resources,4188,2002,10.823,E
281,Total renewable water resources,4188,2007,10.823,E
282,Total renewable water resources,4188,2012,10.823,E
283,Total renewable water resources,4188,2017,10.823,E
284,Total renewable water resources,4188,2018,10.823,E
285,Total renewable water resources per capita,4190,1962,6455.7074526052,E
286,Total renewable water resources per capita,4190,1967,6001.7112890176,E
287,Total renewable water resources per capita,4190,1972,5592.992610201,E
288,Total renewable water resources per capita,4190,1977,5201.2873702862,E
289,Total renewable water resources per capita,4190,1982,4844.5496242934,E
290,Total renewable water resources per capita,4190,1987,4556.2986840493,E
291,Total renewable water resources per capita,4190,1992,4397.7182087801,E
292,Total renewable water resources per capita,4190,1997,4188.6036542984,E
293,Total renewable water resources per capita,4190,2002,4019.1693172091,E
294,Total renewable water resources per capita,4190,2007,3909.7227214387,E
295,Total renewable water resources per capita,4190,2012,3808.0567686511,E
296,Total renewable water resources per capita,4190,2017,3705.4307516173,E
297,Total renewable water resources per capita,4190,2018,3687.756124936,E
298,Total agricultural water managed area,4317,1997,25.216,E
299,Total agricultural water managed area,4317,2002,27.3175384615,I
300,Total agricultural water managed area,4317,2007,29.4190769231,I
301,Total agricultural water managed area,4317,2012,38.267,E
302,Total agricultural water managed area,4317,2017,45.854,E
303,Total agricultural water managed area,4317,2018,45.854,E
304,Area equipped for irrigation: total,4313,1997,25.216,E
305,Area equipped for irrigation: total,4313,2002,27.3175384615,I
306,Area equipped for irrigation: total,4313,2007,29.4190769231,I
307,Area equipped for irrigation: total,4313,2012,38.267,E
308,Area equipped for irrigation: total,4313,2017,45.854,E
309,Area equipped for irrigation: total,4313,2018,45.854,E
310,% of agricultural GVA produced by irrigated agriculture,4555,1997,14.0360229999,E
311,% of agricultural GVA produced by irrigated agriculture,4555,2002,16.0205920841,E
312,% of agricultural GVA produced by irrigated agriculture,4555,2007,17.8660351005,E
313,% of agricultural GVA produced by irrigated agriculture,4555,2012,20.191761462,E
314,% of agricultural GVA produced by irrigated agriculture,4555,2017,20.191761462,E
315,% of agricultural GVA produced by irrigated agriculture,4555,2018,20.191761462,E
316,Ratio between rainfed and irrigated yields,4557,1962,1.52,E
317,Ratio between rainfed and irrigated yields,4557,1967,1.52,E
318,Ratio between rainfed and irrigated yields,4557,1972,1.52,E
319,Ratio between rainfed and irrigated yields,4557,1977,1.52,E
320,Ratio between rainfed and irrigated yields,4557,1982,1.52,E
321,Ratio between rainfed and irrigated yields,4557,1987,1.52,E
322,Ratio between rainfed and irrigated yields,4557,1992,1.52,E
323,Ratio between rainfed and irrigated yields,4557,1997,1.52,E
324,Ratio between rainfed and irrigated yields,4557,2002,1.52,E
325,Ratio between rainfed and irrigated yields,4557,2007,1.52,I
326,Ratio between rainfed and irrigated yields,4557,2012,1.52,E
327,Ratio between rainfed and irrigated yields,4557,2017,1.52,I
328,Ratio between rainfed and irrigated yields,4557,2018,1.52,I
329,Agricultural water withdrawal as % of total renewable water resources,4273,1997,5.7760589221,I
330,Agricultural water withdrawal as % of total renewable water resources,4273,2002,4.9576959121,I
331,Agricultural water withdrawal as % of total renewable water resources,4273,2007,4.1393329022,E
332,Agricultural water withdrawal as % of total renewable water resources,4273,2012,3.109779438,I
333,Agricultural water withdrawal as % of total renewable water resources,4273,2017,1.0533123903,I
334,Agricultural water withdrawal as % of total renewable water resources,4273,2018,1.0533123903,I
335,Agricultural water withdrawal,4250,1997,0.6251428571,I
336,Agricultural water withdrawal,4250,2002,0.5365714286,I
337,Agricultural water withdrawal,4250,2006,0.4657142857,I
338,Agricultural water withdrawal,4250,2012,0.3365714286,I
339,Agricultural water withdrawal,4250,2017,0.114,I
340,Agricultural water withdrawal,4250,2018,0.114,I
341,Irrigation water requirement,4260,2007,0.129,E
342,Irrigation water requirement,4260,2012,0.129,I
343,Irrigation water requirement,4260,2017,0.129,I
344,Irrigation water requirement,4260,2018,0.129,I
345,Irrigation water withdrawal,4475,2012,0.3294285714,I
346,Irrigation water withdrawal,4475,2017,0.11,I
347,Irrigation water withdrawal,4475,2018,0.11,I
348,Municipal water withdrawal,4251,1997,0.2073333333,I
349,Municipal water withdrawal,4251,2002,0.25775,I
350,Municipal water withdrawal,4251,2007,0.2906666667,I
351,Municipal water withdrawal,4251,2012,0.2973333333,I
352,Municipal water withdrawal,4251,2017,0.14,I
353,Municipal water withdrawal,4251,2018,0.14,I
354,Industrial water withdrawal,4252,1997,0.0686666667,I
355,Industrial water withdrawal,4252,2002,0.07325,I
356,Industrial water withdrawal,4252,2007,0.2724444444,I
357,Industrial water withdrawal,4252,2012,0.7635555556,I
358,Industrial water withdrawal,4252,2017,1.1,I
359,Industrial water withdrawal,4252,2018,1.1,I
360,Total water withdrawal,4253,1997,0.9011428571,E
361,Total water withdrawal,4253,2002,0.8675714286,E
362,Total water withdrawal,4253,2007,1.0111111111,E
363,Total water withdrawal,4253,2012,1.3974603175,E
364,Total water withdrawal,4253,2017,1.354,I
365,Total water withdrawal,4253,2018,1.354,I
366,Fresh surface water withdrawal,4261,1997,0.278952381,I
367,Fresh surface water withdrawal,4261,2002,0.5351428571,I
368,Fresh surface water withdrawal,4261,2007,0.7913333333,I
369,Fresh surface water withdrawal,4261,2012,1.0475238095,I
370,Fresh surface water withdrawal,4261,2017,1.21,I
371,Fresh surface water withdrawal,4261,2018,1.21,I
372,Fresh groundwater withdrawal,4262,1997,0.7671190476,I
373,Fresh groundwater withdrawal,4262,2002,0.6591428571,I
374,Fresh groundwater withdrawal,4262,2007,0.5511666667,I
375,Fresh groundwater withdrawal,4262,2012,0.4431904762,I
376,Fresh groundwater withdrawal,4262,2017,0.14,I
377,Fresh groundwater withdrawal,4262,2018,0.14,I
378,Total freshwater withdrawal,4263,1997,1.0460714286,I
379,Total freshwater withdrawal,4263,2002,1.1942857143,I
380,Total freshwater withdrawal,4263,2007,1.3425,I
381,Total freshwater withdrawal,4263,2012,1.4907142857,I
382,Total freshwater withdrawal,4263,2017,1.35,I
383,Total freshwater withdrawal,4263,2018,1.35,I
384,Desalinated water produced,4264,1992,0.0005,I
385,Desalinated water produced,4264,1997,0.0005,I
386,Desalinated water produced,4264,2002,0.0005,I
387,Desalinated water produced,4264,2007,0.0005,E
388,Desalinated water produced,4264,2012,0.0005,I
389,Desalinated water produced,4264,2017,0.0005,I
390,Desalinated water produced,4264,2018,0.0005,I
391,SDG 6.4.2. Water Stress,4550,1997,9.6652631301,I
392,SDG 6.4.2. Water Stress,4550,2002,11.0347012315,I
393,SDG 6.4.2. Water Stress,4550,2007,12.4041393329,I
394,SDG 6.4.2. Water Stress,4550,2012,13.7735774343,I
395,SDG 6.4.2. Water Stress,4550,2017,12.4734362007,I
396,SDG 6.4.2. Water Stress,4550,2018,12.4734362007,I
397,SDG 6.4.1. Water Use Efficiency,4551,2015,14.1761521527,I
398,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,1.3395942223,E
399,SDG 6.4.1. Industrial Water Use Efficiency,4553,2015,4.8591855688,E
400,SDG 6.4.1. Services Water Use Efficiency,4554,2015,43.7241487286,E
401,Harvested irrigated temporary crop area: Sugarcane,4357,1997,19.12,
402,Harvested irrigated temporary crop area: Sugarcane,4357,2002,16.3815384615,I
403,Harvested irrigated temporary crop area: Sugarcane,4357,2007,13.6430769231,I
404,Harvested irrigated temporary crop area: Sugarcane,4357,2012,12.0,I
405,Harvested irrigated temporary crop area: Sugarcane,4357,2017,12.0,I
406,Harvested irrigated temporary crop area: Sugarcane,4357,2018,12.0,I
407,Harvested irrigated temporary crop area: Vegetables,4360,1997,0.886,
408,Harvested irrigated temporary crop area: Vegetables,4360,2002,3.8844615385,I
409,Harvested irrigated temporary crop area: Vegetables,4360,2007,6.8829230769,I
410,Harvested irrigated temporary crop area: Vegetables,4360,2012,8.682,I
411,Harvested irrigated temporary crop area: Vegetables,4360,2017,8.682,I
412,Harvested irrigated temporary crop area: Vegetables,4360,2018,8.682,I
413,Harvested irrigated permanent crop area: Bananas,4361,1997,2.082,
414,Harvested irrigated permanent crop area: Bananas,4361,2002,2.0504615385,I
415,Harvested irrigated permanent crop area: Bananas,4361,2007,2.0189230769,I
416,Harvested irrigated permanent crop area: Bananas,4361,2012,2.0,I
417,Harvested irrigated permanent crop area: Bananas,4361,2017,2.0,I
418,Harvested irrigated permanent crop area: Bananas,4361,2018,2.0,I
419,Harvested irrigated permanent crop area: Citrus,4362,2012,8.0,I
420,Harvested irrigated permanent crop area: Citrus,4362,2017,8.0,I
421,Harvested irrigated permanent crop area: Citrus,4362,2018,8.0,I
422,Harvested irrigated permanent crop area: Coffee,4364,1997,0.154,
423,Harvested irrigated permanent crop area: Coffee,4364,2002,0.154,I
424,Harvested irrigated permanent crop area: Coffee,4364,2007,0.154,I
425,Harvested irrigated permanent crop area: Coffee,4364,2012,0.154,I
426,Harvested irrigated permanent crop area: Coffee,4364,2017,0.154,I
427,Harvested irrigated permanent crop area: Coffee,4364,2018,0.154,I
428,Harvested irrigated temporary crop area: Fodder,4369,1997,1.424,
429,Harvested irrigated temporary crop area: Fodder,4369,2002,1.424,I
430,Harvested irrigated temporary crop area: Fodder,4369,2007,1.424,I
431,Harvested irrigated temporary crop area: Fodder,4369,2012,1.424,I
432,Harvested irrigated temporary crop area: Fodder,4369,2017,1.424,I
433,Harvested irrigated temporary crop area: Fodder,4369,2018,1.424,I
434,Harvested irrigated temporary crop area: Other crops,4377,1997,0.425,
435,Harvested irrigated temporary crop area: Other crops,4377,2002,0.425,I
436,Harvested irrigated temporary crop area: Other crops,4377,2007,0.425,I
437,Harvested irrigated temporary crop area: Other crops,4377,2012,0.425,I
438,Harvested irrigated temporary crop area: Other crops,4377,2017,0.425,I
439,Harvested irrigated temporary crop area: Other crops,4377,2018,0.425,I
440,Harvested irrigated permanent crop area: Other crops,4378,1997,0.574,
441,Harvested irrigated permanent crop area: Other crops,4378,2002,0.574,I
442,Harvested irrigated permanent crop area: Other crops,4378,2007,0.574,I
443,Harvested irrigated permanent crop area: Other crops,4378,2012,0.574,I
444,Harvested irrigated permanent crop area: Other crops,4378,2017,0.574,I
445,Harvested irrigated permanent crop area: Other crops,4378,2018,0.574,I
