,Variable Name,Variable Id,Year,Value,Symbol
162,Groundwater: leaving the country to other countries (total),4178,1962,0.0,
163,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
164,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
165,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
166,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
167,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
168,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
169,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
170,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
171,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
172,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
173,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
174,Dependency ratio,4192,1962,59.1836734694,E
175,Dependency ratio,4192,1967,59.1836734694,E
176,Dependency ratio,4192,1972,59.1836734694,E
177,Dependency ratio,4192,1977,59.1836734694,E
178,Dependency ratio,4192,1982,59.1836734694,E
179,Dependency ratio,4192,1987,59.1836734694,E
180,Dependency ratio,4192,1992,59.1836734694,E
181,Dependency ratio,4192,1997,59.1836734694,E
182,Dependency ratio,4192,2002,59.1836734694,E
183,Dependency ratio,4192,2007,59.1836734694,E
184,Dependency ratio,4192,2012,59.1836734694,E
185,Dependency ratio,4192,2017,59.1836734694,E
186,Dependency ratio,4192,2018,59.1836734694,E
187,Total internal renewable water resources (IRWR),4157,1962,6.0,E
188,Total internal renewable water resources (IRWR),4157,1967,6.0,E
189,Total internal renewable water resources (IRWR),4157,1972,6.0,E
190,Total internal renewable water resources (IRWR),4157,1977,6.0,E
191,Total internal renewable water resources (IRWR),4157,1982,6.0,E
192,Total internal renewable water resources (IRWR),4157,1987,6.0,E
193,Total internal renewable water resources (IRWR),4157,1992,6.0,E
194,Total internal renewable water resources (IRWR),4157,1997,6.0,E
195,Total internal renewable water resources (IRWR),4157,2002,6.0,E
196,Total internal renewable water resources (IRWR),4157,2007,6.0,E
197,Total internal renewable water resources (IRWR),4157,2012,6.0,E
198,Total internal renewable water resources (IRWR),4157,2017,6.0,E
199,Total internal renewable water resources (IRWR),4157,2018,6.0,E
200,Total internal renewable water resources per capita,4158,1962,2087.5243283564,E
201,Total internal renewable water resources per capita,4158,1967,1858.8276188325,E
202,Total internal renewable water resources per capita,4158,1972,1724.2419801195,E
203,Total internal renewable water resources per capita,4158,1977,1249.4426964972,E
204,Total internal renewable water resources per capita,4158,1982,907.9842688699,E
205,Total internal renewable water resources per capita,4158,1987,874.3458617866,E
206,Total internal renewable water resources per capita,4158,1992,822.4378593368,E
207,Total internal renewable water resources per capita,4158,1997,756.0362882298,E
208,Total internal renewable water resources per capita,4158,2002,631.4897411334,E
209,Total internal renewable water resources per capita,4158,2007,541.5103318818,E
210,Total internal renewable water resources per capita,4158,2012,471.8649352684,E
211,Total internal renewable water resources per capita,4158,2017,411.2637181297,E
212,Total internal renewable water resources per capita,4158,2018,399.7807602311,E
213,Total renewable surface water,4185,1962,14.4,E
214,Total renewable surface water,4185,1967,14.4,E
215,Total renewable surface water,4185,1972,14.4,E
216,Total renewable surface water,4185,1977,14.4,E
217,Total renewable surface water,4185,1982,14.4,E
218,Total renewable surface water,4185,1987,14.4,E
219,Total renewable surface water,4185,1992,14.4,E
220,Total renewable surface water,4185,1997,14.4,E
221,Total renewable surface water,4185,2002,14.4,E
222,Total renewable surface water,4185,2007,14.4,E
223,Total renewable surface water,4185,2012,14.4,E
224,Total renewable surface water,4185,2017,14.4,E
225,Total renewable surface water,4185,2018,14.4,E
226,Total renewable groundwater,4187,1962,3.3,E
227,Total renewable groundwater,4187,1967,3.3,E
228,Total renewable groundwater,4187,1972,3.3,E
229,Total renewable groundwater,4187,1977,3.3,E
230,Total renewable groundwater,4187,1982,3.3,E
231,Total renewable groundwater,4187,1987,3.3,E
232,Total renewable groundwater,4187,1992,3.3,E
233,Total renewable groundwater,4187,1997,3.3,E
234,Total renewable groundwater,4187,2002,3.3,E
235,Total renewable groundwater,4187,2007,3.3,E
236,Total renewable groundwater,4187,2012,3.3,E
237,Total renewable groundwater,4187,2017,3.3,E
238,Total renewable groundwater,4187,2018,3.3,E
239,Total exploitable water resources,4196,1962,0.6,E
240,Total exploitable water resources,4196,1967,0.6,E
241,Total exploitable water resources,4196,1972,0.6,E
242,Total exploitable water resources,4196,1977,0.6,E
243,Total exploitable water resources,4196,1982,0.6,E
244,Total exploitable water resources,4196,1987,0.6,E
245,Total exploitable water resources,4196,1992,0.6,E
246,Total exploitable water resources,4196,1997,0.6,E
247,Total exploitable water resources,4196,2002,0.6,E
248,Total exploitable water resources,4196,2007,0.6,E
249,Total exploitable water resources,4196,2012,0.6,E
250,Total exploitable water resources,4196,2017,0.6,E
251,Total exploitable water resources,4196,2018,0.6,E
252,Water resources: total external renewable,4182,1962,8.7,E
253,Water resources: total external renewable,4182,1967,8.7,E
254,Water resources: total external renewable,4182,1972,8.7,E
255,Water resources: total external renewable,4182,1977,8.7,E
256,Water resources: total external renewable,4182,1982,8.7,E
257,Water resources: total external renewable,4182,1987,8.7,E
258,Water resources: total external renewable,4182,1992,8.7,E
259,Water resources: total external renewable,4182,1997,8.7,E
260,Water resources: total external renewable,4182,2002,8.7,E
261,Water resources: total external renewable,4182,2007,8.7,E
262,Water resources: total external renewable,4182,2012,8.7,E
263,Water resources: total external renewable,4182,2017,8.7,E
264,Water resources: total external renewable,4182,2018,8.7,E
265,Total renewable water resources,4188,1962,14.7,E
266,Total renewable water resources,4188,1967,14.7,E
267,Total renewable water resources,4188,1972,14.7,E
268,Total renewable water resources,4188,1977,14.7,E
269,Total renewable water resources,4188,1982,14.7,E
270,Total renewable water resources,4188,1987,14.7,E
271,Total renewable water resources,4188,1992,14.7,E
272,Total renewable water resources,4188,1997,14.7,E
273,Total renewable water resources,4188,2002,14.7,E
274,Total renewable water resources,4188,2007,14.7,E
275,Total renewable water resources,4188,2012,14.7,E
276,Total renewable water resources,4188,2017,14.7,E
277,Total renewable water resources,4188,2018,14.7,E
278,Total renewable water resources per capita,4190,1962,5114.4346044733,E
279,Total renewable water resources per capita,4190,1967,4554.1276661397,E
280,Total renewable water resources per capita,4190,1972,4224.3928512928,E
281,Total renewable water resources per capita,4190,1977,3061.1346064183,E
282,Total renewable water resources per capita,4190,1982,2224.5614587312,E
283,Total renewable water resources per capita,4190,1987,2142.1473613772,E
284,Total renewable water resources per capita,4190,1992,2014.9727553752,E
285,Total renewable water resources per capita,4190,1997,1852.2889061629,E
286,Total renewable water resources per capita,4190,2002,1547.1498657769,E
287,Total renewable water resources per capita,4190,2007,1326.7003131103,E
288,Total renewable water resources per capita,4190,2012,1156.0690914076,E
289,Total renewable water resources per capita,4190,2017,1007.5961094178,E
290,Total renewable water resources per capita,4190,2018,979.4628625662,E
291,Total agricultural water managed area,4317,1987,200.0,I
292,Total agricultural water managed area,4317,1992,200.0,I
293,Total agricultural water managed area,4317,1997,200.0,I
294,Total agricultural water managed area,4317,2002,200.0,I
295,Total agricultural water managed area,4317,2007,200.0,I
296,Total agricultural water managed area,4317,2012,200.0,I
297,Total agricultural water managed area,4317,2017,200.0,I
298,Total agricultural water managed area,4317,2018,200.0,I
299,Area equipped for irrigation: total,4313,1987,200.0,I
300,Area equipped for irrigation: total,4313,1992,200.0,I
301,Area equipped for irrigation: total,4313,1997,200.0,I
302,Area equipped for irrigation: total,4313,2002,200.0,I
303,Area equipped for irrigation: total,4313,2007,200.0,I
304,Area equipped for irrigation: total,4313,2012,200.0,I
305,Area equipped for irrigation: total,4313,2017,200.0,I
306,Area equipped for irrigation: total,4313,2018,200.0,I
307,% of agricultural GVA produced by irrigated agriculture,4555,1987,34.4996303693,E
308,% of agricultural GVA produced by irrigated agriculture,4555,1992,28.6367972635,E
309,% of agricultural GVA produced by irrigated agriculture,4555,1997,21.9583731326,E
310,% of agricultural GVA produced by irrigated agriculture,4555,2002,13.3010733613,E
311,% of agricultural GVA produced by irrigated agriculture,4555,2007,14.0786294751,E
312,% of agricultural GVA produced by irrigated agriculture,4555,2012,14.1158335168,E
313,% of agricultural GVA produced by irrigated agriculture,4555,2017,12.973082372,E
314,% of agricultural GVA produced by irrigated agriculture,4555,2018,12.973082372,E
315,Ratio between rainfed and irrigated yields,4557,1962,3.205,E
316,Ratio between rainfed and irrigated yields,4557,1967,3.205,E
317,Ratio between rainfed and irrigated yields,4557,1972,3.205,E
318,Ratio between rainfed and irrigated yields,4557,1977,3.205,E
319,Ratio between rainfed and irrigated yields,4557,1982,3.205,E
320,Ratio between rainfed and irrigated yields,4557,1987,3.205,E
321,Ratio between rainfed and irrigated yields,4557,1992,3.205,E
322,Ratio between rainfed and irrigated yields,4557,1997,3.205,E
323,Ratio between rainfed and irrigated yields,4557,2002,3.205,E
324,Ratio between rainfed and irrigated yields,4557,2007,3.205,I
325,Ratio between rainfed and irrigated yields,4557,2012,3.205,E
326,Ratio between rainfed and irrigated yields,4557,2017,3.205,I
327,Ratio between rainfed and irrigated yields,4557,2018,3.205,I
328,Agricultural water withdrawal as % of total renewable water resources,4273,1987,5.3469387755,E
329,Agricultural water withdrawal as % of total renewable water resources,4273,1992,11.872318158,I
330,Agricultural water withdrawal as % of total renewable water resources,4273,1997,18.3976975406,I
331,Agricultural water withdrawal as % of total renewable water resources,4273,2002,22.3174603175,I
332,Agricultural water withdrawal as % of total renewable water resources,4273,2007,22.3197278912,I
333,Agricultural water withdrawal as % of total renewable water resources,4273,2012,22.3197278912,I
334,Agricultural water withdrawal as % of total renewable water resources,4273,2017,22.3197278912,I
335,Agricultural water withdrawal as % of total renewable water resources,4273,2018,22.3197278912,I
336,Agricultural water withdrawal,4250,1987,0.786,
337,Agricultural water withdrawal,4250,1992,1.7452307692,I
338,Agricultural water withdrawal,4250,1997,2.7044615385,I
339,Agricultural water withdrawal,4250,2002,3.2806666667,I
340,Agricultural water withdrawal,4250,2007,3.281,I
341,Agricultural water withdrawal,4250,2012,3.281,I
342,Agricultural water withdrawal,4250,2017,3.281,I
343,Agricultural water withdrawal,4250,2018,3.281,I
344,Irrigation water requirement,4260,2007,0.263,I
345,Irrigation water requirement,4260,2012,0.263,I
346,Irrigation water requirement,4260,2017,0.263,I
347,Irrigation water requirement,4260,2018,0.263,I
348,Municipal water withdrawal,4251,1987,0.024,
349,Municipal water withdrawal,4251,1992,0.0186153846,I
350,Municipal water withdrawal,4251,1997,0.0132307692,I
351,Municipal water withdrawal,4251,2002,0.0133333333,I
352,Municipal water withdrawal,4251,2007,0.015,I
353,Municipal water withdrawal,4251,2012,0.015,I
354,Municipal water withdrawal,4251,2017,0.015,I
355,Municipal water withdrawal,4251,2018,0.015,I
356,Industrial water withdrawal,4252,1987,0.0,
357,Industrial water withdrawal,4252,1992,0.0,I
358,Industrial water withdrawal,4252,1997,0.0,I
359,Industrial water withdrawal,4252,2002,0.0013333333,I
360,Industrial water withdrawal,4252,2007,0.002,I
361,Industrial water withdrawal,4252,2012,0.002,I
362,Industrial water withdrawal,4252,2017,0.002,I
363,Industrial water withdrawal,4252,2018,0.002,I
364,Total water withdrawal,4253,1987,0.81,E
365,Total water withdrawal,4253,1992,1.7638461538,I
366,Total water withdrawal,4253,1997,2.7176923077,I
367,Total water withdrawal,4253,2002,3.2953333333,I
368,Total water withdrawal,4253,2007,3.298,I
369,Total water withdrawal,4253,2012,3.298,I
370,Total water withdrawal,4253,2017,3.298,I
371,Total water withdrawal,4253,2018,3.298,I
372,Fresh surface water withdrawal,4261,2007,3.167,I
373,Fresh surface water withdrawal,4261,2012,3.167,I
374,Fresh surface water withdrawal,4261,2017,3.167,I
375,Fresh surface water withdrawal,4261,2018,3.167,I
376,Fresh groundwater withdrawal,4262,2007,0.131,I
377,Fresh groundwater withdrawal,4262,2012,0.131,I
378,Fresh groundwater withdrawal,4262,2017,0.131,I
379,Fresh groundwater withdrawal,4262,2018,0.131,I
380,Total freshwater withdrawal,4263,1987,0.81,E
381,Total freshwater withdrawal,4263,1992,1.7638076923,I
382,Total freshwater withdrawal,4263,1997,2.7176153846,I
383,Total freshwater withdrawal,4263,2002,3.2953,I
384,Total freshwater withdrawal,4263,2007,3.298,I
385,Total freshwater withdrawal,4263,2012,3.298,I
386,Total freshwater withdrawal,4263,2017,3.298,I
387,Total freshwater withdrawal,4263,2018,3.298,I
388,Desalinated water produced,4264,1992,0.0001,I
389,Desalinated water produced,4264,1997,0.0001,I
390,Desalinated water produced,4264,2002,0.0001,I
391,Desalinated water produced,4264,2007,0.0001,I
392,Desalinated water produced,4264,2012,0.0001,I
393,Desalinated water produced,4264,2017,0.0001,I
394,Desalinated water produced,4264,2018,0.0001,I
395,Treated municipal wastewater,4270,2007,0.0,I
396,Treated municipal wastewater,4270,2012,0.0,I
397,Treated municipal wastewater,4270,2017,0.0,I
398,Treated municipal wastewater,4270,2018,0.0,I
411,SDG 6.4.2. Water Stress,4550,1987,6.0240963855,E
412,SDG 6.4.2. Water Stress,4550,1992,13.1177130173,E
413,SDG 6.4.2. Water Stress,4550,1997,20.2113296491,E
414,SDG 6.4.2. Water Stress,4550,2002,24.5076602707,E
415,SDG 6.4.2. Water Stress,4550,2007,24.527740592,E
416,SDG 6.4.2. Water Stress,4550,2012,24.527740592,E
417,SDG 6.4.2. Water Stress,4550,2017,24.527740592,E
418,SDG 6.4.2. Water Stress,4550,2018,24.527740592,E
419,SDG 6.4.1. Water Use Efficiency,4551,2001,0.1332320078,I
420,SDG 6.4.1. Water Use Efficiency,4551,2011,0.1669475296,I
421,SDG 6.4.1. Water Use Efficiency,4551,2015,0.1845914527,I
422,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1987,0.3526783496,E
423,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1992,0.1136301448,E
424,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1993,0.0974436968,E
425,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2001,0.0265650813,E
426,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2011,0.0294391304,E
427,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,0.0304178156,E
428,SDG 6.4.1. Industrial Water Use Efficiency,4553,2001,95.1636947115,E
429,SDG 6.4.1. Industrial Water Use Efficiency,4553,2011,41.0782783094,E
430,SDG 6.4.1. Industrial Water Use Efficiency,4553,2015,46.05513278,E
431,SDG 6.4.1. Services Water Use Efficiency,4554,1987,13.769330467,E
432,SDG 6.4.1. Services Water Use Efficiency,4554,1992,18.6315546435,E
433,SDG 6.4.1. Services Water Use Efficiency,4554,1993,20.0330008318,E
434,SDG 6.4.1. Services Water Use Efficiency,4554,2001,24.7090864057,E
435,SDG 6.4.1. Services Water Use Efficiency,4554,2011,24.7897739423,E
436,SDG 6.4.1. Services Water Use Efficiency,4554,2015,27.7914328267,E
437,Harvested irrigated temporary crop area: Rice,4346,1982,3.65,I
438,Harvested irrigated temporary crop area: Rice,4346,1987,1.3,I
439,Harvested irrigated temporary crop area: Rice,4346,1992,1.3,I
440,Harvested irrigated temporary crop area: Rice,4346,1997,1.3,I
441,Harvested irrigated temporary crop area: Rice,4346,2002,1.3,I
442,Harvested irrigated temporary crop area: Rice,4346,2007,1.3,I
443,Harvested irrigated temporary crop area: Rice,4346,2012,1.3,I
444,Harvested irrigated temporary crop area: Rice,4346,2017,1.3,I
445,Harvested irrigated temporary crop area: Rice,4346,2018,1.3,I
446,Harvested irrigated temporary crop area: Maize,4348,1987,129.4105263158,I
447,Harvested irrigated temporary crop area: Maize,4348,1992,95.0947368421,I
448,Harvested irrigated temporary crop area: Maize,4348,1997,60.7789473684,I
449,Harvested irrigated temporary crop area: Maize,4348,2002,26.4631578947,I
450,Harvested irrigated temporary crop area: Maize,4348,2007,19.6,I
451,Harvested irrigated temporary crop area: Maize,4348,2012,19.6,I
452,Harvested irrigated temporary crop area: Maize,4348,2017,19.6,I
453,Harvested irrigated temporary crop area: Maize,4348,2018,19.6,I
454,Harvested irrigated temporary crop area: Sorghum,4350,2007,13.7,I
455,Harvested irrigated temporary crop area: Sorghum,4350,2012,13.7,I
456,Harvested irrigated temporary crop area: Sorghum,4350,2017,13.7,I
457,Harvested irrigated temporary crop area: Sorghum,4350,2018,13.7,I
458,Harvested irrigated temporary crop area: Other cereals,4351,2007,1.7,I
459,Harvested irrigated temporary crop area: Other cereals,4351,2012,1.7,I
460,Harvested irrigated temporary crop area: Other cereals,4351,2017,1.7,I
461,Harvested irrigated temporary crop area: Other cereals,4351,2018,1.7,I
462,Harvested irrigated temporary crop area: Sugarcane,4357,1982,9.15,I
463,Harvested irrigated temporary crop area: Sugarcane,4357,1987,8.5210526316,I
464,Harvested irrigated temporary crop area: Sugarcane,4357,1992,6.3894736842,I
465,Harvested irrigated temporary crop area: Sugarcane,4357,1997,4.2578947368,I
466,Harvested irrigated temporary crop area: Sugarcane,4357,2002,2.1263157895,I
467,Harvested irrigated temporary crop area: Sugarcane,4357,2007,1.7,I
468,Harvested irrigated temporary crop area: Sugarcane,4357,2012,1.7,I
469,Harvested irrigated temporary crop area: Sugarcane,4357,2017,1.7,I
470,Harvested irrigated temporary crop area: Sugarcane,4357,2018,1.7,I
471,Harvested irrigated temporary crop area: Vegetables,4360,2007,3.9,I
472,Harvested irrigated temporary crop area: Vegetables,4360,2012,3.9,I
473,Harvested irrigated temporary crop area: Vegetables,4360,2017,3.9,I
474,Harvested irrigated temporary crop area: Vegetables,4360,2018,3.9,I
475,Harvested irrigated permanent crop area: Bananas,4361,1987,3.0,I
476,Harvested irrigated permanent crop area: Bananas,4361,1992,3.0,I
477,Harvested irrigated permanent crop area: Bananas,4361,1997,3.0,I
478,Harvested irrigated permanent crop area: Bananas,4361,2002,3.0,I
479,Harvested irrigated permanent crop area: Bananas,4361,2007,3.0,I
480,Harvested irrigated permanent crop area: Bananas,4361,2012,3.0,I
481,Harvested irrigated permanent crop area: Bananas,4361,2017,3.0,I
482,Harvested irrigated permanent crop area: Bananas,4361,2018,3.0,I
483,Harvested irrigated permanent crop area: Citrus,4362,2007,1.1,I
484,Harvested irrigated permanent crop area: Citrus,4362,2012,1.1,I
485,Harvested irrigated permanent crop area: Citrus,4362,2017,1.1,I
486,Harvested irrigated permanent crop area: Citrus,4362,2018,1.1,I
487,Harvested irrigated temporary crop area: Cotton,4367,2007,1.9,I
488,Harvested irrigated temporary crop area: Cotton,4367,2012,1.9,I
489,Harvested irrigated temporary crop area: Cotton,4367,2017,1.9,I
490,Harvested irrigated temporary crop area: Cotton,4367,2018,1.9,I
491,Harvested irrigated permanent crop area: Other crops,4378,1982,2.8,I
492,Harvested irrigated permanent crop area: Other crops,4378,1987,2.8,I
493,Harvested irrigated permanent crop area: Other crops,4378,1992,2.8,I
494,Harvested irrigated permanent crop area: Other crops,4378,1997,2.8,I
495,Harvested irrigated permanent crop area: Other crops,4378,2002,2.8,I
496,Harvested irrigated permanent crop area: Other crops,4378,2007,2.8,I
497,Harvested irrigated permanent crop area: Other crops,4378,2012,2.8,I
498,Harvested irrigated permanent crop area: Other crops,4378,2017,2.8,I
499,Harvested irrigated permanent crop area: Other crops,4378,2018,2.8,I
