Cook Islands,Variable Name,Year,Value,Symbol
67,Gross Domestic Product (GDP),1982,28678835.0,X
68,Gross Domestic Product (GDP),1987,50468021.0,X
69,Gross Domestic Product (GDP),1992,81792045.0,X
70,Gross Domestic Product (GDP),1997,107142124.0,X
71,Gross Domestic Product (GDP),2002,121331836.0,X
72,Gross Domestic Product (GDP),2007,226660632.0,X
73,Gross Domestic Product (GDP),2012,299381020.0,X
74,Gross Domestic Product (GDP),2017,345608995.0,X
75,Gross Domestic Product (GDP),2018,362713891.0,X
76,GDP per capita,1972,542.923924,X
77,GDP per capita,1977,993.167338,X
78,GDP per capita,1982,1649.441272,X
79,GDP per capita,1987,2808.459687,X
80,GDP per capita,1992,4370.634024,X
81,GDP per capita,1997,5769.945843,X
82,GDP per capita,2002,6487.639621,X
83,GDP per capita,2007,11617.068926,X
84,GDP per capita,2012,16635.975745,X
85,GDP per capita,2017,19885.442765,X
86,GDP per capita,2018,20832.455953,X
87,"Agriculture, value added (% GDP)",1972,24.063271,X
88,"Agriculture, value added (% GDP)",1977,17.468847,X
89,"Agriculture, value added (% GDP)",1982,5.5087,X
90,"Agriculture, value added (% GDP)",1987,3.64412,X
91,"Agriculture, value added (% GDP)",1992,4.466726,X
92,"Agriculture, value added (% GDP)",1997,5.696395,X
93,"Agriculture, value added (% GDP)",2002,4.537356,X
94,"Agriculture, value added (% GDP)",2007,2.926693,X
95,"Agriculture, value added (% GDP)",2012,3.215685,X
96,"Agriculture, value added (% GDP)",2017,2.921271,X
97,"Agriculture, value added (% GDP)",2018,2.674019,X
98,Total population with access to safe drinking-water (JMP),1992,99.9,X
99,Total population with access to safe drinking-water (JMP),1997,99.9,X
100,Total population with access to safe drinking-water (JMP),2002,99.9,X
101,Total population with access to safe drinking-water (JMP),2007,99.9,X
102,Total population with access to safe drinking-water (JMP),2012,99.9,X
103,Total population with access to safe drinking-water (JMP),2017,99.9,I
104,Total population with access to safe drinking-water (JMP),2018,99.9,I
105,Surface water: entering the country (total),1962,0.0,OF
106,Surface water: entering the country (total),1967,0.0,OF
107,Surface water: entering the country (total),1972,0.0,OF
108,Surface water: entering the country (total),1977,0.0,OF
109,Surface water: entering the country (total),1982,0.0,OF
110,Surface water: entering the country (total),1987,0.0,OF
111,Surface water: entering the country (total),1992,0.0,OF
112,Surface water: entering the country (total),1997,0.0,OF
113,Surface water: entering the country (total),2002,0.0,OF
114,Surface water: entering the country (total),2007,0.0,OF
115,Surface water: entering the country (total),2012,0.0,OF
116,Surface water: entering the country (total),2017,0.0,OF
117,Surface water: leaving the country to other countries (total),1962,0.0,OF
118,Surface water: leaving the country to other countries (total),1967,0.0,OF
119,Surface water: leaving the country to other countries (total),1972,0.0,OF
120,Surface water: leaving the country to other countries (total),1977,0.0,OF
121,Surface water: leaving the country to other countries (total),1982,0.0,OF
122,Surface water: leaving the country to other countries (total),1987,0.0,OF
123,Surface water: leaving the country to other countries (total),1992,0.0,OF
124,Surface water: leaving the country to other countries (total),1997,0.0,OF
125,Surface water: leaving the country to other countries (total),2002,0.0,OF
126,Surface water: leaving the country to other countries (total),2007,0.0,OF
127,Surface water: leaving the country to other countries (total),2012,0.0,OF
128,Surface water: leaving the country to other countries (total),2017,0.0,OF
129,Groundwater: entering the country (total),1962,0.0,OF
130,Groundwater: entering the country (total),1967,0.0,OF
131,Groundwater: entering the country (total),1972,0.0,OF
132,Groundwater: entering the country (total),1977,0.0,OF
133,Groundwater: entering the country (total),1982,0.0,OF
134,Groundwater: entering the country (total),1987,0.0,OF
135,Groundwater: entering the country (total),1992,0.0,OF
136,Groundwater: entering the country (total),1997,0.0,OF
137,Groundwater: entering the country (total),2002,0.0,OF
138,Groundwater: entering the country (total),2007,0.0,OF
139,Groundwater: entering the country (total),2012,0.0,OF
140,Groundwater: entering the country (total),2017,0.0,OF
141,Groundwater: leaving the country to other countries (total),1962,0.0,OF
142,Groundwater: leaving the country to other countries (total),1967,0.0,OF
143,Groundwater: leaving the country to other countries (total),1972,0.0,OF
144,Groundwater: leaving the country to other countries (total),1977,0.0,OF
145,Groundwater: leaving the country to other countries (total),1982,0.0,OF
146,Groundwater: leaving the country to other countries (total),1987,0.0,OF
147,Groundwater: leaving the country to other countries (total),1992,0.0,OF
148,Groundwater: leaving the country to other countries (total),1997,0.0,OF
149,Groundwater: leaving the country to other countries (total),2002,0.0,OF
150,Groundwater: leaving the country to other countries (total),2007,0.0,OF
151,Groundwater: leaving the country to other countries (total),2012,0.0,OF
152,Groundwater: leaving the country to other countries (total),2017,0.0,OF
153,Dependency ratio,1962,0.0,OF
154,Dependency ratio,1967,0.0,OF
155,Dependency ratio,1972,0.0,OF
156,Dependency ratio,1977,0.0,OF
157,Dependency ratio,1982,0.0,OF
158,Dependency ratio,1987,0.0,OF
159,Dependency ratio,1992,0.0,OF
160,Dependency ratio,1997,0.0,OF
161,Dependency ratio,2002,0.0,OF
162,Dependency ratio,2007,0.0,OF
163,Dependency ratio,2012,0.0,OF
164,Dependency ratio,2017,0.0,OF
165,Total renewable surface water,1962,0.0,E
166,Total renewable surface water,1967,0.0,E
167,Total renewable surface water,1972,0.0,E
168,Total renewable surface water,1977,0.0,E
169,Total renewable surface water,1982,0.0,E
170,Total renewable surface water,1987,0.0,E
171,Total renewable surface water,1992,0.0,E
172,Total renewable surface water,1997,0.0,E
173,Total renewable surface water,2002,0.0,E
174,Total renewable surface water,2007,0.0,E
175,Total renewable surface water,2012,0.0,E
176,Total renewable surface water,2017,0.0,E
177,Total renewable surface water,2018,0.0,E
178,Total renewable groundwater,1962,0.0,E
179,Total renewable groundwater,1967,0.0,E
180,Total renewable groundwater,1972,0.0,E
181,Total renewable groundwater,1977,0.0,E
182,Total renewable groundwater,1982,0.0,E
183,Total renewable groundwater,1987,0.0,E
184,Total renewable groundwater,1992,0.0,E
185,Total renewable groundwater,1997,0.0,E
186,Total renewable groundwater,2002,0.0,E
187,Total renewable groundwater,2007,0.0,E
188,Total renewable groundwater,2012,0.0,E
189,Total renewable groundwater,2017,0.0,E
190,Total renewable groundwater,2018,0.0,E
191,Water resources: total external renewable,1962,0.0,E
192,Water resources: total external renewable,1967,0.0,E
193,Water resources: total external renewable,1972,0.0,E
194,Water resources: total external renewable,1977,0.0,E
195,Water resources: total external renewable,1982,0.0,E
196,Water resources: total external renewable,1987,0.0,E
197,Water resources: total external renewable,1992,0.0,E
198,Water resources: total external renewable,1997,0.0,E
199,Water resources: total external renewable,2002,0.0,E
200,Water resources: total external renewable,2007,0.0,E
201,Water resources: total external renewable,2012,0.0,E
202,Water resources: total external renewable,2017,0.0,E
203,Water resources: total external renewable,2018,0.0,E
204,Total renewable water resources,1962,0.0,E
205,Total renewable water resources,1967,0.0,E
206,Total renewable water resources,1972,0.0,E
207,Total renewable water resources,1977,0.0,E
208,Total renewable water resources,1982,0.0,E
209,Total renewable water resources,1987,0.0,E
210,Total renewable water resources,1992,0.0,E
211,Total renewable water resources,1997,0.0,E
212,Total renewable water resources,2002,0.0,E
213,Total renewable water resources,2007,0.0,E
214,Total renewable water resources,2012,0.0,E
215,Total renewable water resources,2017,0.0,E
216,Total renewable water resources,2018,0.0,E
217,Total renewable water resources per capita,1962,0.0,E
218,Total renewable water resources per capita,1967,0.0,E
219,Total renewable water resources per capita,1972,0.0,E
220,Total renewable water resources per capita,1977,0.0,E
221,Total renewable water resources per capita,1982,0.0,E
222,Total renewable water resources per capita,1987,0.0,E
223,Total renewable water resources per capita,1992,0.0,E
224,Total renewable water resources per capita,1997,0.0,E
225,Total renewable water resources per capita,2002,0.0,E
226,Total renewable water resources per capita,2007,0.0,E
227,Total renewable water resources per capita,2012,0.0,E
228,Total renewable water resources per capita,2017,0.0,E
229,Total renewable water resources per capita,2018,0.0,E
