,Variable Name,Variable Id,Year,Value,Symbol
208,Total internal renewable water resources per capita,4158,2018,114.9692201217,E
209,Total renewable surface water,4185,1962,0.0005,E
210,Total renewable surface water,4185,1967,0.0005,E
211,Total renewable surface water,4185,1972,0.0005,E
212,Total renewable surface water,4185,1977,0.0005,E
213,Total renewable surface water,4185,1982,0.0005,E
214,Total renewable surface water,4185,1987,0.0005,E
215,Total renewable surface water,4185,1992,0.0005,E
216,Total renewable surface water,4185,1997,0.0005,E
217,Total renewable surface water,4185,2002,0.0005,E
218,Total renewable surface water,4185,2007,0.0005,E
219,Total renewable surface water,4185,2012,0.0005,E
220,Total renewable surface water,4185,2017,0.0005,E
221,Total renewable surface water,4185,2018,0.0005,E
222,Total renewable groundwater,4187,1962,0.05,E
223,Total renewable groundwater,4187,1967,0.05,E
224,Total renewable groundwater,4187,1972,0.05,E
225,Total renewable groundwater,4187,1977,0.05,E
226,Total renewable groundwater,4187,1982,0.05,E
227,Total renewable groundwater,4187,1987,0.05,E
228,Total renewable groundwater,4187,1992,0.05,E
229,Total renewable groundwater,4187,1997,0.05,E
230,Total renewable groundwater,4187,2002,0.05,E
231,Total renewable groundwater,4187,2007,0.05,E
232,Total renewable groundwater,4187,2012,0.05,E
233,Total renewable groundwater,4187,2017,0.05,E
234,Total renewable groundwater,4187,2018,0.05,E
235,Total exploitable water resources,4196,1962,0.015,
236,Total exploitable water resources,4196,1967,0.015,
237,Total exploitable water resources,4196,1972,0.015,
238,Total exploitable water resources,4196,1977,0.015,
239,Total exploitable water resources,4196,1982,0.015,
240,Total exploitable water resources,4196,1987,0.015,
241,Total exploitable water resources,4196,1992,0.015,
242,Total exploitable water resources,4196,1997,0.015,
243,Total exploitable water resources,4196,2002,0.015,
244,Total exploitable water resources,4196,2007,0.015,
245,Total exploitable water resources,4196,2012,0.015,
246,Water resources: total external renewable,4182,1962,0.0,E
247,Water resources: total external renewable,4182,1967,0.0,E
248,Water resources: total external renewable,4182,1972,0.0,E
249,Water resources: total external renewable,4182,1977,0.0,E
250,Water resources: total external renewable,4182,1982,0.0,E
251,Water resources: total external renewable,4182,1987,0.0,E
252,Water resources: total external renewable,4182,1992,0.0,E
253,Water resources: total external renewable,4182,1997,0.0,E
254,Water resources: total external renewable,4182,2002,0.0,E
255,Water resources: total external renewable,4182,2007,0.0,E
256,Water resources: total external renewable,4182,2012,0.0,E
257,Water resources: total external renewable,4182,2017,0.0,E
258,Water resources: total external renewable,4182,2018,0.0,E
259,Total renewable water resources,4188,1962,0.0505,E
260,Total renewable water resources,4188,1967,0.0505,E
261,Total renewable water resources,4188,1972,0.0505,E
262,Total renewable water resources,4188,1977,0.0505,E
263,Total renewable water resources,4188,1982,0.0505,E
264,Total renewable water resources,4188,1987,0.0505,E
265,Total renewable water resources,4188,1992,0.0505,E
266,Total renewable water resources,4188,1997,0.0505,E
267,Total renewable water resources,4188,2002,0.0505,E
268,Total renewable water resources,4188,2007,0.0505,E
269,Total renewable water resources,4188,2012,0.0505,E
270,Total renewable water resources,4188,2017,0.0505,E
271,Total renewable water resources,4188,2018,0.0505,E
272,Total renewable water resources per capita,4190,1962,159.5465718023,E
273,Total renewable water resources per capita,4190,1967,156.6095429482,E
274,Total renewable water resources per capita,4190,1972,157.5977730342,E
275,Total renewable water resources per capita,4190,1977,155.323919576,E
276,Total renewable water resources per capita,4190,1982,149.8671968899,E
277,Total renewable water resources per capita,4190,1987,143.2124393474,E
278,Total renewable water resources per capita,4190,1992,137.2689193266,E
279,Total renewable water resources per capita,4190,1997,131.5926620805,E
280,Total renewable water resources per capita,4190,2002,126.6559322629,E
281,Total renewable water resources per capita,4190,2007,123.8194246933,E
282,Total renewable water resources per capita,4190,2012,119.7224336133,E
283,Total renewable water resources per capita,4190,2017,115.3144430769,E
284,Total renewable water resources per capita,4190,2018,114.9692201217,E
285,Total agricultural water managed area,4317,1992,0.8578,I
286,Total agricultural water managed area,4317,1997,1.4,I
287,Total agricultural water managed area,4317,2002,2.2,I
288,Total agricultural water managed area,4317,2007,3.2,E
289,Total agricultural water managed area,4317,2012,3.85,I
290,Total agricultural water managed area,4317,2013,4.2,E
291,Area equipped for irrigation: total,4313,1992,0.8578,I
292,Area equipped for irrigation: total,4313,1997,1.4,I
293,Area equipped for irrigation: total,4313,2002,2.2,I
294,Area equipped for irrigation: total,4313,2006,3.11,I
295,Area equipped for irrigation: total,4313,2012,3.85,I
296,Area equipped for irrigation: total,4313,2013,4.2,E
297,% of agricultural GVA produced by irrigated agriculture,4555,1992,23.5361911777,E
298,% of agricultural GVA produced by irrigated agriculture,4555,1997,33.3611889791,E
299,% of agricultural GVA produced by irrigated agriculture,4555,2002,36.9085191136,E
300,% of agricultural GVA produced by irrigated agriculture,4555,2007,43.4973159049,E
301,% of agricultural GVA produced by irrigated agriculture,4555,2010,40.1519661276,E
302,% of agricultural GVA produced by irrigated agriculture,4555,2016,47.2776952559,E
303,% of agricultural GVA produced by irrigated agriculture,4555,2018,47.2776952559,E
305,Ratio between rainfed and irrigated yields,4557,1966,1.778,I
306,Ratio between rainfed and irrigated yields,4557,1971,1.778,I
307,Ratio between rainfed and irrigated yields,4557,1976,1.778,I
308,Ratio between rainfed and irrigated yields,4557,1981,1.778,I
309,Ratio between rainfed and irrigated yields,4557,1986,1.778,I
310,Ratio between rainfed and irrigated yields,4557,1991,1.778,I
311,Ratio between rainfed and irrigated yields,4557,1996,1.778,I
312,Ratio between rainfed and irrigated yields,4557,2001,1.778,I
313,Ratio between rainfed and irrigated yields,4557,2007,1.778,I
314,Ratio between rainfed and irrigated yields,4557,2011,1.778,I
315,Ratio between rainfed and irrigated yields,4557,2017,1.778,I
316,Ratio between rainfed and irrigated yields,4557,2018,1.778,I
317,Agricultural water withdrawal as % of total renewable water resources,4273,1997,22.5082508251,I
318,Agricultural water withdrawal as % of total renewable water resources,4273,2002,37.4257425743,E
319,Agricultural water withdrawal as % of total renewable water resources,4273,2007,40.198019802,E
320,Agricultural water withdrawal as % of total renewable water resources,4273,2012,47.7227722772,E
321,Agricultural water withdrawal as % of total renewable water resources,4273,2016,50.495049505,E
322,Agricultural water withdrawal,4250,1997,0.0113666667,I
323,Agricultural water withdrawal,4250,2001,0.0201,X
324,Agricultural water withdrawal,4250,2006,0.017,X
325,Agricultural water withdrawal,4250,2011,0.0215666667,I
326,Agricultural water withdrawal,4250,2016,0.0255,
327,Irrigation water requirement,4260,2007,0.012,E
328,Irrigation water requirement,4260,2012,0.012,I
329,Irrigation water requirement,4260,2017,0.012,I
330,Irrigation water requirement,4260,2018,0.012,I
331,Irrigation water withdrawal,4475,2001,0.0201,X
332,Irrigation water withdrawal,4475,2006,0.017,X
333,Irrigation water withdrawal,4475,2011,0.0215666667,I
334,Irrigation water withdrawal,4475,2016,0.0255,
335,Municipal water withdrawal,4251,1972,0.01676,I
336,Municipal water withdrawal,4251,1977,0.0197,I
337,Municipal water withdrawal,4251,1982,0.0242,I
338,Municipal water withdrawal,4251,1987,0.03132,I
339,Municipal water withdrawal,4251,1992,0.04237,I
340,Municipal water withdrawal,4251,1997,0.0448285714,I
341,Municipal water withdrawal,4251,2002,0.0344,E
342,Municipal water withdrawal,4251,2007,0.0256888889,I
343,Municipal water withdrawal,4251,2012,0.0148,X
344,Municipal water withdrawal,4251,2016,0.0363,
345,Industrial water withdrawal,4252,1987,0.0,I
346,Industrial water withdrawal,4252,1992,0.0,I
347,Industrial water withdrawal,4252,1997,0.0002,I
348,Industrial water withdrawal,4252,2002,0.0006428571,I
349,Industrial water withdrawal,4252,2007,0.001,X
350,Industrial water withdrawal,4252,2012,0.001,X
351,Industrial water withdrawal,4252,2017,0.001,
352,Total water withdrawal,4253,1982,0.0248,I
353,Total water withdrawal,4253,1987,0.0368,I
354,Total water withdrawal,4253,1992,0.0488,I
355,Total water withdrawal,4253,1997,0.0563952381,E
356,Total water withdrawal,4253,2002,0.0539428571,E
357,Total water withdrawal,4253,2007,0.0469888889,E
358,Total water withdrawal,4253,2012,0.0399,E
359,Total water withdrawal,4253,2016,0.0628,E
360,Fresh surface water withdrawal,4261,1987,0.0,I
361,Fresh surface water withdrawal,4261,1992,0.0,I
362,Fresh surface water withdrawal,4261,1997,0.0,I
363,Fresh surface water withdrawal,4261,2002,0.0,I
364,Fresh surface water withdrawal,4261,2007,0.0013,I
365,Fresh surface water withdrawal,4261,2012,0.0026,X
366,Fresh surface water withdrawal,4261,2016,0.0026,
367,Fresh groundwater withdrawal,4262,1987,0.02618,I
368,Fresh groundwater withdrawal,4262,1992,0.02438,I
369,Fresh groundwater withdrawal,4262,1997,0.0263571429,I
370,Fresh groundwater withdrawal,4262,2002,0.034,I
371,Fresh groundwater withdrawal,4262,2007,0.0355,I
372,Fresh groundwater withdrawal,4262,2011,0.0381,X
373,Fresh groundwater withdrawal,4262,2016,0.0392,
374,Total freshwater withdrawal,4263,1982,0.0248,E
375,Total freshwater withdrawal,4263,1987,0.02618,I
376,Total freshwater withdrawal,4263,1992,0.02438,I
377,Total freshwater withdrawal,4263,1997,0.0263571429,I
378,Total freshwater withdrawal,4263,2001,0.0324714286,I
379,Total freshwater withdrawal,4263,2007,0.0368,E
380,Total freshwater withdrawal,4263,2012,0.0401,X
381,Total freshwater withdrawal,4263,2016,0.0419,
382,Desalinated water produced,4264,1992,0.02748,I
383,Desalinated water produced,4264,1997,0.0245,
384,Desalinated water produced,4264,2002,0.0179,
385,Desalinated water produced,4264,2007,0.0189,I
386,Desalinated water produced,4264,2012,0.0189,I
387,Desalinated water produced,4264,2017,0.0202,
388,Direct use of treated municipal wastewater,4265,1997,0.0027272727,I
389,Direct use of treated municipal wastewater,4265,2002,0.0036363636,I
390,Direct use of treated municipal wastewater,4265,2007,0.00313,I
391,Direct use of treated municipal wastewater,4265,2012,0.00168,I
392,Direct use of treated municipal wastewater,4265,2017,0.0006,
395,Produced municipal wastewater,4269,2012,0.0212,
396,Produced municipal wastewater,4269,2016,0.0226,
397,Collected municipal wastewater,4493,2016,0.0226,
398,Treated municipal wastewater,4270,1997,0.0056952381,I
399,Treated municipal wastewater,4270,2002,0.0103142857,I
400,Treated municipal wastewater,4270,2007,0.0149333333,I
401,Treated municipal wastewater,4270,2012,0.019552381,I
402,Treated municipal wastewater,4270,2016,0.0226,
403,Treated municipal wastewater discharged (secondary water),4510,1997,0.0,I
404,Treated municipal wastewater discharged (secondary water),4510,2002,0.0,I
405,Treated municipal wastewater discharged (secondary water),4510,2007,0.0,I
406,Treated municipal wastewater discharged (secondary water),4510,2012,0.0,I
407,Treated municipal wastewater discharged (secondary water),4510,2017,0.0,I
408,Treated municipal wastewater discharged (secondary water),4510,2018,0.0,I
409,SDG 6.4.2. Water Stress,4550,1982,49.1089108911,E
410,SDG 6.4.2. Water Stress,4550,1987,51.8415841584,I
411,SDG 6.4.2. Water Stress,4550,1992,48.2772277228,I
412,SDG 6.4.2. Water Stress,4550,1997,52.1923620934,I
413,SDG 6.4.2. Water Stress,4550,2002,67.3267326733,E
414,SDG 6.4.2. Water Stress,4550,2007,72.8712871287,E
415,SDG 6.4.2. Water Stress,4550,2012,79.4059405941,E
416,SDG 6.4.2. Water Stress,4550,2016,82.9702970297,E
417,SDG 6.4.1. Industrial Water Use Efficiency,4553,2015,1165.185558,E
418,SDG 6.4.1. Services Water Use Efficiency,4554,2015,229.4076435028,E
419,Area salinized by irrigation,4400,1997,0.0,I
420,Area salinized by irrigation,4400,2002,0.0,I
421,Area salinized by irrigation,4400,2007,0.0,I
422,Area salinized by irrigation,4400,2012,0.0,I
423,Area salinized by irrigation,4400,2015,0.0,I
424,Harvested irrigated temporary crop area: Potatoes,4352,2007,0.782,I
425,Harvested irrigated temporary crop area: Potatoes,4352,2012,0.81,I
426,Harvested irrigated temporary crop area: Potatoes,4352,2017,0.81,I
427,Harvested irrigated temporary crop area: Potatoes,4352,2018,0.81,I
428,Harvested irrigated temporary crop area: Other roots and tubers,4355,1992,0.377,I
429,Harvested irrigated temporary crop area: Other roots and tubers,4355,1997,0.377,I
430,Harvested irrigated temporary crop area: Other roots and tubers,4355,2002,0.377,I
431,Harvested irrigated temporary crop area: Other roots and tubers,4355,2007,0.377,I
432,Harvested irrigated temporary crop area: Other roots and tubers,4355,2012,0.377,I
433,Harvested irrigated temporary crop area: Other roots and tubers,4355,2017,0.377,I
434,Harvested irrigated temporary crop area: Other roots and tubers,4355,2018,0.377,I
435,Harvested irrigated temporary crop area: Leguminous crops,4359,2012,0.3,I
436,Harvested irrigated temporary crop area: Leguminous crops,4359,2017,0.3,I
437,Harvested irrigated temporary crop area: Leguminous crops,4359,2018,0.3,I
438,Harvested irrigated temporary crop area: Vegetables,4360,1992,1.4155555556,I
439,Harvested irrigated temporary crop area: Vegetables,4360,1997,1.3794444444,I
440,Harvested irrigated temporary crop area: Vegetables,4360,2002,1.3433333333,I
441,Harvested irrigated temporary crop area: Vegetables,4360,2007,1.3072222222,I
442,Harvested irrigated temporary crop area: Vegetables,4360,2012,1.3,I
443,Harvested irrigated temporary crop area: Vegetables,4360,2017,1.3,I
444,Harvested irrigated temporary crop area: Vegetables,4360,2018,1.3,I
445,Harvested irrigated permanent crop area: Citrus,4362,2007,0.07,I
446,Harvested irrigated permanent crop area: Citrus,4362,2012,0.07,I
447,Harvested irrigated permanent crop area: Citrus,4362,2017,0.07,I
448,Harvested irrigated permanent crop area: Citrus,4362,2018,0.07,I
449,Harvested irrigated permanent crop area: Other crops,4378,2007,0.09,I
450,Harvested irrigated permanent crop area: Other crops,4378,2012,0.09,I
451,Harvested irrigated permanent crop area: Other crops,4378,2017,0.09,I
452,Harvested irrigated permanent crop area: Other crops,4378,2018,0.09,I
