,Variable Name,Variable Id,Year,Value,Symbol
39,Rural population,4105,1962,45.371,X
40,Rural population,4105,1967,54.25,X
41,Rural population,4105,1972,62.754,X
42,Rural population,4105,1977,68.695,X
43,Rural population,4105,1982,77.277,X
44,Rural population,4105,1987,90.582,X
45,Rural population,4105,1992,102.873,X
46,Rural population,4105,1997,119.66,X
47,Rural population,4105,2002,143.26,X
48,Rural population,4105,2007,163.292,X
49,Rural population,4105,2012,184.356,X
50,Rural population,4105,2017,203.824,X
51,Rural population,4105,2018,207.573,X
52,Urban population,4106,1962,52.013,X
53,Urban population,4106,1967,58.442,X
54,Urban population,4106,1972,64.396,X
55,Urban population,4106,1977,68.294,X
56,Urban population,4106,1982,74.223,X
57,Urban population,4106,1987,83.738,X
58,Urban population,4106,1992,91.444,X
59,Urban population,4106,1997,101.946,X
60,Urban population,4106,2002,118.946,X
61,Urban population,4106,2007,135.115,X
62,Urban population,4106,2012,152.345,X
63,Urban population,4106,2017,170.857,X
64,Urban population,4106,2018,174.871,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2002,0.5106,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2007,0.4742,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2012,0.4406666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2017,0.4257,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2018,0.4257,I
70,Gross Domestic Product (GDP),4112,1962,31857594.0,X
71,Gross Domestic Product (GDP),4112,1967,47379309.0,X
72,Gross Domestic Product (GDP),4112,1972,46000141.0,X
73,Gross Domestic Product (GDP),4112,1977,117157470.0,X
74,Gross Domestic Product (GDP),4112,1982,198492217.0,X
75,Gross Domestic Product (GDP),4112,1987,306181857.0,X
76,Gross Domestic Product (GDP),4112,1992,518239092.0,X
77,Gross Domestic Product (GDP),4112,1997,654314354.0,X
78,Gross Domestic Product (GDP),4112,2000,832072465.0,X
79,Gross Domestic Product (GDP),4112,2007,1271599933.0,X
80,Gross Domestic Product (GDP),4112,2012,1522899790.0,X
81,Gross Domestic Product (GDP),4112,2017,1836593466.0,X
82,Gross Domestic Product (GDP),4112,2018,1871203164.0,X
83,GDP per capita,4458,1972,361.778538,X
84,GDP per capita,4458,1977,855.232683,X
85,GDP per capita,4458,1982,1310.179647,X
86,GDP per capita,4458,1987,1756.435618,X
87,GDP per capita,4458,1992,2666.977629,X
88,GDP per capita,4458,1997,2952.602159,X
89,GDP per capita,4458,2002,3528.001707,X
90,GDP per capita,4458,2007,4261.293912,X
91,GDP per capita,4458,2012,4523.003466,X
92,GDP per capita,4458,2017,4901.752333,X
93,GDP per capita,4458,2018,4892.75074,X
94,"Agriculture, value added (% GDP)",4113,1972,22.963892,X
95,"Agriculture, value added (% GDP)",4113,1977,20.951725,X
96,"Agriculture, value added (% GDP)",4113,1982,17.795674,X
97,"Agriculture, value added (% GDP)",4113,1987,17.761176,X
98,"Agriculture, value added (% GDP)",4113,1992,15.403325,X
99,"Agriculture, value added (% GDP)",4113,1997,14.939302,X
100,"Agriculture, value added (% GDP)",4113,2002,12.788491,X
101,"Agriculture, value added (% GDP)",4113,2007,11.703838,X
102,"Agriculture, value added (% GDP)",4113,2012,13.425571,X
103,"Agriculture, value added (% GDP)",4113,2017,11.204338,X
104,"Agriculture, value added (% GDP)",4113,2018,9.563392,X
105,Prevalence of undernourishment (3-year average),4474,1992,9.7,X
106,Prevalence of undernourishment (3-year average),4474,1997,6.7,X
107,Prevalence of undernourishment (3-year average),4474,2001,5.8,X
108,Prevalence of undernourishment (3-year average),4474,2016,7.7,X
109,Total population with access to safe drinking-water (JMP),4114,1992,75.3,X
110,Total population with access to safe drinking-water (JMP),4114,1997,81.4,X
111,Total population with access to safe drinking-water (JMP),4114,2002,87.5,X
112,Total population with access to safe drinking-water (JMP),4114,2007,93.5,X
113,Total population with access to safe drinking-water (JMP),4114,2012,99.3,X
114,Total population with access to safe drinking-water (JMP),4114,2017,99.5,I
115,Total population with access to safe drinking-water (JMP),4114,2018,99.5,I
116,Long-term average annual precipitation in volume,4150,1962,39.16385,E
117,Long-term average annual precipitation in volume,4150,1967,39.16385,E
118,Long-term average annual precipitation in volume,4150,1972,39.16385,E
119,Long-term average annual precipitation in volume,4150,1977,39.16385,E
120,Long-term average annual precipitation in volume,4150,1982,39.16385,E
121,Long-term average annual precipitation in volume,4150,1987,39.16385,E
122,Long-term average annual precipitation in volume,4150,1992,39.16385,E
123,Long-term average annual precipitation in volume,4150,1997,39.16385,E
124,Long-term average annual precipitation in volume,4150,2002,39.16385,E
125,Long-term average annual precipitation in volume,4150,2007,39.16385,E
126,Long-term average annual precipitation in volume,4150,2012,39.16385,E
127,Long-term average annual precipitation in volume,4150,2017,39.16385,E
128,Long-term average annual precipitation in volume,4150,2018,39.16385,E
129,Interannual variability (WRI),4541,2017,1.1,I
130,Interannual variability (WRI),4541,2018,1.1,I
131,Seasonal variability (WRI),4542,2017,2.2,I
132,Seasonal variability (WRI),4542,2018,2.2,I
133,Flood occurrence (WRI),4543,2017,2.6,I
134,Flood occurrence (WRI),4543,2018,2.6,I
146,Surface water: entering the country (total),4159,2017,6.042,
147,Surface water: leaving the country to other countries (total),4171,1962,0.0,
148,Surface water: leaving the country to other countries (total),4171,1967,0.0,
149,Surface water: leaving the country to other countries (total),4171,1972,0.0,
150,Surface water: leaving the country to other countries (total),4171,1977,0.0,
151,Surface water: leaving the country to other countries (total),4171,1982,0.0,
152,Surface water: leaving the country to other countries (total),4171,1987,0.0,
153,Surface water: leaving the country to other countries (total),4171,1992,0.0,
154,Surface water: leaving the country to other countries (total),4171,1997,0.0,
155,Surface water: leaving the country to other countries (total),4171,2002,0.0,
156,Surface water: leaving the country to other countries (total),4171,2007,0.0,
157,Surface water: leaving the country to other countries (total),4171,2012,0.0,
158,Surface water: leaving the country to other countries (total),4171,2017,0.0,
159,Groundwater: entering the country (total),4177,1961,0.0,
160,Groundwater: entering the country (total),4177,1967,0.0,
161,Groundwater: entering the country (total),4177,1972,0.0,
162,Groundwater: entering the country (total),4177,1977,0.0,
163,Groundwater: entering the country (total),4177,1982,0.0,
164,Groundwater: entering the country (total),4177,1987,0.0,
165,Groundwater: entering the country (total),4177,1992,0.0,
166,Groundwater: entering the country (total),4177,1997,0.0,
167,Groundwater: entering the country (total),4177,2002,0.0,
168,Groundwater: entering the country (total),4177,2007,0.0,
169,Groundwater: entering the country (total),4177,2012,0.0,
170,Groundwater: entering the country (total),4177,2017,0.0,
171,Groundwater: leaving the country to other countries (total),4178,1961,0.0,
172,Groundwater: leaving the country to other countries (total),4178,1967,0.0,
173,Groundwater: leaving the country to other countries (total),4178,1972,0.0,
174,Groundwater: leaving the country to other countries (total),4178,1977,0.0,
175,Groundwater: leaving the country to other countries (total),4178,1982,0.0,
176,Groundwater: leaving the country to other countries (total),4178,1987,0.0,
177,Groundwater: leaving the country to other countries (total),4178,1992,0.0,
178,Groundwater: leaving the country to other countries (total),4178,1997,0.0,
179,Groundwater: leaving the country to other countries (total),4178,2002,0.0,
180,Groundwater: leaving the country to other countries (total),4178,2007,0.0,
181,Groundwater: leaving the country to other countries (total),4178,2012,0.0,
182,Groundwater: leaving the country to other countries (total),4178,2017,0.0,
183,Dependency ratio,4192,1962,29.7874298334,E
184,Dependency ratio,4192,1967,29.7874298334,E
185,Dependency ratio,4192,1972,29.7874298334,E
186,Dependency ratio,4192,1977,29.7874298334,E
187,Dependency ratio,4192,1982,29.7874298334,E
188,Dependency ratio,4192,1987,29.7874298334,E
189,Dependency ratio,4192,1992,29.7874298334,E
190,Dependency ratio,4192,1997,29.7874298334,E
191,Dependency ratio,4192,2002,29.7874298334,E
192,Dependency ratio,4192,2007,29.7874298334,E
193,Dependency ratio,4192,2012,29.7874298334,E
194,Dependency ratio,4192,2017,29.7874298334,E
195,Dependency ratio,4192,2018,29.7874298334,E
196,Total internal renewable water resources (IRWR),4157,1962,15.26,E
197,Total internal renewable water resources (IRWR),4157,1967,15.26,E
198,Total internal renewable water resources (IRWR),4157,1972,15.26,E
199,Total internal renewable water resources (IRWR),4157,1977,15.26,E
200,Total internal renewable water resources (IRWR),4157,1982,15.26,E
201,Total internal renewable water resources (IRWR),4157,1987,15.26,E
202,Total internal renewable water resources (IRWR),4157,1992,15.26,E
203,Total internal renewable water resources (IRWR),4157,1997,15.26,E
204,Total internal renewable water resources (IRWR),4157,2002,15.26,E
205,Total internal renewable water resources (IRWR),4157,2007,15.26,E
206,Total internal renewable water resources (IRWR),4157,2012,15.26,E
207,Total internal renewable water resources (IRWR),4157,2017,15.26,E
208,Total internal renewable water resources (IRWR),4157,2018,15.26,E
209,Total internal renewable water resources per capita,4158,1962,156699.252443933,E
210,Total internal renewable water resources per capita,4158,1967,135413.33901253,E
211,Total internal renewable water resources per capita,4158,1972,120015.729453401,E
212,Total internal renewable water resources per capita,4158,1977,111395.805502632,E
213,Total internal renewable water resources per capita,4158,1982,100726.072607261,E
214,Total internal renewable water resources per capita,4158,1987,87540.1560348784,E
215,Total internal renewable water resources per capita,4158,1992,78528.6428850785,E
216,Total internal renewable water resources per capita,4158,1997,68869.031501038,E
217,Total internal renewable water resources per capita,4158,2002,58160.3640549131,E
218,Total internal renewable water resources per capita,4158,2007,51032.5223643508,E
219,Total internal renewable water resources per capita,4158,2012,45147.9289940828,E
220,Total internal renewable water resources per capita,4158,2017,40610.0556458888,E
221,Total internal renewable water resources per capita,4158,2018,39835.9573029543,E
222,Total renewable surface water,4185,1962,21.734,E
223,Total renewable surface water,4185,1967,21.734,E
224,Total renewable surface water,4185,1972,21.734,E
225,Total renewable surface water,4185,1977,21.734,E
226,Total renewable surface water,4185,1982,21.734,E
227,Total renewable surface water,4185,1987,21.734,E
228,Total renewable surface water,4185,1992,21.734,E
229,Total renewable surface water,4185,1997,21.734,E
230,Total renewable surface water,4185,2002,21.734,E
231,Total renewable surface water,4185,2007,21.734,E
232,Total renewable surface water,4185,2012,21.734,E
233,Total renewable surface water,4185,2017,21.734,E
234,Total renewable surface water,4185,2018,21.734,E
235,Total renewable groundwater,4187,1962,7.51,E
236,Total renewable groundwater,4187,1967,7.51,E
237,Total renewable groundwater,4187,1972,7.51,E
238,Total renewable groundwater,4187,1977,7.51,E
239,Total renewable groundwater,4187,1982,7.51,E
240,Total renewable groundwater,4187,1987,7.51,E
241,Total renewable groundwater,4187,1992,7.51,E
242,Total renewable groundwater,4187,1997,7.51,E
243,Total renewable groundwater,4187,2002,7.51,E
244,Total renewable groundwater,4187,2007,7.51,E
245,Total renewable groundwater,4187,2012,7.51,E
246,Total renewable groundwater,4187,2017,7.51,E
247,Total renewable groundwater,4187,2018,7.51,E
248,Water resources: total external renewable,4182,1962,6.474,E
249,Water resources: total external renewable,4182,1967,6.474,E
250,Water resources: total external renewable,4182,1972,6.474,E
251,Water resources: total external renewable,4182,1977,6.474,E
252,Water resources: total external renewable,4182,1982,6.474,E
253,Water resources: total external renewable,4182,1987,6.474,E
254,Water resources: total external renewable,4182,1992,6.474,E
255,Water resources: total external renewable,4182,1997,6.474,E
256,Water resources: total external renewable,4182,2002,6.474,E
257,Water resources: total external renewable,4182,2007,6.474,E
258,Water resources: total external renewable,4182,2012,6.474,E
259,Water resources: total external renewable,4182,2017,6.474,E
260,Water resources: total external renewable,4182,2018,6.474,E
261,Total renewable water resources,4188,1962,21.734,E
262,Total renewable water resources,4188,1967,21.734,E
263,Total renewable water resources,4188,1972,21.734,E
264,Total renewable water resources,4188,1977,21.734,E
265,Total renewable water resources,4188,1982,21.734,E
266,Total renewable water resources,4188,1987,21.734,E
267,Total renewable water resources,4188,1992,21.734,E
268,Total renewable water resources,4188,1997,21.734,E
269,Total renewable water resources,4188,2002,21.734,E
270,Total renewable water resources,4188,2007,21.734,E
271,Total renewable water resources,4188,2012,21.734,E
272,Total renewable water resources,4188,2017,21.734,E
273,Total renewable water resources,4188,2018,21.734,E
274,Total renewable water resources per capita,4190,1962,223178.345518771,E
275,Total renewable water resources per capita,4190,1967,192861.960032655,E
276,Total renewable water resources per capita,4190,1972,170931.970114039,E
277,Total renewable water resources per capita,4190,1977,158655.074495032,E
278,Total renewable water resources per capita,4190,1982,143458.745874587,E
279,Total renewable water resources per capita,4190,1987,124678.751720973,E
280,Total renewable water resources per capita,4190,1992,111844.136596612,E
281,Total renewable water resources per capita,4190,1997,98086.4698980052,E
282,Total renewable water resources per capita,4190,2002,82834.6888839766,E
283,Total renewable water resources per capita,4190,2007,72682.8860463172,E
284,Total renewable water resources per capita,4190,2012,64301.775147929,E
285,Total renewable water resources per capita,4190,2017,57838.7253871394,E
286,Total renewable water resources per capita,4190,2018,56736.2186122155,E
287,Total agricultural water managed area,4317,1997,3.0,E
288,Total agricultural water managed area,4317,2002,3.3425,I
289,Total agricultural water managed area,4317,2007,3.548,I
290,Total agricultural water managed area,4317,2012,3.548,I
291,Total agricultural water managed area,4317,2017,3.548,I
292,Total agricultural water managed area,4317,2018,3.548,I
293,Area equipped for irrigation: total,4313,1997,3.0,E
294,Area equipped for irrigation: total,4313,2002,3.3425,I
295,Area equipped for irrigation: total,4313,2007,3.548,I
296,Area equipped for irrigation: total,4313,2012,3.548,I
297,Area equipped for irrigation: total,4313,2017,3.548,I
298,Area equipped for irrigation: total,4313,2018,3.548,I
299,% of agricultural GVA produced by irrigated agriculture,4555,1997,5.3162437459,E
300,% of agricultural GVA produced by irrigated agriculture,4555,2002,5.6815856411,E
301,% of agricultural GVA produced by irrigated agriculture,4555,2007,6.0216908032,E
302,% of agricultural GVA produced by irrigated agriculture,4555,2012,5.5944703397,E
303,% of agricultural GVA produced by irrigated agriculture,4555,2017,5.0563695143,E
304,% of agricultural GVA produced by irrigated agriculture,4555,2018,5.0563695143,E
306,Ratio between rainfed and irrigated yields,4557,1966,1.778,I
307,Ratio between rainfed and irrigated yields,4557,1971,1.778,I
308,Ratio between rainfed and irrigated yields,4557,1976,1.778,I
309,Ratio between rainfed and irrigated yields,4557,1981,1.778,I
310,Ratio between rainfed and irrigated yields,4557,1986,1.778,I
311,Ratio between rainfed and irrigated yields,4557,1991,1.778,I
312,Ratio between rainfed and irrigated yields,4557,1996,1.778,I
313,Ratio between rainfed and irrigated yields,4557,2001,1.778,I
314,Ratio between rainfed and irrigated yields,4557,2007,1.778,I
315,Ratio between rainfed and irrigated yields,4557,2011,1.778,I
316,Ratio between rainfed and irrigated yields,4557,2017,1.778,I
317,Ratio between rainfed and irrigated yields,4557,2018,1.778,I
318,Agricultural water withdrawal as % of total renewable water resources,4273,1987,0.0828195454,E
319,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.0904880218,I
320,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.2192746059,E
321,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.3147142726,E
322,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.3147142726,E
323,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.3147142726,E
324,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.3147142726,E
325,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.3147142726,E
326,Agricultural water withdrawal,4250,1987,0.018,
327,Agricultural water withdrawal,4250,1992,0.0196666667,I
328,Agricultural water withdrawal,4250,1997,0.0476571429,I
329,Agricultural water withdrawal,4250,2002,0.0684,I
330,Agricultural water withdrawal,4250,2007,0.0684,I
331,Agricultural water withdrawal,4250,2012,0.0684,I
332,Agricultural water withdrawal,4250,2017,0.0684,I
333,Agricultural water withdrawal,4250,2018,0.0684,I
334,Municipal water withdrawal,4251,1987,0.002,
335,Municipal water withdrawal,4251,1992,0.007625,I
336,Municipal water withdrawal,4251,1997,0.01116,I
337,Municipal water withdrawal,4251,2002,0.0114,I
338,Municipal water withdrawal,4251,2007,0.0114,I
339,Municipal water withdrawal,4251,2012,0.0114,I
340,Municipal water withdrawal,4251,2017,0.0114,I
341,Municipal water withdrawal,4251,2018,0.0114,I
342,Industrial water withdrawal,4252,1987,0.0,
343,Industrial water withdrawal,4252,1992,0.0081538462,I
344,Industrial water withdrawal,4252,1997,0.0163076923,I
345,Industrial water withdrawal,4252,2002,0.0212,I
346,Industrial water withdrawal,4252,2007,0.0212,I
347,Industrial water withdrawal,4252,2012,0.0212,I
348,Industrial water withdrawal,4252,2017,0.0212,I
349,Industrial water withdrawal,4252,2018,0.0212,I
350,Total water withdrawal,4253,1987,0.02,E
351,Total water withdrawal,4253,1992,0.0354455128,E
352,Total water withdrawal,4253,1997,0.0751248352,E
353,Total water withdrawal,4253,2002,0.101,I
354,Total water withdrawal,4253,2007,0.101,I
355,Total water withdrawal,4253,2012,0.101,I
356,Total water withdrawal,4253,2017,0.101,I
357,Total water withdrawal,4253,2018,0.101,I
358,Total freshwater withdrawal,4263,1987,0.02,E
359,Total freshwater withdrawal,4263,1992,0.0354455128,E
360,Total freshwater withdrawal,4263,1997,0.0751248352,E
361,Total freshwater withdrawal,4263,2002,0.101,I
362,Total freshwater withdrawal,4263,2007,0.101,I
363,Total freshwater withdrawal,4263,2012,0.101,I
364,Total freshwater withdrawal,4263,2017,0.101,I
365,Total freshwater withdrawal,4263,2018,0.101,I
366,Produced municipal wastewater,4269,1997,0.002,I
367,Produced municipal wastewater,4269,2002,0.002,I
368,Produced municipal wastewater,4269,2007,0.002,I
369,Produced municipal wastewater,4269,2012,0.002,I
370,Produced municipal wastewater,4269,2017,0.002,I
371,Produced municipal wastewater,4269,2018,0.002,I
384,SDG 6.4.2. Water Stress,4550,1987,0.2495632643,E
385,SDG 6.4.2. Water Stress,4550,1992,0.4422948942,E
386,SDG 6.4.2. Water Stress,4550,1997,0.9374199546,E
387,SDG 6.4.2. Water Stress,4550,2002,1.2602944847,E
388,SDG 6.4.2. Water Stress,4550,2007,1.2602944847,E
389,SDG 6.4.2. Water Stress,4550,2012,1.2602944847,E
390,SDG 6.4.2. Water Stress,4550,2017,1.2602944847,E
391,SDG 6.4.2. Water Stress,4550,2018,1.2602944847,E
392,SDG 6.4.1. Water Use Efficiency,4551,1997,8.1795024142,I
393,SDG 6.4.1. Water Use Efficiency,4551,2002,8.9515036522,I
394,SDG 6.4.1. Water Use Efficiency,4551,2007,11.2746848693,I
395,SDG 6.4.1. Water Use Efficiency,4551,2012,12.3203525362,I
396,SDG 6.4.1. Water Use Efficiency,4551,2015,12.7894472508,I
397,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1997,0.1386549037,E
398,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2002,0.1235852354,E
399,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2007,0.1475097108,E
400,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2012,0.1753038224,E
401,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,0.1658737329,E
402,SDG 6.4.1. Industrial Water Use Efficiency,4553,1992,14.6338809643,E
403,SDG 6.4.1. Industrial Water Use Efficiency,4553,1997,7.1735958124,E
404,SDG 6.4.1. Industrial Water Use Efficiency,4553,2002,7.4825432681,E
405,SDG 6.4.1. Industrial Water Use Efficiency,4553,2007,10.1844801539,E
406,SDG 6.4.1. Industrial Water Use Efficiency,4553,2012,11.7079215108,E
407,SDG 6.4.1. Industrial Water Use Efficiency,4553,2015,8.7211792453,E
408,SDG 6.4.1. Services Water Use Efficiency,4554,1987,130.0898384725,E
409,SDG 6.4.1. Services Water Use Efficiency,4554,1992,55.544641123,E
410,SDG 6.4.1. Services Water Use Efficiency,4554,1997,43.9866559856,E
411,SDG 6.4.1. Services Water Use Efficiency,4554,2002,64.650765043,E
412,SDG 6.4.1. Services Water Use Efficiency,4554,2007,80.0651340627,E
413,SDG 6.4.1. Services Water Use Efficiency,4554,2012,86.3295516382,E
414,SDG 6.4.1. Services Water Use Efficiency,4554,2015,96.096439386,E
415,Harvested irrigated temporary crop area: Rice,4346,1997,0.9,E
416,Harvested irrigated temporary crop area: Rice,4346,2002,1.17375,I
417,Harvested irrigated temporary crop area: Rice,4346,2007,1.338,I
418,Harvested irrigated temporary crop area: Rice,4346,2012,1.338,I
419,Harvested irrigated temporary crop area: Rice,4346,2017,1.338,I
420,Harvested irrigated temporary crop area: Rice,4346,2018,1.338,I
421,Harvested irrigated temporary crop area: Sugarcane,4357,2007,0.2,I
422,Harvested irrigated temporary crop area: Sugarcane,4357,2012,0.2,I
423,Harvested irrigated temporary crop area: Sugarcane,4357,2017,0.2,I
424,Harvested irrigated temporary crop area: Sugarcane,4357,2018,0.2,I
425,Harvested irrigated temporary crop area: Vegetables,4360,2007,0.074,I
426,Harvested irrigated temporary crop area: Vegetables,4360,2012,0.074,I
427,Harvested irrigated temporary crop area: Vegetables,4360,2017,0.074,I
428,Harvested irrigated temporary crop area: Vegetables,4360,2018,0.074,I
429,Harvested irrigated permanent crop area: Bananas,4361,2007,1.215,I
430,Harvested irrigated permanent crop area: Bananas,4361,2012,1.215,I
431,Harvested irrigated permanent crop area: Bananas,4361,2017,1.215,I
432,Harvested irrigated permanent crop area: Bananas,4361,2018,1.215,I
433,Harvested irrigated permanent crop area: Other crops,4378,1997,0.6,E
434,Harvested irrigated permanent crop area: Other crops,4378,2002,0.6,I
435,Harvested irrigated permanent crop area: Other crops,4378,2007,0.6,I
436,Harvested irrigated permanent crop area: Other crops,4378,2012,0.6,I
437,Harvested irrigated permanent crop area: Other crops,4378,2017,0.6,I
438,Harvested irrigated permanent crop area: Other crops,4378,2018,0.6,I
