,Variable Name,Variable Id,Year,Value,Symbol
313,Area equipped for irrigation: total,4313,2018,22.562,I
314,% of agricultural GVA produced by irrigated agriculture,4555,1997,3.2832669238,E
315,% of agricultural GVA produced by irrigated agriculture,4555,2002,2.8419521475,E
316,% of agricultural GVA produced by irrigated agriculture,4555,2007,2.8366565309,E
317,% of agricultural GVA produced by irrigated agriculture,4555,2012,2.7347397332,E
318,% of agricultural GVA produced by irrigated agriculture,4555,2017,2.7347397332,E
319,% of agricultural GVA produced by irrigated agriculture,4555,2018,2.7347397332,E
321,Ratio between rainfed and irrigated yields,4557,1966,1.778,I
322,Ratio between rainfed and irrigated yields,4557,1971,1.778,I
323,Ratio between rainfed and irrigated yields,4557,1976,1.778,I
324,Ratio between rainfed and irrigated yields,4557,1981,1.778,I
325,Ratio between rainfed and irrigated yields,4557,1986,1.778,I
326,Ratio between rainfed and irrigated yields,4557,1991,1.778,I
327,Ratio between rainfed and irrigated yields,4557,1996,1.778,I
328,Ratio between rainfed and irrigated yields,4557,2001,1.778,I
329,Ratio between rainfed and irrigated yields,4557,2007,1.778,I
330,Ratio between rainfed and irrigated yields,4557,2011,1.778,I
331,Ratio between rainfed and irrigated yields,4557,2017,1.778,I
332,Ratio between rainfed and irrigated yields,4557,2018,1.778,I
333,Agricultural water withdrawal as % of total renewable water resources,4273,1992,0.1070063694,I
334,Agricultural water withdrawal as % of total renewable water resources,4273,1997,0.4585987261,I
335,Agricultural water withdrawal as % of total renewable water resources,4273,2002,0.4585987261,I
336,Agricultural water withdrawal as % of total renewable water resources,4273,2007,0.4585987261,I
337,Agricultural water withdrawal as % of total renewable water resources,4273,2012,0.4585987261,I
338,Agricultural water withdrawal as % of total renewable water resources,4273,2017,0.4585987261,I
339,Agricultural water withdrawal as % of total renewable water resources,4273,2018,0.4585987261,I
340,Agricultural water withdrawal,4250,1992,0.0336,I
341,Agricultural water withdrawal,4250,1997,0.144,I
342,Agricultural water withdrawal,4250,2002,0.144,I
343,Agricultural water withdrawal,4250,2007,0.144,I
344,Agricultural water withdrawal,4250,2012,0.144,I
345,Agricultural water withdrawal,4250,2017,0.144,I
346,Agricultural water withdrawal,4250,2018,0.144,I
347,Irrigation water requirement,4260,1997,0.0263,I
348,Irrigation water requirement,4260,2002,0.0263,I
349,Irrigation water requirement,4260,2007,0.0263,I
350,Irrigation water requirement,4260,2012,0.0263,I
351,Irrigation water requirement,4260,2017,0.0263,I
352,Irrigation water requirement,4260,2018,0.0263,I
353,Municipal water withdrawal,4251,1992,0.0126,I
354,Municipal water withdrawal,4251,1997,0.023,I
355,Municipal water withdrawal,4251,2002,0.02744,I
356,Municipal water withdrawal,4251,2007,0.0341,I
357,Municipal water withdrawal,4251,2012,0.0341,I
358,Municipal water withdrawal,4251,2017,0.0341,I
359,Municipal water withdrawal,4251,2018,0.0341,I
360,Industrial water withdrawal,4252,1992,0.00208,I
361,Industrial water withdrawal,4252,1997,0.008,I
362,Industrial water withdrawal,4252,2002,0.00956,I
363,Industrial water withdrawal,4252,2007,0.0119,I
364,Industrial water withdrawal,4252,2012,0.0119,I
365,Industrial water withdrawal,4252,2017,0.0119,I
366,Industrial water withdrawal,4252,2018,0.0119,I
367,Total water withdrawal,4253,1992,0.04828,I
368,Total water withdrawal,4253,1997,0.175,I
369,Total water withdrawal,4253,2002,0.181,E
370,Total water withdrawal,4253,2007,0.19,E
371,Total water withdrawal,4253,2012,0.19,E
372,Total water withdrawal,4253,2017,0.19,E
373,Total water withdrawal,4253,2018,0.19,E
374,Fresh surface water withdrawal,4261,1997,0.144,I
375,Fresh surface water withdrawal,4261,2002,0.144,I
376,Fresh surface water withdrawal,4261,2007,0.144,I
377,Fresh surface water withdrawal,4261,2012,0.144,I
378,Fresh surface water withdrawal,4261,2017,0.144,I
379,Fresh surface water withdrawal,4261,2018,0.144,I
380,Fresh groundwater withdrawal,4262,1997,0.031,I
381,Fresh groundwater withdrawal,4262,2002,0.031,I
382,Fresh groundwater withdrawal,4262,2007,0.031,I
383,Fresh groundwater withdrawal,4262,2012,0.031,I
384,Fresh groundwater withdrawal,4262,2017,0.031,I
385,Fresh groundwater withdrawal,4262,2018,0.031,I
386,Total freshwater withdrawal,4263,1992,0.04828,I
387,Total freshwater withdrawal,4263,1997,0.175,I
388,Total freshwater withdrawal,4263,2002,0.175,I
389,Total freshwater withdrawal,4263,2007,0.175,I
390,Total freshwater withdrawal,4263,2012,0.175,I
391,Total freshwater withdrawal,4263,2017,0.175,I
392,Total freshwater withdrawal,4263,2018,0.175,I
405,SDG 6.4.2. Water Stress,4550,1992,0.4126495726,E
406,SDG 6.4.2. Water Stress,4550,1997,1.4957264957,E
407,SDG 6.4.2. Water Stress,4550,2002,1.4957264957,E
408,SDG 6.4.2. Water Stress,4550,2007,1.4957264957,E
409,SDG 6.4.2. Water Stress,4550,2012,1.4957264957,E
410,SDG 6.4.2. Water Stress,4550,2017,1.4957264957,E
411,SDG 6.4.2. Water Stress,4550,2018,1.4957264957,E
412,SDG 6.4.1. Water Use Efficiency,4551,1997,2.5027579832,I
413,SDG 6.4.1. Water Use Efficiency,4551,2002,2.151047187,I
414,SDG 6.4.1. Water Use Efficiency,4551,2007,2.3557371444,I
415,SDG 6.4.1. Water Use Efficiency,4551,2010,2.520399483,I
416,SDG 6.4.1. Water Use Efficiency,4551,2015,2.7543037704,I
417,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,1997,0.0679103599,E
418,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2002,0.0589829668,E
419,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2007,0.0679123212,E
420,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2010,0.0763029767,E
421,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,4552,2015,0.0930715338,E
422,SDG 6.4.1. Industrial Water Use Efficiency,4553,1991,131.022911629,E
423,SDG 6.4.1. Industrial Water Use Efficiency,4553,1997,14.1579028397,E
424,SDG 6.4.1. Industrial Water Use Efficiency,4553,2002,11.5178304124,E
425,SDG 6.4.1. Industrial Water Use Efficiency,4553,2007,8.6198264489,E
426,SDG 6.4.1. Industrial Water Use Efficiency,4553,2010,9.4266508664,E
427,SDG 6.4.1. Industrial Water Use Efficiency,4553,2015,10.2527483782,E
428,SDG 6.4.1. Services Water Use Efficiency,4554,1991,25.2063652209,E
429,SDG 6.4.1. Services Water Use Efficiency,4554,1997,13.6930579354,E
430,SDG 6.4.1. Services Water Use Efficiency,4554,2002,9.8664553532,E
431,SDG 6.4.1. Services Water Use Efficiency,4554,2007,9.8309310393,E
432,SDG 6.4.1. Services Water Use Efficiency,4554,2010,10.4314113727,E
433,SDG 6.4.1. Services Water Use Efficiency,4554,2015,11.3755926628,E
434,Harvested irrigated temporary crop area: Rice,4346,1997,0.661,I
435,Harvested irrigated temporary crop area: Rice,4346,2002,0.661,I
436,Harvested irrigated temporary crop area: Rice,4346,2007,0.661,I
437,Harvested irrigated temporary crop area: Rice,4346,2012,0.661,I
438,Harvested irrigated temporary crop area: Rice,4346,2017,0.661,I
439,Harvested irrigated temporary crop area: Rice,4346,2018,0.661,I
440,Harvested irrigated temporary crop area: Vegetables,4360,1997,0.53,I
441,Harvested irrigated temporary crop area: Vegetables,4360,2002,0.53,I
442,Harvested irrigated temporary crop area: Vegetables,4360,2007,0.53,I
443,Harvested irrigated temporary crop area: Vegetables,4360,2012,0.53,I
444,Harvested irrigated temporary crop area: Vegetables,4360,2017,0.53,I
445,Harvested irrigated temporary crop area: Vegetables,4360,2018,0.53,I
446,Harvested irrigated permanent crop area: Other crops,4378,1997,7.371,I
447,Harvested irrigated permanent crop area: Other crops,4378,2002,7.371,I
448,Harvested irrigated permanent crop area: Other crops,4378,2007,7.371,I
449,Harvested irrigated permanent crop area: Other crops,4378,2012,7.371,I
450,Harvested irrigated permanent crop area: Other crops,4378,2017,7.371,I
451,Harvested irrigated permanent crop area: Other crops,4378,2018,7.371,I
